a,eta,seed,crossed,step,w2_cross
1.5,0.01,860139,True,1498.0,3.1847582635870646
1.5,0.005,860100,True,1939.0,2.475063767176566
1.5,0.005,860101,True,3898.0,3.0076262631779787
1.5,0.005,860102,True,3533.0,3.036672462826197
1.5,0.005,860103,True,2407.0,2.83400684147565
1.5,0.005,860104,False,,
1.5,0.005,860105,True,1768.0,3.0945187524016533
1.5,0.005,860106,True,3452.0,2.7570296595342243
1.5,0.005,860107,True,7610.0,3.118113616433441
1.5,0.005,860108,True,16467.0,2.554606220335298
1.5,0.005,860109,True,2011.0,2.714757922562578
1.5,0.005,860110,True,2914.0,2.59552289057087
1.5,0.005,860111,True,2213.0,2.4863872367730457
1.5,0.005,860112,True,2264.0,3.097789506675878
1.5,0.005,860113,True,1935.0,2.8278729284234982
1.5,0.005,860114,True,3488.0,2.903637386348207
1.5,0.005,860115,True,1579.0,2.616321128602358
1.5,0.005,860116,True,3452.0,2.782924102828155
1.5,0.005,860117,True,2419.0,2.851646748073588
1.5,0.005,860118,True,1750.0,2.743849230205346
1.5,0.005,860119,True,2020.0,2.6316420114181445
1.5,0.005,860120,True,3130.0,2.9331174793996353
1.5,0.005,860121,True,2990.0,2.6061970738809035
1.5,0.005,860122,True,9497.0,2.6294197583923835
1.5,0.005,860123,True,6977.0,2.9677659889950485
1.5,0.005,860124,True,8709.0,2.641359596358211
1.5,0.005,860125,True,2649.0,2.935950463322127
1.5,0.005,860126,True,4836.0,2.783424519002903
1.5,0.005,860127,True,1601.0,2.834905933829587
1.5,0.005,860128,True,3208.0,2.908450281803785
1.5,0.005,860129,True,6403.0,2.782613444182627
1.5,0.005,860130,True,2361.0,3.1275527481520307
1.5,0.005,860131,True,4079.0,2.9884821836940967
1.5,0.005,860132,True,5713.0,2.6151673202869534
1.5,0.005,860133,True,3445.0,3.011602320035327
1.5,0.005,860134,True,2115.0,2.7773945648673393
1.5,0.005,860135,True,2919.0,2.831224154313179
1.5,0.005,860136,True,5986.0,2.608438168054836
1.5,0.005,860137,True,6398.0,3.0119700956638633
1.5,0.005,860138,True,6906.0,3.055545246904336
1.5,0.005,860139,True,2822.0,3.189017396294121
1.5,0.0025,860100,True,3642.0,2.473650832982137
1.5,0.0025,860101,True,6933.0,3.011302285042512
1.5,0.0025,860102,True,6193.0,3.03777028199163
1.5,0.0025,860103,True,5010.0,2.846176860998
1.5,0.0025,860104,False,,
1.5,0.0025,860105,True,3526.0,3.1026792020528733
1.5,0.0025,860106,True,6489.0,2.766036616201694
1.5,0.0025,860107,True,11293.0,3.1189400177165485
1.5,0.0025,860108,True,22257.0,2.5536531815484658
1.5,0.0025,860109,True,3797.0,2.7158027724059495
1.5,0.0025,860110,True,5064.0,2.6003476532699796
1.5,0.0025,860111,True,4031.0,2.4917580110000266
1.5,0.0025,860112,True,4567.0,3.1071151642885853
