a,winding,seed,grad_s0,note,s_branch,w1,b1
1.3,0,860005,1.682681771697503e-16,,5.644042373794404,-0.8176145450534639,3.8364631686082826
1.3,0,860006,2.4511642715552284e-15,,5.8335610818840955,-0.8182796881732878,3.8362728525609713
1.3,0,860007,1.1613973671664723e-15,,5.070746928386485,-0.830792712788841,3.8325919895359517
1.3,0,860008,1.8943180357666733e-15,,5.265314680056628,-0.8401923106577178,3.829699119064673
1.3,0,860009,4.309920476064377e-15,,5.504604859446335,-0.833919420369191,3.831642083509316
1.3,0,860010,1.207801220148852e-16,,5.19789872756701,-0.827928954291516,3.833451293458163
1.3,0,860011,2.9520656752435315e-15,,4.624568261784122,-0.8471386184860822,3.8274165346720666
1.3,0,860012,2.2685846257086695e-14,,5.415034799527506,-0.8377474076197077,3.83046232635337
1.3,0,860013,9.549652735252323e-16,,6.044290816943877,-0.8084179556057841,3.8390415598050174
1.3,0,860014,5.130444680201407e-16,,5.13303408802393,-0.8324328926535655,3.8320951976878814
1.3,0,860015,1.5664552988070568e-15,,4.583356896719108,-0.8354764434604647,3.831164423858886
1.3,0,860016,5.178149575790769e-16,,4.307454773315346,-0.8502556442101308,3.818256477257087
1.3,0,860017,1.5265566588595902e-16,,4.905832102594112,-0.8342570567298696,3.8315387882160774
1.3,0,860018,5.412337245047638e-16,,5.330965438936095,-0.8310069966777823,3.8325272868599845
1.3,0,860019,2.560928899497661e-14,,5.330962216920211,-0.8252318004168674,3.834251342487719
1.3,0,860020,4.85722573273506e-17,,5.32234010241274,-0.8495875457071012,3.820286067362912
1.3,0,860021,1.726049858596923e-16,,4.052098341352384,-0.8400669027348008,3.829738416301521
1.3,0,860022,1.947227101783966e-16,,5.524782266513483,-0.8299057711983278,3.8328591855395704
1.3,0,860023,7.979727989493313e-17,,4.657926937194966,-0.8248646124422001,3.834359675802014
1.3,0,860024,3.694961003830599e-16,,5.158302323567154,-0.8471629012253767,3.8273482583819827
1.3,0,860025,1.3478801408339791e-14,,5.7034259779714045,-0.8110031723145948,3.8383268204616243
1.3,0,860026,3.469446951953614e-16,,5.1576487268804545,-0.8333888926657735,3.831804084470482
1.3,0,860027,3.5275601883988372e-15,,5.725640202317312,-0.8229791295203294,3.8349127965800913
1.3,0,860028,5.598820018715145e-16,,5.087450897678229,-0.8321150025524032,3.832191812863195
1.3,0,860029,8.326672684688674e-17,,5.483220611605762,-0.8441324419425171,3.828452910211051
1.3,0,860030,2.1011838102769076e-16,,4.972906791787421,-0.820799841098208,3.8355467983817975
1.3,0,860031,1.938553484404082e-16,,5.8322620067214395,-0.8259687084690895,3.834033696296753
1.3,0,860032,1.6653345369377348e-16,,5.401335507139681,-0.8196623590422119,3.8358754465491365
1.3,0,860033,9.194034422677078e-17,,4.761023807791217,-0.8382503894173055,3.8303059182793713
1.3,0,860034,6.002143226879753e-16,,4.391500972662051,-0.8435739892185041,3.828630684554813
1.3,0,860035,4.81385764583564e-16,,5.398022434508462,-0.8290546132587783,3.833114762433555
1.3,0,860036,1.5959455978986625e-16,,5.226069651668261,-0.8314016096760557,3.832407967837321
1.3,0,860037,1.2923689896027213e-16,,5.539018436404993,-0.8228145249261248,3.8349608883304342
1.3,0,860038,6.6418225086462e-16,,5.2939509204526,-0.8348178888871148,3.8313668462683754
1.3,0,860039,1.040183564282593e-15,,5.376380316683799,-0.8490303020967767,3.821950109092973
