a,winding,opt,cell,gamma,crossed,step,s_cross,placed_in_warmup,w1,b1,b2,seed,w1_end,b1_end,b2_end,steps_run
1.3,-1,sgd,1,1.490120678114902e-05,True,53745,5.519943276798636,False,-0.8339686878771365,-2.451558518549121,16.654651786480695,860009,-0.820431874070931,-2.4657318484263575,18.681445868381182,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,49874,5.210547897187816,False,-0.8280095347734326,-2.4497582154161086,15.765853672842768,860010,-0.8085423475772991,-2.4705464523925005,18.760364435243048,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,42044,4.636726231897017,False,-0.8471331505732091,-2.4557588725120305,13.942154534063498,860011,-0.8126784702094515,-2.4904697986986712,18.74019448981712,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,52632,5.429149767671491,False,-0.8378290821945418,-2.4527497889009213,16.45486124075077,860012,-0.8229701383149576,-2.4681764657890293,18.76312897853197,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,60010,6.060083899442209,False,-0.8085539373990605,-2.4441826016702692,18.3883842451294,860013,-0.8066101304475637,-2.4463192838123895,18.71629667946179,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,49050,5.146960871552336,False,-0.8324659845056064,-2.45110212778358,15.507541863191838,860014,-0.8107020112452725,-2.473770470970419,18.704053283685923,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,41441,4.595249884047764,False,-0.8354641421275615,-2.4520187868546377,13.824090348141675,860015,-0.800757120559389,-2.4882334573988585,18.756428425877917,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,37246,4.316792171837595,False,-0.8502632193140384,-2.464959504420497,13.00130025203982,860016,-0.8073044954133481,-2.5080224231091384,18.803727709180652,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,45998,4.918127828184617,False,-0.8342881272924845,-2.4516574615981774,14.876829638408438,860017,-0.8082149985101222,-2.4796230963195005,18.790889622433145,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,51578,5.344546360891652,False,-0.8310833868486927,-2.450682280080153,16.1914610021241,860018,-0.8148077020882935,-2.467806826962459,18.766372199665224,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,51593,5.345741097266407,False,-0.8253016427942408,-2.4489562057482686,16.082379117502413,860019,-0.8080371370932088,-2.466871905640975,18.653864516540736,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,51488,5.337383547877568,False,-0.8496119708447651,-2.4629748827118276,16.13212591440916,860020,-0.8320257775716522,-2.4803718934048495,18.731950133595458,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,33147,4.061013313245481,False,-0.8400664388298484,-2.4534483132425167,12.346650495432614,860021,-0.7956495905778171,-2.5008803434570286,18.94224808653152,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,53981,5.5393893502334794,False,-0.8299972343458377,-2.450355601430807,16.677790225003463,860022,-0.8168885235268394,-2.4642058676341154,18.643114671277832,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,42499,4.668270277596611,False,-0.8249028240969701,-2.4488371701600093,14.12689021950851,860023,-0.7933803829240017,-2.4827981038702402,18.823987702189974,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,49396,5.173566189871201,False,-0.8471721544710267,-2.4558680119867233,15.6576912479167,860024,-0.8268986827899159,-2.4768156691214562,18.770618578000114,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,56154,5.721692146381725,False,-0.8110600420464941,-2.444875215079796,17.27292623631327,860025,-0.8024727776097478,-2.454176482826286,18.663520822045903,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,49359,5.170714558014546,False,-0.8334260509600028,-2.451392562177897,15.66126884606331,860026,-0.8127812603441884,-2.473088197499539,18.782997162499793,65156
