a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r,winding_b,s_branch,branch_over_own,obs_r_branch
1.3,-1,sgd,1,1.490120678114902e-05,860022,5.5393893502334794,5.521875,-1,0.0010479842753561,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0031718121532051,-1,5.524782266513483,1.000526499877937,0.0026439202515784466
1.3,-1,sgd,1,1.490120678114902e-05,860023,4.668270277596611,5.246875,-1,0.0025664155461537,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.1102760638291152,-1,4.657926937194966,0.8877526026815896,0.002220588802939405
1.3,-1,sgd,1,1.490120678114902e-05,860024,5.173566189871201,5.159375,-1,-0.0044644262805597,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0027505637545635,-1,5.158302323567154,0.999792091787698,0.002959087185392173
1.3,-1,sgd,1,1.490120678114902e-05,860025,5.721692146381725,5.703125,-1,0.0065283706263672,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0032556092285764,-1,5.7034259779714045,1.0000527742196434,0.003202665990734488
1.3,-1,sgd,1,1.490120678114902e-05,860026,5.170714558014546,5.103125,-1,1.102352826620745e-05,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0132447388638423,-1,5.1576487268804545,1.010684380037811,0.0025332921697429622
1.3,-1,sgd,1,1.490120678114902e-05,860027,5.740565692227477,5.728125,-1,0.0030892377790294,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.002171861163553,-1,5.725640202317312,0.9995662109882922,0.0026067809682006615
1.3,-1,sgd,1,1.490120678114902e-05,860028,5.101072405333003,5.084375,-1,0.0004033062732791,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0032840625117154,-1,5.087450897678229,1.0006049706558289,0.0026774720638562677
1.3,-1,sgd,1,1.490120678114902e-05,860029,5.499500026344747,5.484375,-1,-0.0033474157025192,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0027578395614353,-1,5.483220611605762,0.9997895132272614,0.0029689512591428713
1.3,-1,sgd,1,1.490120678114902e-05,860030,4.984752359675903,4.903125,-1,0.0037503670201495,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0166480274673606,-1,4.972906791787421,1.0142321053996013,0.0023820208953131417
1.3,-1,sgd,1,1.490120678114902e-05,860031,5.847361599735826,5.834375,-1,0.0022178262348653,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0022258767624341,-1,5.8322620067214395,0.9996378372527374,0.002588977140770554
1.3,-1,sgd,1,1.490120678114902e-05,860032,5.416140337119834,5.403125,-1,0.0040776222701843,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0024088536022826,-1,5.401335507139681,0.9996688040975696,0.0027409572985390707
1.3,-1,sgd,1,1.490120678114902e-05,860033,4.77272253868018,4.759375,-1,-0.0014855577853074,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0028044729991185,-1,4.761023807791217,1.0003464336790475,0.002457188067368943
1.3,-1,sgd,1,1.490120678114902e-05,860034,4.400771357049266,5.296875,-1,-0.0031651457950907,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.1691759089936488,-1,4.391500972662051,0.8290739299420982,0.0021109831114520805
1.3,-1,sgd,1,1.490120678114902e-05,860035,5.411461351791485,4.790625,-1,0.0012970464885597,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.129594019943428,-1,5.398022434508462,1.126788766498831,0.0024896001167225013
1.3,-1,sgd,1,1.490120678114902e-05,860036,5.239043033846223,5.228125,-1,0.0006000276533333,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0020883268564204,-1,5.226069651668261,0.9996068670256089,0.0024824357581649803
1.3,-1,sgd,1,1.490120678114902e-05,860037,5.555839902564338,5.540625,-1,0.0031668314617618,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0027460625045616,-1,5.539018436404993,0.9997100392834729,0.003036903803891766
1.3,-1,sgd,1,1.490120678114902e-05,860038,5.308590845434187,5.296875,-1,-0.0004368614985317,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0022118410259233,-1,5.2939509204526,0.9994479613833818,0.002765406253584235
1.3,-1,sgd,1,1.490120678114902e-05,860039,5.392705438751602,5.378125,-1,-0.0098787155558683,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.002711063567991,-1,5.376380316683799,0.9996755963618918,0.0030364522422534623
1.3,-1,sgd,2,3.743013912668677e-05,860000,4.589069022437748,6.059375,-1,-0.0129401801835111,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.2426497745332236,-1,4.561271205028657,0.75276265374377,0.006094313659412487
1.3,-1,sgd,2,3.743013912668677e-05,860001,5.322671757605639,5.284375,-1,-0.0045190585755587,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.007247168795863,-1,5.284926053959541,1.0001042798740705,0.007142144139901108
1.3,-1,sgd,2,3.743013912668677e-05,860002,4.4635367410695626,5.371875,-1,0.0022614829790068,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.1690914734483654,-1,4.436461122882362,0.8258682718571004,0.0061029765475799636
1.3,-1,sgd,2,3.743013912668677e-05,860003,6.192988284806973,6.146875,-1,0.0032791979897526,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,0.0075019070351964,-1,6.145854564329206,0.9998339911465919,0.0076691890418840725
1.3,-1,sgd,2,3.743013912668677e-05,860004,4.286056897829167,5.659375,-1,-0.0021435305949228,False,0.0008280662193732,7.619648401522177,0.0063095734448019,-1,-0.2426625028683967,-1,4.262572782994976,0.7531879020200952,0.005509375682188455
