act,a,depth,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
3.0,3.0,5,5,16000,0,1.0,1.0,True,3.0186517238616943,6.226559321476088e-07
3.0,3.0,5,5,64000,0,1.0,1.0,True,4.541620254516602,1.3420441424827345e-09
3.0,3.0,5,6,1000,165,0.99175,0.9937999844551086,False,1.1053497791290283,0.023922149091959
3.0,3.0,5,6,4000,91,0.99545,0.9995999932289124,False,1.758347749710083,0.0019456623122096062
3.0,3.0,5,6,16000,83,0.99585,1.0,False,3.3672308921813965,4.850617642659927e-06
3.0,3.0,5,6,64000,82,0.9959,1.0,False,5.668708801269531,1.5162918143296622e-10
3.0,3.0,5,7,1000,603,0.96985,0.9700000286102295,False,1.076603651046753,0.11055292934179306
3.0,3.0,5,7,4000,47,0.99765,0.9994000196456909,False,1.7453266382217407,0.003664746880531311
3.0,3.0,5,7,16000,26,0.9987,1.0,False,3.106025218963623,3.2442401334265014e-06
3.0,3.0,5,7,64000,28,0.9986,1.0,False,5.009423732757568,8.510742111056402e-10
relu,,5,1,1000,1801,0.90995,0.9089000225067139,False,1.4911001920700073,0.2328103482723236
relu,,5,1,4000,159,0.99205,0.9936000108718872,False,3.1550490856170654,0.02084476500749588
relu,,5,1,16000,129,0.99355,0.9959999918937683,False,5.722753047943115,0.01680758222937584
relu,,5,1,64000,121,0.99395,0.9962999820709229,False,7.12702751159668,0.015696227550506592
relu,,5,0,1000,1822,0.9089,0.9057999849319458,False,1.7546478509902954,0.25695309042930603
relu,,5,0,4000,1749,0.91255,0.9104999899864197,False,2.7672922611236572,0.2239762246608734
relu,,5,0,16000,1755,0.91225,0.911300003528595,False,15.00049114227295,0.2179253101348877
relu,,5,0,64000,1753,0.91235,0.9110999703407288,False,51.230865478515625,0.2167423814535141
relu,,5,2,1000,1252,0.9374,0.941100001335144,False,1.3896958827972412,0.14377737045288086
relu,,5,2,4000,257,0.98715,0.9908999800682068,False,2.715672731399536,0.036859698593616486
relu,,5,2,16000,940,0.953,0.9569000005722046,False,4.448293685913086,0.13488084077835083
relu,,5,2,64000,518,0.9741,0.9847999811172485,False,25.466291427612305,0.05826383829116821
relu,,5,3,1000,1268,0.9366,0.941100001335144,False,1.8958005905151367,0.2309739738702774
relu,,5,3,4000,484,0.9758,0.9825999736785889,False,4.964012145996094,0.06390898674726486
relu,,5,3,16000,328,0.9836,0.9919000267982483,False,12.349727630615234,0.030255354940891266
relu,,5,3,64000,293,0.98535,0.9922999739646912,False,16.8244686126709,0.026253335177898407
relu,,5,5,1000,526,0.9737,0.9757999777793884,False,1.9252533912658691,0.09567075222730637
relu,,5,5,4000,420,0.979,0.9843000173568726,False,2.7994589805603027,0.04959157854318619
relu,,5,5,16000,406,0.9797,0.9850000143051147,False,6.876952171325684,0.045611683279275894
relu,,5,5,64000,264,0.9868,0.9914000034332275,False,8.209067344665527,0.02983131632208824
relu,,5,4,1000,198,0.9901,0.9936000108718872,False,1.795087456703186,0.023449406027793884
relu,,5,4,4000,139,0.99305,0.9975000023841858,False,2.184633493423462,0.011321859434247017
relu,,5,4,16000,152,0.9924,0.9983000159263611,False,5.655015468597412,0.00783019233494997
relu,,5,4,64000,148,0.9926,0.9983999729156494,False,12.448663711547852,0.005426248535513878
relu,,5,6,1000,2247,0.88765,0.8927000164985657,False,1.342246174812317,0.20175325870513916
relu,,5,6,4000,2275,0.88625,0.8898000121116638,False,1.6175146102905273,0.1954253613948822
relu,,5,6,16000,2305,0.88475,0.8895999789237976,False,2.019659996032715,0.19452856481075287
relu,,5,6,64000,2315,0.88425,0.8898000121116638,False,2.263728380203247,0.19413483142852783
3.0,3.0,5,8,1000,0,1.0,1.0,True,0.9527838230133057,0.002090701600536704
3.0,3.0,5,8,4000,0,1.0,1.0,True,1.1913851499557495,9.018754644785076e-05
3.0,3.0,5,8,16000,0,1.0,1.0,True,1.7560323476791382,1.0180466603060268e-07
3.0,3.0,5,8,64000,0,1.0,1.0,True,2.749669313430786,1.2119630299345374e-10
3.0,3.0,5,9,1000,220,0.989,0.9882000088691711,False,0.9521749019622803,0.03716333955526352
3.0,3.0,5,9,4000,83,0.99585,0.9979000091552734,False,1.4724507331848145,0.009868750348687172
3.0,3.0,5,9,16000,90,0.9955,0.998199999332428,False,4.1902546882629395,0.005400109104812145
3.0,3.0,5,9,64000,50,0.9975,1.0,False,8.390768051147461,3.0365711722879496e-08
relu,,5,8,1000,910,0.9545,0.9593999981880188,False,2.332437515258789,0.09841982275247574
relu,,5,8,4000,533,0.97335,0.9757999777793884,False,3.697578191757202,0.06662634015083313
relu,,5,8,16000,529,0.97355,0.9772999882698059,False,8.811127662658691,0.0640217512845993
relu,,5,8,64000,516,0.9742,0.9781000018119812,False,25.809816360473633,0.05993250757455826
relu,,5,7,1000,500,0.975,0.9768999814987183,False,2.0360844135284424,0.06742275506258011
relu,,5,7,4000,213,0.98935,0.9921000003814697,False,3.0226149559020996,0.02822742983698845
relu,,5,7,16000,213,0.98935,0.9940000176429749,False,6.793765068054199,0.02166387066245079
relu,,5,7,64000,206,0.9897,0.9959999918937683,False,17.54623031616211,0.015691237524151802
relu,,5,9,1000,286,0.9857,0.9897000193595886,False,1.5924248695373535,0.1416807770729065
relu,,5,9,4000,180,0.991,0.9944000244140625,False,2.1049983501434326,0.03501720353960991
relu,,5,9,16000,180,0.991,0.9973000288009644,False,5.879500389099121,0.010983678512275219
relu,,5,9,64000,188,0.9906,0.9976000189781189,False,11.773688316345215,0.009821273386478424
gelu,,8,2,1000,1184,0.9408,0.9391000270843506,False,1.499241590499878,0.1390373557806015
gelu,,8,2,4000,81,0.99595,0.9976000189781189,False,2.766167163848877,0.013549905270338058
gelu,,8,2,16000,30,0.9985,1.0,False,6.952261924743652,1.8132158174921642e-06
gelu,,8,2,64000,24,0.9988,1.0,False,8.13272762298584,4.460379288140359e-11
gelu,,8,0,1000,264,0.9868,0.9876000285148621,False,1.4060840606689453,0.03426552191376686
gelu,,8,0,4000,87,0.99565,0.9976999759674072,False,2.799329996109009,0.012489590793848038
gelu,,8,0,16000,383,0.98085,0.9828000068664551,False,5.006763935089111,0.04464550316333771
gelu,,8,0,64000,60,0.997,0.9984999895095825,False,10.080414772033691,0.007139994762837887
gelu,,8,1,1000,1875,0.90625,0.9043999910354614,False,1.4118962287902832,0.2078494131565094
gelu,,8,1,4000,1771,0.91145,0.9120000004768372,False,1.9583802223205566,0.19265203177928925
gelu,,8,1,16000,1768,0.9116,0.9118000268936157,False,2.4657411575317383,0.19066499173641205
gelu,,8,1,64000,1700,0.915,0.9150999784469604,False,6.064242839813232,0.1833375096321106
gelu,,8,3,1000,9,0.99955,1.0,False,1.5049320459365845,0.0005408045253716409
gelu,,8,3,4000,0,1.0,1.0,True,1.6210428476333618,5.250323738437146e-06
