activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,1.35,68,201,False,0.6837703585624695,0.01465657539665699
sin_family,1.35,69,57,False,4.267604351043701,0.8746454119682312
sin_family,1.35,70,204,False,0.8249582052230835,0.018313782289624214
sin_family,1.35,71,25,False,5.778110504150391,0.8615657091140747
sin_family,1.35,72,112,False,3.5834152698516846,0.9198781847953796
sin_family,1.35,73,102,False,3.976876735687256,0.9195650219917297
sin_family,1.35,74,212,False,0.3340384066104889,0.014362086541950703
sin_family,1.35,75,19,False,5.296276569366455,0.8536939024925232
sin_family,1.35,76,46,False,4.7405104637146,0.8786758780479431
sin_family,1.35,77,18,False,5.615572452545166,0.863288164138794
sin_family,1.35,78,103,False,3.3350982666015625,0.9275652766227722
sin_family,1.35,79,196,False,0.2586182951927185,0.02971399761736393
sin_family,1.35,80,191,False,0.4889135956764221,0.007519142236560583
sin_family,1.35,81,101,False,2.811627149581909,0.9339895248413086
sin_family,1.35,82,182,False,1.1398688554763794,0.027500657364726067
sin_family,1.35,83,103,False,4.046970844268799,0.9153403043746948
sin_family,1.35,84,14,False,5.094371318817139,0.8573055267333984
sin_family,1.35,85,30,False,4.768971920013428,0.8741809725761414
sin_family,1.35,86,202,False,0.5648327469825745,0.06310731917619705
sin_family,1.35,87,95,False,3.8931329250335693,0.9030154347419739
sin_family,1.35,88,45,False,4.873244285583496,0.8746492862701416
sin_family,1.35,89,6,False,5.451544284820557,0.8544434309005737
sin_family,1.35,90,7,False,5.659182071685791,0.841757595539093
sin_family,1.35,91,80,False,4.509008884429932,0.9035634994506836
sin_family,1.35,92,200,False,0.6774367094039917,0.04435860365629196
sin_family,1.35,93,104,False,4.371545314788818,0.8841452598571777
sin_family,1.35,94,94,False,3.572035312652588,0.9143730401992798
sin_family,1.35,95,10,False,5.421359539031982,0.8624643683433533
sin_family,1.35,96,14,False,5.172196388244629,0.8788290023803711
sin_family,1.35,97,104,False,3.1761293411254883,0.9290139079093933
sin_family,1.35,98,135,False,0.47928720712661743,0.9042254686355591
