A,source,type,dmu,var,max_abs_alpha_over_A,t,G_lo,G_hi,G_n
5.0,search,pair,0.9677930348298259,0.7197872030117335,1.0,-2.3968268496127876e-17,-0.2380676482210886,-0.2380676482210886,-0.2380676482210886
5.0,search,single_unit,0.9677930348298257,0.7197872029944605,1.0,1.0,-0.23806764798117253,-0.23806764798117253,-0.23806764798117253
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,-1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,single_unit,0.9677930348298257,0.7197872029944606,1.0,-1.0,-0.2380676479811732,-0.2380676479811732,-0.2380676479811732
5.0,search,pair,0.9677930348298258,0.7197872029719774,1.0,1.2003605132234648e-17,-0.23806764766888644,-0.23806764766888644,-0.23806764766888644
5.0,search,single_unit,0.9677930348298256,0.7197872029944681,1.0,1.0,-0.23806764798127344,-0.23806764798127344,-0.23806764798127344
5.0,search,single_unit,0.9677930348298257,0.7197872029946387,1.0,1.0,-0.2380676479836462,-0.2380676479836462,-0.2380676479836462
5.0,search,single_unit,0.9677930348298255,0.719787202994478,1.0,-1.0,-0.23806764798141167,-0.23806764798141167,-0.23806764798141167
5.0,search,pair,0.9677930348298258,0.7197872029914174,1.0,-2.4240034023833154e-19,-0.23806764793890278,-0.23806764793890278,-0.23806764793890278
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,-1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,single_unit,0.9677930348298258,0.7197872029925496,1.0,1.0,-0.23806764795462831,-0.23806764795462831,-0.23806764795462831
5.0,search,pair,0.9677930348298259,0.7197872029939293,1.0,-6.7159081767783946e-18,-0.2380676479737911,-0.2380676479737911,-0.2380676479737911
5.0,search,single_unit,0.9677930348298257,0.7197872029944601,1.0,1.0,-0.23806764798116242,-0.23806764798116242,-0.23806764798116242
5.0,search,single_unit,0.9677930348298257,0.7197872029944605,1.0,1.0,-0.2380676479811703,-0.2380676479811703,-0.2380676479811703
