configuration,amplitude,frequency,activation,width,depth,seed,eval_errors,dense_errors,regionally_separating,duration_seconds
A_a0.05,0.05,100.0,gelu,4,5,7,0,7.0,False,0.9234187919646502
A_a0.05,0.05,100.0,gelu,4,5,8,0,4.0,False,0.9914416668470949
A_a0.05,0.05,100.0,gelu,4,5,9,0,0.0,True,0.9096064998302609
A_a0.05,0.05,100.0,gelu,4,5,10,57,,False,0.9088673749938607
A_a0.05,0.05,100.0,gelu,4,5,11,0,0.0,True,0.9042059578932822
A_a0.05,0.05,100.0,gelu,4,5,12,0,0.0,True,0.9063362500164658
A_a0.05,0.05,100.0,gelu,4,5,13,47,,False,0.8990652081556618
A_a0.05,0.05,100.0,gelu,4,5,14,0,0.0,True,0.9025456248782575
A_a0.05,0.05,100.0,gelu,4,5,15,0,0.0,True,0.9217800830956548
A_a0.05,0.05,100.0,gelu,4,5,16,0,0.0,True,0.9597874160390347
A_a0.05,0.05,100.0,gelu,4,5,17,75,,False,0.897853041999042
A_a0.05,0.05,100.0,gelu,4,5,18,90,,False,0.8970056660473347
A_a0.05,0.05,100.0,gelu,4,5,19,0,22.0,False,0.9510401668958366
A_a0.05,0.05,100.0,gelu,4,5,20,0,0.0,True,0.9036303330212831
A_a0.05,0.05,100.0,gelu,4,5,21,0,18.0,False,0.9059897081460804
A_a0.05,0.05,100.0,gelu,4,5,22,0,0.0,True,0.9005440839100629
A_a0.05,0.05,100.0,gelu,4,5,23,69,,False,0.9002482919022441
A_a0.05,0.05,100.0,gelu,4,5,24,73,,False,0.8818688748870045
A_a0.05,0.05,100.0,gelu,4,5,25,0,0.0,True,0.9829194999765605
A_a0.05,0.05,100.0,gelu,4,5,26,0,0.0,True,1.0273845840711147
A_a0.05,0.05,100.0,gelu,4,5,27,0,23.0,False,0.9479008330963552
A_a0.05,0.05,100.0,gelu,4,5,28,0,0.0,True,0.8959731669165194
A_a0.05,0.05,100.0,gelu,4,5,29,89,,False,0.8986883328761905
A_a0.05,0.05,100.0,gelu,6,5,0,0,0.0,True,1.0400278749875724
A_a0.05,0.05,100.0,gelu,6,5,1,0,0.0,True,1.0361198340542614
A_a0.05,0.05,100.0,gelu,6,5,2,0,0.0,True,1.0479992080945522
A_a0.05,0.05,100.0,gelu,6,5,3,0,0.0,True,1.0494676248636097
A_a0.05,0.05,100.0,gelu,6,5,4,0,0.0,True,1.0532993751112372
A_a0.05,0.05,100.0,gelu,6,5,5,0,0.0,True,1.0601662918925285
A_a0.05,0.05,100.0,gelu,6,5,6,0,0.0,True,1.9171783751808107
A_a0.05,0.05,100.0,gelu,6,5,7,0,0.0,True,1.0620735420379788
A_a0.05,0.05,100.0,gelu,6,5,8,0,0.0,True,1.0600497091654688
A_a0.05,0.05,100.0,gelu,6,5,9,0,0.0,True,1.1005420410074294
A_a0.05,0.05,100.0,gelu,6,5,10,0,0.0,True,1.2067169158253819
A_a0.05,0.05,100.0,gelu,6,5,11,0,0.0,True,1.1320046668406576
A_a0.05,0.05,100.0,gelu,6,5,12,0,0.0,True,1.2134461249224842
A_a0.05,0.05,100.0,gelu,6,5,13,0,0.0,True,1.2888869161251932
A_a0.05,0.05,100.0,gelu,6,5,14,0,0.0,True,1.0680416249670088
A_a0.05,0.05,100.0,gelu,6,5,15,0,0.0,True,1.0704246670939028
A_a0.05,0.05,100.0,gelu,6,5,16,0,0.0,True,1.1302323748823255
A_a0.05,0.05,100.0,gelu,6,5,17,0,0.0,True,1.2856131249573082
A_a0.05,0.05,100.0,gelu,6,5,18,0,0.0,True,1.1080020419321954
A_a0.05,0.05,100.0,gelu,6,5,19,0,0.0,True,1.0445550419390202
A_a0.05,0.05,100.0,gelu,6,5,20,0,0.0,True,1.095546375028789
A_a0.05,0.05,100.0,gelu,6,5,21,0,0.0,True,1.3457261249423027
A_a0.05,0.05,100.0,gelu,6,5,22,0,0.0,True,1.1287462499458343
A_a0.05,0.05,100.0,gelu,6,5,23,0,0.0,True,1.0415528330486268
A_a0.05,0.05,100.0,gelu,6,5,24,0,0.0,True,1.054394207894802
A_a0.05,0.05,100.0,gelu,6,5,25,0,0.0,True,1.108803124865517
A_a0.05,0.05,100.0,gelu,6,5,26,0,0.0,True,1.09302091691643
A_a0.05,0.05,100.0,gelu,6,5,27,0,0.0,True,1.0652361249085516
A_a0.05,0.05,100.0,gelu,6,5,28,0,0.0,True,1.0792048340663314
A_a0.05,0.05,100.0,gelu,6,5,29,0,0.0,True,1.1199899590574205
A_a0.05,0.05,100.0,tanh,4,5,0,0,0.0,True,1.023767165839672
A_a0.05,0.05,100.0,tanh,4,5,1,0,0.0,True,0.9658772081602365
A_a0.05,0.05,100.0,tanh,4,5,2,0,0.0,True,1.0542162500787526
A_a0.05,0.05,100.0,tanh,4,5,3,0,0.0,True,0.9962445001583546
A_a0.05,0.05,100.0,tanh,4,5,4,61,,False,0.9070742081385106
A_a0.05,0.05,100.0,tanh,4,5,5,67,,False,0.902288458077237
A_a0.05,0.05,100.0,tanh,4,5,6,76,,False,0.9218761250376701
A_a0.05,0.05,100.0,tanh,4,5,7,54,,False,0.9043208749499172
A_a0.05,0.05,100.0,tanh,4,5,8,0,0.0,True,0.9139711670577526
A_a0.05,0.05,100.0,tanh,4,5,9,0,2.0,False,0.9105773749761283
A_a0.05,0.05,100.0,tanh,4,5,10,62,,False,0.8992270000744611
A_a0.05,0.05,100.0,tanh,4,5,11,0,0.0,True,0.9143797080032527
A_a0.05,0.05,100.0,tanh,4,5,12,0,0.0,True,0.9903269580099732
A_a0.05,0.05,100.0,tanh,4,5,13,0,0.0,True,0.9474181248806417
A_a0.05,0.05,100.0,tanh,4,5,14,0,0.0,True,0.917654582997784
A_a0.05,0.05,100.0,tanh,4,5,15,70,,False,0.9018274589907378
A_a0.05,0.05,100.0,tanh,4,5,16,53,,False,0.8946009578648955
A_a0.05,0.05,100.0,tanh,4,5,17,64,,False,0.8977814591489732
A_a0.05,0.05,100.0,tanh,4,5,18,55,,False,0.8959534999448806
A_a0.05,0.05,100.0,tanh,4,5,19,80,,False,0.8927728747949004
A_a0.05,0.05,100.0,tanh,4,5,20,67,,False,0.8988412921316922
A_a0.05,0.05,100.0,tanh,4,5,21,0,0.0,True,0.9173817499540746
A_a0.05,0.05,100.0,tanh,4,5,22,60,,False,0.8948311249259859
A_a0.05,0.05,100.0,tanh,4,5,23,71,,False,0.8985087918117642
A_a0.05,0.05,100.0,tanh,4,5,24,75,,False,0.9055458749644458
A_a0.05,0.05,100.0,tanh,4,5,25,55,,False,0.9946981670800596
A_a0.05,0.05,100.0,tanh,4,5,26,0,1.0,False,0.9843731671571732
A_a0.05,0.05,100.0,tanh,4,5,27,0,1.0,False,0.908076916122809
A_a0.05,0.05,100.0,tanh,4,5,28,0,7.0,False,0.9113540831021965
A_a0.05,0.05,100.0,tanh,4,5,29,0,0.0,True,1.0089625420514494
A_a0.05,0.05,100.0,tanh,6,5,0,0,0.0,True,1.2674235829617828
A_a0.05,0.05,100.0,tanh,6,5,1,0,0.0,True,1.0633715419098735
A_a0.05,0.05,100.0,tanh,6,5,2,0,0.0,True,1.0698786659631878
A_a0.05,0.05,100.0,tanh,6,5,3,0,0.0,True,1.2932620418723673
