i,o1,o2,K_lo,K_hi,u,v,argmax_near_box_edge,kappa0_lo,kappa0_hi
0.6,0.8,1.6,0.40426233100155945,0.40429932743085967,2.11421127319336,1.2097984313964858,False,0.21439247672211248,0.21441209704164088
0.6,0.8,2.0,0.3601639465349631,0.3601866721202895,1.810714340209961,-1.2674999237060525,False,0.19100577670033614,0.1910178287619542
0.6,0.9,1.5,0.579455808819277,0.5794893845478061,2.140763854980469,1.2041824340820326,False,0.3073028488605348,0.30732065507952944
0.6,0.9,1.7,0.5670517798897916,0.5670898257210535,1.980635833740234,1.236627960205079,False,0.3007246191329799,0.3007447959819407
0.6,0.9,2.1,0.5079090437349104,0.5079553047198377,1.7118415832519531,1.2838813781738283,False,0.2693594467881974,0.26938398038030725
0.6,1.0,1.6,0.7248802435646564,0.7249497233410042,2.0026077270507816,1.2323745727539077,False,0.38442580182954356,0.38446264904530164
0.6,1.0,1.8,0.7075883123638966,0.7076270253469341,1.861396789550781,1.2586593627929694,False,0.37525537047064217,0.3752759011302615
0.6,1.0,2.2,0.6375012593698275,0.6375482885604342,1.622212982177734,1.297769927978516,False,0.3380860976365268,0.33811103863122055
0.6,1.1,1.7,0.8501822988652072,0.850253851736266,1.8797195434570309,-1.2553878784179668,False,0.450877251579267,0.45091519821952125
0.6,1.1,1.9,0.8289814704309508,0.8290613202078632,1.7545730590820314,1.276939392089844,False,0.43963381441479055,0.43967616115383873
0.6,1.1,2.3,0.7513211575718615,0.7513689248338027,1.5407417297363277,1.309630584716798,False,0.39844821402599234,0.39847354644212035
0.6,1.2,1.8,0.9581843872723469,0.9582577762594527,1.7699798583984383,-1.2743865966796861,False,0.5081540084005151,0.5081929287883503
0.6,1.2,2.0,0.9340640343482922,0.9341456145136089,1.6585067749023437,1.292253112792969,False,0.4953622595626062,0.49540552397868554
0.6,1.2,2.4,0.8514985233232323,0.8515470068621833,1.4664695739746096,1.319821929931642,False,0.4515752850091418,0.45160099728851794
0.6,1.4,2.2,1.1048241431623484,1.1049089997765917,1.4931930541992189,1.3162216186523448,False,0.5859214827365351,0.585966484752055
0.6,1.4,2.6,1.0181373974025685,1.018237146362506,1.3363052368164061,1.336305236816407,False,0.5399488934122342,0.5400017932867253
0.7,0.9,1.5,0.35882519607915514,0.3588558172721667,1.9805320739746093,1.1659004211425787,False,0.19029579705612235,0.19031203639604222
0.7,0.9,1.7,0.35822124774807185,0.35823970839323355,1.9377811431884766,1.177575302124024,False,0.1899755050858259,0.18998529532136008
0.7,0.9,2.1,0.3334281372340741,0.3334508199626064,1.6850502014160156,1.2394477844238292,False,0.17682697265745942,0.17683900199083016
0.7,1.0,1.6,0.5102707702356186,0.5103031818833115,1.8899925231933596,1.190193939208985,False,0.27061194140616646,0.27062913027807123
0.7,1.0,1.8,0.5082125663396088,0.508250654329682,1.8259284973144534,1.2064170837402357,False,0.2695204139572166,0.2695406131642635
0.7,1.0,2.2,0.4727348432576914,0.47278122736839834,1.5993843078613281,1.2578498840332033,False,0.2507055100280049,0.25073010891742004
0.7,1.1,1.7,0.6447582393571895,0.644792329476053,1.8042823791503908,-1.2117256164550776,False,0.3419346924565258,0.3419527714721907
0.7,1.1,1.9,0.6405208970629688,0.6405600643065014,1.7249351501464845,1.2304542541503918,False,0.33968750235368683,0.33970827392131353
0.7,1.1,2.3,0.5963068440923778,0.5963540978960301,1.5211616516113284,1.273600006103516,False,0.3162394598442522,0.3162645199580018
0.7,1.2,1.8,0.763872106296666,0.7639434026217694,1.723178100585938,1.2308563232421885,False,0.4051043597412178,0.4051421703274335
0.7,1.2,2.0,0.7570139856254845,0.7570541641455151,1.6335212707519529,1.2506645202636726,False,0.40146729201662673,0.4014885998946055
