activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,0.9,151,147,False,0.9002164006233215,1.0038458108901978
sin_family,0.9,152,133,False,1.0540497303009033,0.9963108897209167
sin_family,0.9,153,127,False,1.1392890214920044,1.0078009366989136
sin_family,0.9,154,122,False,0.9944080114364624,1.0064775943756104
sin_family,0.9,155,133,False,1.2120068073272705,1.042034387588501
sin_family,0.9,156,137,False,0.8753889203071594,1.0782896280288696
sin_family,0.9,157,207,False,0.2836441099643707,0.016741933301091194
sin_family,0.9,158,201,False,0.1931743025779724,0.002581049455329776
sin_family,0.9,159,146,False,0.9182611107826233,0.9912653565406799
sin_family,0.9,160,198,False,0.11731205880641937,0.04980526864528656
sin_family,0.9,161,199,False,0.38567009568214417,0.06326629966497421
sin_family,0.9,162,128,False,0.9847572445869446,1.0079127550125122
sin_family,0.9,163,124,False,1.0665709972381592,1.0384548902511597
sin_family,0.9,164,131,False,1.0283262729644775,1.0115605592727661
sin_family,0.9,165,134,False,1.0753997564315796,1.0135093927383423
sin_family,0.9,166,125,False,1.043164610862732,1.0423765182495117
sin_family,0.9,167,136,False,1.0852136611938477,1.044179081916809
sin_family,0.9,168,150,False,0.9889649748802185,1.0027061700820923
sin_family,0.9,169,131,False,1.0736579895019531,1.0115699768066406
sin_family,0.9,170,132,False,0.9477308392524719,1.0730761289596558
sin_family,0.9,171,132,False,0.6652758121490479,1.2715015411376953
sin_family,0.9,172,120,False,1.0723239183425903,0.9958580732345581
sin_family,0.9,173,138,False,1.0828937292099,0.9982434511184692
sin_family,0.9,174,138,False,1.0195093154907227,1.0425316095352173
sin_family,0.9,175,133,False,0.8583581447601318,1.053202748298645
sin_family,0.9,176,198,False,0.462430477142334,0.0008522588177584112
sin_family,0.9,177,169,False,0.6547240614891052,0.03950051963329315
sin_family,0.9,178,140,False,1.0875104665756226,1.0130329132080078
sin_family,0.9,179,215,False,0.3756048083305359,0.013205047696828842
sin_family,0.9,180,133,False,0.9143392443656921,1.0142003297805786
sin_family,0.9,181,128,False,1.0382146835327148,1.001245379447937
sin_family,0.9,182,127,False,0.9925224184989929,1.0556069612503052
sin_family,0.9,183,114,False,1.1260699033737183,1.0020196437835693
sin_family,0.9,184,135,False,1.086056113243103,1.0222017765045166
sin_family,0.9,185,202,False,0.37948575615882874,0.0030793212354183197
sin_family,0.9,186,138,False,0.8830265402793884,1.0253567695617676
sin_family,0.9,187,133,False,0.9550792574882507,1.0853348970413208
sin_family,0.9,188,127,False,1.067567229270935,1.0154823064804077
sin_family,0.9,189,110,False,1.0406086444854736,1.0080580711364746
sin_family,0.9,190,142,False,0.9255121946334839,0.9829712510108948
sin_family,0.9,191,130,False,1.0478451251983643,0.9995943903923035
sin_family,0.9,192,130,False,0.9294743537902832,1.0734976530075073
sin_family,0.9,193,139,False,1.0801596641540527,1.0174686908721924
sin_family,0.9,194,134,False,1.125836730003357,1.0024741888046265
sin_family,0.9,195,141,False,1.0431370735168457,1.0069761276245117
sin_family,0.9,196,202,False,0.641778290271759,0.009673507884144783
sin_family,0.9,197,213,False,0.306990385055542,0.13544641435146332
sin_family,0.9,198,128,False,0.9846063852310181,1.0051190853118896
sin_family,0.9,199,137,False,1.0418845415115356,1.0020898580551147
sin_family,0.95,0,111,False,0.6806934475898743,1.2035177946090698
sin_family,0.95,1,130,False,1.3597508668899536,0.9454540610313416
sin_family,0.95,2,117,False,1.547369122505188,0.8821008205413818
sin_family,0.95,3,118,False,1.3493770360946655,0.9666966795921326
sin_family,0.95,4,192,False,0.6963876485824585,0.0014696171274408698
sin_family,0.95,5,128,False,1.37236487865448,0.9061347246170044
sin_family,0.95,6,188,False,0.7074484825134277,0.01737736165523529
sin_family,0.95,7,130,False,1.5586656332015991,0.8722701668739319
sin_family,0.95,8,198,False,0.6788720488548279,0.0020325405057519674
sin_family,0.95,9,134,False,1.370863914489746,0.9253274202346802
sin_family,0.95,10,142,False,1.606429934501648,0.8895348906517029
sin_family,0.95,11,211,False,0.519741415977478,0.03675892576575279
sin_family,0.95,12,133,False,1.5661579370498657,0.8714703321456909
sin_family,0.95,13,198,False,0.6898667812347412,0.059471648186445236
sin_family,0.95,14,188,False,0.5543332695960999,0.006667998153716326
sin_family,0.95,15,125,False,1.3149185180664062,0.9468027949333191
sin_family,0.95,16,201,False,0.3017383813858032,0.04206506162881851
sin_family,0.95,17,211,False,0.890799880027771,0.0021717562340199947
sin_family,0.95,18,132,False,1.4073196649551392,0.9168495535850525
