parametrization,axis_aligned,activation,monotonic,depth,seed,fold_layer,layer,linking_rounded,linking_raw,min_distance,defined,reportable
generic,False,gelu,False,12,3,1,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,12,3,1,1,0,-5.209951308006301e-06,0.08377985250385571,True,True
generic,False,gelu,False,12,3,1,2,0,1.5614533571756148e-05,0.20850712198014854,True,True
generic,False,gelu,False,12,3,1,3,0,5.240937495912826e-06,0.047460967908499324,True,True
generic,False,gelu,False,12,3,1,4,0,-6.108969622566323e-07,0.11508964306173229,True,True
generic,False,gelu,False,12,3,1,5,0,-2.0650189205293076e-08,0.34946251913710863,True,True
generic,False,gelu,False,12,3,1,6,0,-1.0035054712895831e-09,0.40823388291984025,True,True
generic,False,gelu,False,12,3,1,7,0,-1.516112887130179e-07,0.4710733993221533,True,True
generic,False,gelu,False,12,3,1,8,0,4.155517632428805e-09,0.8033472406151657,True,True
generic,False,gelu,False,12,3,1,9,0,4.134400116010245e-09,0.12082790407589947,True,True
generic,False,gelu,False,12,3,1,10,0,-5.789600263611028e-11,0.44462624143851764,True,True
generic,False,gelu,False,12,3,1,11,0,4.95717446436021e-11,1.1742715246417204,True,True
generic,False,gelu,False,12,3,1,12,0,1.8212447436502114e-12,3.932884811643594,True,True
generic,False,gelu,False,12,7,2,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,12,7,2,1,-1,-1.000027281826437,0.3001117964186226,True,True
generic,False,gelu,False,12,7,2,2,0,-6.576666774703297e-06,0.1512864640398699,True,True
generic,False,gelu,False,12,7,2,3,0,9.629563598760365e-07,0.26584164859062986,True,True
generic,False,gelu,False,12,7,2,4,0,5.658122016475764e-08,0.1888690774705457,True,True
generic,False,gelu,False,12,7,2,5,0,-3.6385084205269936e-08,0.5547900676933275,True,True
generic,False,gelu,False,12,7,2,6,0,-7.729801547535845e-10,0.6351985050354003,True,True
generic,False,gelu,False,12,7,2,7,0,-2.348281341205951e-10,0.9361054284657094,True,True
generic,False,gelu,False,12,7,2,8,0,-5.0929746194689e-12,0.9291198004129059,True,True
generic,False,gelu,False,12,7,2,9,0,7.144242236253681e-13,0.7966785779407344,True,True
generic,False,gelu,False,12,7,2,10,0,6.463304210064861e-13,0.556136739718329,True,True
generic,False,gelu,False,12,7,2,11,0,-4.298727822101568e-13,0.9075985228470683,True,True
generic,False,gelu,False,12,7,2,12,0,-8.301521117722903e-15,2.247715266244527,True,True
