q,a,budget,seed,w2,solved,ghat_certified,R
2.0,1.4,2000,6,14.843932151794434,True,0.0876049270551341,0.6502007966846556
2.0,1.4,2000,7,0.1447879374027252,False,0.0876049270551341,0.0063420683473145315
2.0,1.4,2000,8,14.521175384521484,True,0.0876049270551341,0.6360632551579067
2.0,1.4,2000,9,12.99754524230957,True,0.0876049270551341,0.5693245014241676
2.0,1.4,2000,10,14.429727554321287,True,0.0876049270551341,0.6320576149108875
2.0,1.4,2000,11,14.621824264526367,True,0.0876049270551341,0.6404719240534111
2.0,1.4,2000,12,13.70354175567627,True,0.0876049270551341,0.600248887951502
2.0,1.4,2000,13,13.655280113220217,True,0.0876049270551341,0.5981349091180402
2.0,1.4,2000,14,0.9295890927314758,False,0.0876049270551341,0.04071829232999462
2.0,1.4,2000,15,14.285551071166992,True,0.0876049270551341,0.6257423297659886
2.0,1.4,2000,16,13.9443941116333,True,0.0876049270551341,0.6107988144888384
2.0,1.4,2000,17,1.1922101974487305,False,0.0876049270551341,0.05222174369094153
2.0,1.4,2000,18,14.147257804870604,True,0.0876049270551341,0.6196847440129329
2.0,1.4,2000,19,12.36544418334961,True,0.0876049270551341,0.5416369178433375
2.0,1.4,8000,0,46.336387634277344,True,0.0876049270551341,2.0296479293496423
2.0,1.4,8000,1,41.05685806274414,True,0.0876049270551341,1.7983915278498475
2.0,1.4,8000,2,43.23566436767578,True,0.0876049270551341,1.8938286115552487
2.0,1.4,8000,3,39.9215202331543,True,0.0876049270551341,1.7486609339777712
2.0,1.4,8000,4,1.292401909828186,False,0.0876049270551341,0.05661038751820712
2.0,1.4,8000,5,0.3879333734512329,False,0.0876049270551341,0.016992437441723678
2.0,1.4,8000,6,43.02457809448242,True,0.0876049270551341,1.8845825127725266
2.0,1.4,8000,7,0.1445096433162689,False,0.0876049270551341,0.006329878380742592
2.0,1.4,8000,8,42.68679428100586,True,0.0876049270551341,1.869786749602517
2.0,1.4,8000,9,40.76276397705078,True,0.0876049270551341,1.785509482387591
2.0,1.4,8000,10,42.4654655456543,True,0.0876049270551341,1.8600920057446777
2.0,1.4,8000,11,42.696163177490234,True,0.0876049270551341,1.8701971303490674
2.0,1.4,8000,12,42.21340560913086,True,0.0876049270551341,1.849051159568349
2.0,1.4,8000,13,42.247947692871094,True,0.0876049270551341,1.8505641879315466
2.0,1.4,8000,14,0.9296997785568236,False,0.0876049270551341,0.04072314064182243
2.0,1.4,8000,15,43.34296798706055,True,0.0876049270551341,1.898528774429726
2.0,1.4,8000,16,41.83388900756836,True,0.0876049270551341,1.8324273974703014
2.0,1.4,8000,17,1.1979565620422363,False,0.0876049270551341,0.05247344861646468
2.0,1.4,8000,18,43.00395965576172,True,0.0876049270551341,1.8836793743624676
2.0,1.4,8000,19,40.3850212097168,True,0.0876049270551341,1.7689634185986418
2.0,1.4,32000,0,184.0395965576172,True,0.0876049270551341,8.061387715843182
2.0,1.4,32000,1,177.27671813964844,True,0.0876049270551341,7.765156980598735
2.0,1.4,32000,2,177.31700134277344,True,0.0876049270551341,7.766921484134391
2.0,1.4,32000,3,175.7580108642578,True,0.0876049270551341,7.6986338605593865
2.0,1.4,32000,4,117.29622650146484,True,0.0876049270551341,5.137863683251657
2.0,1.4,32000,5,0.3032653331756592,False,0.0876049270551341,0.013283768695602282
2.0,1.4,32000,6,177.5191650390625,True,0.0876049270551341,7.775776752067691
2.0,1.4,32000,7,0.1497811377048492,False,0.0876049270551341,0.0065607828214341544
2.0,1.4,32000,8,176.22756958007812,True,0.0876049270551341,7.719201689083157
2.0,1.4,32000,9,174.40921020507812,True,0.0876049270551341,7.63955306887971
2.0,1.4,32000,10,177.33824157714844,True,0.0876049270551341,7.767851858725919
2.0,1.4,32000,11,177.4151153564453,True,0.0876049270551341,7.771219119639797
2.0,1.4,32000,12,179.64154052734375,True,0.0876049270551341,7.8687420269849335
2.0,1.4,32000,13,179.65066528320312,True,0.0876049270551341,7.869141713770661
2.0,1.4,32000,14,0.6388188600540161,False,0.0876049270551341,0.027981839818238003
2.0,1.4,32000,15,181.5212554931641,True,0.0876049270551341,7.951078173217501
2.0,1.4,32000,16,178.27078247070312,True,0.0876049270551341,7.808699447203813
2.0,1.4,32000,17,134.19329833984375,True,0.0876049270551341,5.87799705617493
2.0,1.4,32000,18,177.45335388183594,True,0.0876049270551341,7.7728940612535675
2.0,1.4,32000,19,173.16229248046875,True,0.0876049270551341,7.584935000725631
2.0,1.6,2000,0,1.4916205406188965,False,0.1515724920997731,0.11304432130440849
2.0,1.6,2000,1,11.77103042602539,True,0.1515724920997731,0.8920822081274612
2.0,1.6,2000,2,13.077786445617676,True,0.1515724920997731,0.9911163413554525
2.0,1.6,2000,3,11.450115203857422,True,0.1515724920997731,0.8677612481390855
2.0,1.6,2000,4,1.1853727102279663,False,0.1515724920997731,0.08983494787815753
2.0,1.6,2000,5,0.3931177258491516,False,0.1515724920997731,0.029792916697775652
2.0,1.6,2000,6,13.31085968017578,True,0.1515724920997731,1.0087800868573158
2.0,1.6,2000,7,6.190167427062988,True,0.1515724920997731,0.4691295517173888
2.0,1.6,2000,8,12.983168601989746,True,0.1515724920997731,0.9839456101775566
2.0,1.6,2000,9,11.755635261535645,True,0.1515724920997731,0.8909154664034629
2.0,1.6,2000,10,12.834443092346191,True,0.1515724920997731,0.9726742621098153
2.0,1.6,2000,11,13.130255699157717,True,0.1515724920997731,0.9950927891142919
2.0,1.6,2000,12,12.401090621948242,True,0.1515724920997731,0.9398321051619102
2.0,1.6,2000,13,12.460683822631836,True,0.1515724920997731,0.9443484501318172
2.0,1.6,2000,14,0.7848981618881226,False,0.1515724920997731,0.059484485220956944
2.0,1.6,2000,15,12.939690589904783,True,0.1515724920997731,0.9806505748559257
2.0,1.6,2000,16,12.546850204467772,True,0.1515724920997731,0.950878676746864
2.0,1.6,2000,17,1.059658765792847,False,0.1515724920997731,0.0803075599532958
2.0,1.6,2000,18,12.691943168640137,True,0.1515724920997731,0.9618747278297382
2.0,1.6,2000,19,11.862752914428713,True,0.1515724920997731,0.8990335112019032
