seed,stage,steps,w1,b1,b2,loss,gap,solves,degenerate,status,a,kind,s,frozen_reproduced,grad_norm
6,screen,600,4.614091752877712e-16,-0.38746989934078335,9.424416411616729,0.6931471805599452,-3.1086244689504383e-15,False,True,degenerate,1.35,glob,10.5,True,1.4262183592145876e-13
7,screen,600,1.2121231637937768,-1.8702543598508272,12.311745926268369,4.81423513390077,-1.1203372278994808,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.25361812807304707
8,screen,600,7.397016022807961e-14,3.8782166556089233,-1.1503847759004762,15.024126302852205,0.0,False,True,degenerate,1.35,glob,10.5,True,0.49999999999991096
9,screen,600,1.2496332049445718,-1.8055803342880477,9.347242411151413,5.561323486775617,-1.3055216203863969,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2523422749853552
10,screen,600,3.1749385080394166e-16,0.14844508953715385,-3.6551630552381393,0.6931471805599452,-2.1094237467877974e-15,False,True,degenerate,1.35,glob,10.5,True,5.070554750250947e-13
11,screen,600,7.070110931107531e-15,-0.45863574456783157,11.091305732758016,0.6931471805599452,-4.374278717023117e-14,False,True,degenerate,1.35,glob,10.5,True,3.890225381042657e-12
12,screen,600,-1.2899607531277129,-1.7362115370178381,8.0098302329302,5.900500700966104,-1.5140339617944076,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.25930079911092296
13,screen,600,-2.065122660744877e-14,-0.34612453587680553,8.443243513695005,0.6931471805599452,-1.3133938381315602e-13,False,True,degenerate,1.35,glob,10.5,True,4.3781224333446e-12
14,screen,600,-2.297135400831352e-16,-3.8782166556089197,19.560296923236624,5.819179050452626,0.0,False,True,degenerate,1.35,glob,10.5,True,0.49999117877033306
15,screen,600,-1.1448984467710286,-1.9839988571051062,16.408580267726443,3.781206487463292,-0.8171100828894824,False,False,carried,1.35,glob,10.5,True,0.25203459221896773
16,screen,600,-9.887270635120764e-15,-0.3197216596285858,7.812313065768472,0.6931471805599452,-6.306066779870889e-14,False,True,degenerate,1.35,glob,10.5,True,3.654688487989074e-12
17,screen,600,-5.753481686017126e-16,-0.2611450773281218,6.401823673528736,0.6931471805599451,-3.6637359812630166e-15,False,True,degenerate,1.35,glob,10.5,True,4.659814334234109e-13
18,screen,600,-8.893399588912838e-16,0.07220376919990373,-1.7807389303787875,0.6931471805599455,-5.856426454897701e-15,False,True,degenerate,1.35,glob,10.5,True,1.0879216581194922e-12
19,screen,600,1.1143973154745874,-2.034950504624193,18.508840215536118,3.2517983780710433,-0.691607691938402,False,False,carried,1.35,glob,10.5,True,0.2522207364262432
20,screen,600,1.1631401447646377,-1.9519807985752746,15.466468644985648,4.018856901603998,-0.8985541862712925,False,False,carried,1.35,glob,10.5,True,0.2526407787439423
21,screen,600,8.0342972791071705e-16,0.44313711194319017,-10.730834822105113,0.6931471805599452,-5.10702591327572e-15,False,True,degenerate,1.35,glob,10.5,True,6.682274254311816e-13
22,screen,600,1.0203053821316106e-14,0.21525333620143866,-5.2878680911469695,0.6931471805599452,-6.616929226765933e-14,False,True,degenerate,1.35,glob,10.5,True,2.654064388609413e-12
23,screen,600,-1.3056060838256862,-1.7065301683469694,7.673335532165451,5.986988748034371,-1.6040904728400784,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.26068269208917494
24,screen,600,1.3529077405105319,-1.6295045348031107,1.5927391732352911,7.516366246087038,-1.8533572884961649,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2521180892749648
25,screen,600,1.3776271828156084,-1.5844542153131824,0.15077775762539136,7.880226211737502,-1.9996171758487502,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2530608673000432
26,screen,600,2.086115732629328e-14,-0.37730341948239626,9.183967181555065,0.6931471805599452,-1.318944953254686e-13,False,True,degenerate,1.35,glob,10.5,True,5.036807831818991e-12
27,screen,600,1.25221211770285,-1.7918260775931745,9.763837776107982,5.457228912919772,-1.3397981376543968,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2564388503780178
28,screen,600,1.131130714454361e-14,-0.08354608167543638,2.0601223606079033,0.6931471805599453,-7.427392034742297e-14,False,True,degenerate,1.35,glob,10.5,True,5.359402626223675e-12
29,screen,600,-2.945015946405832e-13,3.878216655608921,-1.3705295841973797,14.914053898703777,0.0,False,True,degenerate,1.35,glob,10.5,True,0.499999999999889
30,screen,600,-1.6579588510515757e-13,0.14089998757782113,-3.470105223087336,0.6931471805599453,-1.0847434062100092e-12,False,True,degenerate,1.35,glob,10.5,True,7.522604822800081e-11
31,screen,600,1.4033334867348342e-14,0.1547811035522828,-3.8104737837084435,0.6931471805599452,-9.159339953157541e-14,False,True,degenerate,1.35,glob,10.5,True,3.163065843690334e-12
32,screen,600,1.2552035558227341,-1.796033842594413,8.673825500682288,5.73100288019408,-1.333660993215387,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.25203565925824467
33,screen,600,-9.055624445497866e-16,0.2736924091661441,-6.705106194683282,0.6931471805599452,-5.773159728050814e-15,False,True,degenerate,1.35,glob,10.5,True,2.024140722195348e-13
34,screen,600,1.193600533330162,-1.8927546537452122,13.512857185790656,4.511660259986806,-1.0523786095465333,False,False,carried,1.35,glob,10.5,True,0.25455583686686706
35,screen,600,-1.1133908118089817,-2.0337272677348994,18.68429742717768,3.20769596565921,-0.6930246127050101,False,False,carried,1.35,glob,10.5,True,0.252667193791703
36,screen,600,2.3787288157033438e-15,0.38383303740759733,-9.338463218079614,0.6931471805599453,-1.4988010832439613e-14,False,True,degenerate,1.35,glob,10.5,True,1.3098653293516202e-12
37,screen,600,1.8912474173395435e-15,-0.21318767403946143,5.237567170294544,0.6931471805599452,-1.2323475573339238e-14,False,True,degenerate,1.35,glob,10.5,True,2.642313178339738e-12
38,screen,600,-7.188587288489635e-16,0.38693524800283097,-9.41178494748307,0.6931471805599452,-4.440892098500626e-15,False,True,degenerate,1.35,glob,10.5,True,2.902253278719468e-13
39,screen,600,-1.2927785165530914,-1.7305524005762125,6.04696238750659,6.393271789022784,-1.5308826727177607,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2520660080447635
40,screen,600,1.9767766324447152e-14,3.878216655608934,-17.377162587035116,6.91073839133782,0.0,False,True,degenerate,1.35,glob,10.5,True,0.49999900594747404
41,screen,600,-1.1438224043217644,-1.9849253104184184,16.4635138084083,3.767360013564744,-0.8142783868717647,False,False,carried,1.35,glob,10.5,True,0.25199676572486496
42,screen,600,1.2554485478687377e-13,3.8782166556089215,-12.984898462518187,9.10686947184238,0.0,False,True,degenerate,1.35,glob,10.5,True,0.49999998770088977
43,screen,600,-1.1252454039683288,-2.0176219940051228,17.921065151794988,3.400027595192892,-0.7339379409484614,False,False,carried,1.35,glob,10.5,True,0.2525800730763257
44,screen,600,-1.0505069312071981e-14,-0.2086783309102296,5.127715903351105,0.6931471805599452,-6.827871601444713e-14,False,True,degenerate,1.35,glob,10.5,True,6.825861237666619e-12
45,screen,600,-1.1385455494227783e-13,3.878216655608923,-6.672571412796356,12.263032984426488,0.0,False,True,degenerate,1.35,glob,10.5,True,0.49999999997769184
46,screen,600,8.02544250585883e-15,-3.878216655608961,10.890986134728827,10.153825624953253,0.0,False,True,degenerate,1.35,glob,10.5,True,0.4999999984846983
47,screen,600,-1.27910868352855,-1.7448009383632057,7.914316108788705,5.923668546027955,-1.4806177571625598,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2573510959499689
48,screen,600,-1.336205114346369,-1.6551358567870038,3.170334793073354,7.118743917797694,-1.7680471479334647,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.25293718862203557
49,screen,600,-1.3035428766618598,-1.7137675921984978,5.242771231568412,6.596009213999986,-1.5841626246669023,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.2520397157570807
35,full,3600,-0.7958410377691252,-2.497606142724391,32.33474555057561,0.17080838079544947,0.10468078821604765,True,False,not lowest,1.35,glob,10.5,True,1.0060188573361665e-15
19,full,3600,0.7958410377691457,-2.4976061427243903,32.33474555057531,0.17080838079544944,0.10468078821604898,True,False,RETAINED,1.35,glob,10.5,True,2.8824819762011766e-14
5,full,3600,0.7958410377691262,-2.497606142724391,32.3347455505756,0.17080838079544947,0.10468078821604809,True,False,not lowest,1.35,glob,10.5,True,4.715332236053838e-16
43,full,3600,-0.7958410377691463,-2.49760614272439,32.334745550575306,0.17080838079544947,0.10468078821604943,True,False,not lowest,1.35,glob,10.5,True,2.9520363245564165e-14
41,full,3600,-0.7958410377691358,-2.49760614272439,32.334745550575455,0.17080838079544947,0.10468078821604809,True,False,not lowest,1.35,glob,10.5,True,1.477937562995367e-14
15,full,3600,-0.7958410377691388,-2.4976061427243907,32.33474555057541,0.17080838079544947,0.10468078821604854,True,False,not lowest,1.35,glob,10.5,True,1.8916075991603443e-14
20,full,3600,0.7958410377691487,-2.49760614272439,32.33474555057527,0.17080838079544944,0.10468078821604898,True,False,not lowest,1.35,glob,10.5,True,3.3088753823765884e-14
34,full,3600,0.7958410377691498,-2.49760614272439,32.33474555057525,0.17080838079544944,0.10468078821604943,True,False,not lowest,1.35,glob,10.5,True,3.529184069713422e-14
-1,constant,0,0.0,0.0,0.0,0.6931471805599453,0.0,False,True,constant predictor (exact),1.35,glob,10.5,True,0.0
0,screen,600,5.374398574066523e-15,0.7375004860422968,-2.4679417184341434,0.6931471805599453,-3.019806626980426e-14,False,True,degenerate,1.35,solve,1.5,True,1.4434872294901313e-13
1,screen,600,1.0734064203201217,-2.2111184648314763,4.112303472423687,0.4703616581929324,-0.42153054969555415,False,False,carried,1.35,solve,1.5,True,1.0460855641188647e-06
2,screen,600,6.44108166198983e-15,-0.3327456315208878,1.1605630042919675,0.6931471805599453,-4.0967229608668276e-14,False,True,degenerate,1.35,solve,1.5,True,3.8043454438996005e-14
3,screen,600,-1.0743485052311121,-2.2089451655598378,4.104184848994429,0.47036714137792424,-0.4251657135823663,False,False,not carried (screen rank > 8),1.35,solve,1.5,True,0.0013264960798212602
4,screen,600,-1.2850105889129515e-15,0.38676058144538106,-1.3439511445745247,0.6931471805599453,-8.104628079763643e-15,False,True,degenerate,1.35,solve,1.5,True,7.659930749775148e-15
5,screen,600,1.0734047976219145,-2.2111215436765366,4.112317451074318,0.47036165819375647,-0.4215248038943984,False,False,carried,1.35,solve,1.5,True,1.1791585440623825e-06
6,screen,600,3.659346283075414e-15,-0.2303915882548084,0.8080139166827564,0.6931471805599455,-2.3647750424515834e-14,False,True,degenerate,1.35,solve,1.5,True,1.4633707128246327e-14
7,screen,600,1.0734848324272679,-2.211008962382493,4.1117311269858465,0.47036168501679937,-0.4217783303220912,False,False,carried,1.35,solve,1.5,True,9.062199013807981e-05
8,screen,600,1.0620871304177553,4.054535316086528,-5.21028816422328,0.4711997694983263,-0.38493585581856893,False,False,not carried (screen rank > 8),1.35,solve,1.5,True,0.01640955918815781
9,screen,600,1.0734114209852448,-2.211110989511146,4.112266026124375,0.47036165834517246,-0.42154672481183253,False,False,carried,1.35,solve,1.5,True,6.883635285025655e-06
10,screen,600,1.434245621873636e-15,0.09379770597838229,-0.3303585198888396,0.6931471805599455,-9.43689570931383e-15,False,True,degenerate,1.35,solve,1.5,True,8.983001170861546e-15
11,screen,600,2.7134557665276688e-14,-0.6961718340875678,2.3428599392039144,0.6931471805599452,-1.5498713423767185e-13,False,True,degenerate,1.35,solve,1.5,True,8.012160414263877e-14
12,screen,600,-1.073738748341977,-2.2106271019210766,4.109840380791189,0.4703621468656127,-0.4226017593544089,False,False,not carried (screen rank > 8),1.35,solve,1.5,True,0.00038556078016960824
13,screen,600,5.2460217579700245e-14,-0.8620253472091528,2.830341921416441,0.6931471805599452,-2.7622348852673895e-13,False,True,degenerate,1.35,solve,1.5,True,9.901308492100578e-14
14,screen,600,6.6568029750375315e-15,-3.878196719147191,4.456950367981346,0.6931471805605338,0.0,False,True,degenerate,1.35,solve,1.5,True,5.425847239299957e-07
