a,seed,precision,w1,b1,w2,b2,solved,gap,gap_continuous,placement_ok,bias_ok,bias_lo,bias_hi,bias_width,margin_grid,lipschitz,certify_threshold,certified,rho,R,predicted_solved,failure
1.15,0,float64,0.8115700522048864,2.41093176964555,-2.915895378082351,8.579873316569085,False,-0.2478584272594202,-0.2478584272594202,False,False,9.151968012055432,8.42923876959093,-0.722729242464504,-0.5720946954863475,5.087874733060704,0.001018083988606444,False,-7.830595892377012,0.04614778060301081,False,placement
1.15,1,float32,0.8427255749702454,-2.4130101203918457,3.0986294746398926,9.038866996765137,False,-0.28582829545893773,-0.28582829545893773,False,False,9.786899976291094,8.901223995295949,-0.8856759809951442,-0.7480329795259575,5.614282757116653,0.0011234182605536075,False,-9.030178643081882,0.049039781825006866,False,placement
1.15,1,float64,-0.8053534449063403,2.451533656717042,-3.717276798069448,10.992909873997498,False,-0.2215957730883109,-0.2215957730883109,False,False,11.697703172632698,10.873970346781258,-0.8237328258514403,-0.7047932986352006,6.436501601240626,0.0012879442923943224,False,-7.000879371744203,0.05883066841403205,False,placement
1.15,2,float32,-0.7468844652175903,-2.502136707305908,4.794708251953125,14.389049530029297,False,-0.13752619788500065,-0.13752619788500065,False,False,15.00104906092853,14.341651065069579,-0.659397995858951,-0.611999530899233,7.699350183563911,0.0015406403568912277,False,-4.344867722110444,0.07588240172460992,False,placement
1.15,2,float64,0.7873783617859974,-2.456294249682161,3.7259754327247663,11.051179903452434,False,-0.19877918929232274,-0.19877918929232274,False,False,11.691405490640697,10.950759114800558,-0.7406463758401405,-0.6402255871882634,6.307567729388453,0.001262144618186784,False,-6.280034616427737,0.05896833545333555,False,placement
1.15,3,float32,-0.8766376972198486,-2.347517490386963,2.678656816482544,7.649883270263672,False,-0.36631140783335514,-0.36631140783335514,False,False,8.46254753425721,7.481324984709076,-0.9812225495481339,-0.812664263993538,5.048654817973542,0.0010102360816355263,False,-11.572883106001765,0.04239317638312903,False,placement
1.15,3,float64,-0.90633370805206,-2.316185241605994,2.369479900980295,6.673642896543726,False,-0.4282744893844135,-0.4282744893844135,False,False,7.509249806123981,6.494462011425014,-1.0147877946989665,-0.835606909580255,4.617209935342141,0.0009239039390379473,False,-13.530483891408581,0.037500055535461076,False,placement
1.15,4,float32,-0.0013618803350254,-0.1828486919403076,-0.6837398409843445,-0.2681435644626617,False,-0.008126063618893564,-0.008126063618893564,False,False,-0.2640263371090592,-0.26958245055567015,-0.005556113446610953,-0.004117227353602482,0.0020020194639764413,4.0060419489273466e-07,False,-0.2567268787221912,0.010821059084785827,False,placement
1.15,4,float64,-0.0019122572771597,0.5113570190006127,-0.8192503327814231,0.8797387572918243,False,-0.010720665890817216,-0.010720665890817216,False,False,0.8862472208372503,0.8774643117385599,-0.008782909098690455,-0.006508463545426002,0.0033682274329550816,6.739824778299313e-07,False,-0.33869819645193855,0.012965686252091919,False,placement
1.15,5,float32,0.7920114398002625,-2.4406557083129883,3.631927967071533,10.782358169555664,False,-0.21096956180629522,-0.21096956180629522,False,False,11.389987471137411,10.623761219412302,-0.7662262517251099,-0.6076293015817473,6.184536271670005,0.0012375260173426725,False,-6.665165281501101,0.057479913802868494,False,placement
