seed,ck_step,level,variant,k,G_4000,placed_4000,dist_4000,w1_4000,b1_4000,G_16000,placed_16000,dist_16000,w1_16000,b1_16000,G_64000,placed_64000,dist_64000,w1_64000,b1_64000,first_hit,settle_step,w2_sign,block4_reproduced_rows,block4_reproduced_all
200002,1776,1.05,preserved,2.367865439792423,0.010113325231969394,True,0.014813169840348795,0.8407437373803197,-2.464267675484991,0.010119925490467807,True,0.014810749426759532,0.8407384227427107,-2.464272992429251,0.009866280364093427,True,0.014905307764149722,0.8409417580415347,-2.464068468652384,47.0,59.0,1.0,3258,False
200002,1776,1.05,reset,2.367865439792423,0.01011332523196895,True,0.014813169840348993,0.8407437373803199,-2.464267675484991,0.010113325238302995,True,0.014813169838026911,0.8407437373752218,-2.464267675490094,0.010115744573746532,True,0.014812277579774834,0.8407417848000402,-2.4642696229988745,152.0,152.0,1.0,3258,False
200002,1776,1.1,preserved,2.4806209369253955,0.01754185827605914,True,0.014640068874253004,0.8348289982423481,-2.4703515323273657,0.017541848663904958,True,0.014640072257543893,0.8348290061411269,-2.4703515244272087,0.017541853283635334,True,0.014640070632819049,0.8348290023461614,-2.470351528224527,46.0,46.0,1.0,3258,False
200002,1776,1.1,reset,2.4806209369253955,0.017541858276058697,True,0.01464006887425261,0.8348289982423477,-2.4703515323273657,0.017368692007862396,True,0.014702200156054489,0.83497120917189,-2.4702092259251063,0.017541858293971035,True,0.014640068867942654,0.8348289982276236,-2.470351532342086,136.0,136.0,1.0,3258,False
200002,2863,0.9,preserved,1.1509053925245762,-0.023731696169790872,False,0.015556107654712626,0.8618066561830743,-2.4426232075830554,-0.02365756920770057,False,0.015504786456828571,0.8617494398297804,-2.442627735580227,-0.02158605283450621,False,0.014920330545632177,0.8605294630382678,-2.4438507010898256,,,1.0,3258,False
200002,2863,0.9,reset,1.1509053925245762,-0.0236575692187051,False,0.015504786460390652,0.8617494398362544,-2.442627735573759,-0.023692834396686013,False,0.015516208354448799,0.8617701786191238,-2.442606984320552,-0.023657569243013654,False,0.015504786468253255,0.8617494398505534,-2.4426277355594617,,,1.0,3258,False
200002,2863,0.95,preserved,1.2148445809981636,-0.010758290668863246,False,0.015264044474259223,0.8541317088562178,-2.4504789338866764,-0.010758442608334917,False,0.015264095011263865,0.8541318019197437,-2.450478846722979,-0.01075829823382879,False,0.015264049785520206,0.8541317148472872,-2.450478933431086,,,1.0,3258,False
200002,2863,0.95,reset,1.2148445809981636,-0.011501301548751286,False,0.01550662719770061,0.8545789273340548,-2.450031363267088,-0.010851082030335135,False,0.015293147702187492,0.8541875994573939,-2.4504230184713207,-0.0107580727894252,False,0.01526397969635319,0.854131579138959,-2.450479069564914,,,1.0,3258,False
200002,2863,1.0,preserved,1.2787837694717512,0.0007823257879207013,True,0.015053148328887692,0.8471559933894227,-2.4576657719865667,0.0007823258250780896,True,0.015053148317604242,0.8471559933665304,-2.457665772009458,0.0006885142410002487,True,0.015081859298593512,0.847213799067399,-2.4576080266764175,24.0,62976.0,1.0,3258,False
200002,2863,1.0,reset,1.2787837694717512,0.0007824975970081027,True,0.015053097269262006,0.8471558880706995,-2.4576658793459254,0.0007823278753704699,True,0.015053147694976529,0.8471559921033653,-2.45766577327254,0.0007780323489909868,True,0.015054454814320821,0.8471586396021494,-2.457663130104383,35.0,63901.0,1.0,3258,False
