a,seed,arm,budget,placed_at,placed,gap_final,w2_final,R_final,loss_final,grad_100,grad_500,grad_2000,grad_8000,grad_11999
1.3,4,jump,12000,,False,-0.0011811925335700746,5.124079703401694,0.2197797248409459,0.69314631295365,0.06050010076086347,2.3610230654101465e-08,2.363689369020649e-08,7.679857214132136e-06,3.491460469836233e-07
1.3,5,jump,12000,,False,-0.027012291756294715,4.467784099359463,0.1916301886081336,0.6928397054470062,0.20369398551275875,6.566118764650424e-06,6.577197532853378e-06,8.44664906286452e-05,0.00011654454105927852
1.3,6,jump,12000,,False,-0.010518114474281082,4.622519292596709,0.19826702100758206,0.6930673098916291,0.03464955304676811,1.0049057637979918e-06,1.0053165653613737e-06,1.0545264727996604e-06,0.05105081806372417
1.3,7,jump,12000,,False,-0.007966748905666954,4.995918037124025,0.21428267222270425,0.6931170695884395,0.02115789892888254,8.658934523917171e-07,8.661509067798018e-07,0.03983353724551412,0.005466087264214745
1.3,8,jump,12000,,False,-0.0019227692478779312,4.791165164247346,0.20550050397669598,0.6931452205714911,0.12824347890035503,3.183821125956287e-08,3.177773076927003e-08,0.005997312344171117,9.710043177517728e-08
1.3,9,jump,12000,1200.0,True,0.08242692994095124,24.386188970918745,1.0459614627754112,0.06247700200277773,5.480598329174773,1.7179701857666185,0.0053181902859605204,0.0026145486726474603,0.00169259830636438
1.3,10,jump,12000,10450.0,True,0.07390466707768528,10.11021017016738,0.4336425929925329,0.21180473347888973,0.059323252417513093,3.0121301984672445e-05,3.0509181219350577e-05,6.70853341354075e-05,0.0060369861754930015
1.3,11,jump,12000,,False,-0.02229752618948544,4.800066388188464,0.20588229127544308,0.6928892660809877,0.3704298939079736,4.030320533586735e-06,4.0254907919853145e-06,1.997322922146817e-05,1.4939701428942361e-05
1.3,12,jump,12000,,False,-0.03235760593209647,4.712087411528589,0.20210873652974723,0.6926582906907681,5.1788776141366375,3.114075398928421e-05,3.121363026782665e-05,6.509748054046457e-05,5.3223627926952116e-05
1.3,13,jump,12000,,False,-0.038318857225863256,5.733954914088428,0.24593821841454527,0.6920386271186202,0.6382567036157358,5.8487619871077784e-05,5.7961662769722306e-05,4.187504037878081e-05,0.003639753009852292
1.3,14,jump,12000,,False,-0.001040164279085598,4.606768754116101,0.19759145598640046,0.6931464065242153,0.3945150169943996,1.8225511996897236e-08,1.8437428659294403e-08,2.5313142977989138e-05,0.003394009139652524
1.3,15,jump,12000,,False,-0.014823957266876187,4.805251770498905,0.20610470036416728,0.6930317201359457,0.15996225368772962,1.3956537199506094e-06,1.395346415212354e-06,1.3899103131931894e-06,1.5735955945742373e-06
1.3,16,jump,12000,,False,-0.005089875069164584,4.682666973901363,0.20084684833504968,0.6931338023959337,0.2808997033390986,1.873859033437367e-07,1.8736002511510248e-07,1.4500256568527282e-06,1.6092752365142722e-06
1.3,17,jump,12000,,False,-0.0020530957760866997,5.5785702191667506,0.23927352788061207,0.6931441979227793,0.012215185696727334,8.71434075027311e-08,8.713095092276896e-08,4.072267015631269e-07,7.448458883495854e-06
1.3,18,jump,12000,,False,-0.018261320966852068,5.960357786620867,0.25564898872035186,0.6929037958824438,0.37076651035673236,0.0005910627514004897,3.183817965783567e-05,1.9532175679591844e-05,2.3854135232165254e-05
1.3,19,jump,12000,,False,-0.06450603728509141,3.6466038528093816,0.15640849435701112,0.6919818473721144,0.7086967915776922,1.835128899109188e-05,1.8405878815899132e-05,2.1350149449019082e-05,6.920376268163247e-05
1.3,20,jump,12000,,False,-0.03586652884977126,4.886881283762782,0.20960591677813625,0.6924552470206948,0.5890980681514248,1.0127589626037717e-05,1.011779956160737e-05,0.000635623508715216,4.310139639170779e-05
