a,seed,precision,exact_sep,grid_solved,agree,exact_gap,grid_gap,certified,inner_max_logit,outer_min_logit
1.02,44,float32,False,False,True,-0.4843436109573336,-0.4843436109573336,False,0.2701574448779711,-0.945635778547075
1.02,44,float64,False,False,True,-1.194382000560947,-1.194382000560947,False,0.27789631200031284,-0.9412502072991549
1.02,45,float32,False,False,True,-0.8516042350330157,-0.8516042350330157,False,0.21048825754796763,-1.1139002373945681
1.02,45,float64,False,False,True,-0.5165768457903486,-0.5165768457903486,False,0.19860141380879792,-1.1139785808556235
1.02,46,float32,False,False,True,-0.25043868896598415,-0.2507714012095062,False,0.04164955959116685,-0.10550914701682587
1.02,46,float64,False,False,True,-0.20809695281652468,-0.2091423592609418,False,0.03810494501014339,-0.09445970065808745
1.02,47,float32,False,False,True,-0.6882376868489151,-0.6882376868489151,False,0.26398069372075206,-0.9877835308872713
1.02,47,float64,False,False,True,-0.5340611901658505,-0.5340611901658505,False,0.25860790254987176,-0.9894424799458399
1.02,48,float32,False,False,True,-0.05702133746701654,-0.0570880937968525,False,0.014257488406686947,-0.036489348923383846
1.02,48,float64,False,False,True,-0.595024485003536,-0.595024485003536,False,0.25855012771434094,-0.8662617928516863
1.02,49,float32,False,False,True,-0.8037114575055626,-0.8037114575055626,False,0.2250476689566514,-0.965773707354403
1.02,49,float64,False,False,True,-0.9636875962979072,-0.9636875962979072,False,0.22676651850294904,-0.9643441496759939
1.02,50,float32,False,False,True,-0.30497576633582585,-0.3049757663358258,False,0.08590194507830332,-0.2364170609908422
1.02,50,float64,False,False,True,-0.7471519342521131,-0.7471519342521131,False,0.2741782301125264,-0.9548222073819925
1.02,51,float32,False,False,True,-0.434519488126043,-0.434519488126043,False,0.2361660172241251,-0.7385082411766755
1.02,51,float64,False,False,True,-0.6116375068063551,-0.6116375068063551,False,0.2558141694195353,-0.9610005582653942
1.02,52,float32,False,False,True,-0.4615860927168671,-0.4615860927168667,False,0.2791449579698382,-0.8527377203897739
1.02,52,float64,False,False,True,-0.283454091136909,-0.283454091136909,False,0.2688238499125788,-0.8480125136101258
1.02,53,float32,False,False,True,-0.5743388330045289,-0.5743388330045289,False,0.2705128691734737,-0.9352201424167967
1.02,53,float64,False,False,True,-0.6533289133769871,-0.6533289133769871,False,0.27182963452050846,-0.936521123611417
1.02,54,float32,False,False,True,-0.8869830327428074,-0.8869830327428074,False,0.2785283444788811,-0.8939947311641818
1.02,54,float64,False,False,True,-0.44119766603871646,-0.4411976660387164,False,0.2683782832655597,-0.8925776110395107
1.02,55,float32,False,False,True,-0.15111929447629024,-0.1524716175694286,False,0.0051040386557501954,-0.013082788843080673
1.02,55,float64,False,False,True,-0.10013044309971597,-0.1005027821835106,False,0.01071550721556419,-0.0282247972357324
1.02,56,float32,False,False,True,-0.6771839607245278,-0.6771839607245278,False,0.33673481822612494,-0.7835591679157483
1.02,56,float64,False,False,True,-0.41654566058760834,-0.4165456605876083,False,0.23576378656652786,-0.9570245196361995
1.02,57,float32,False,False,True,-0.10437686253888528,-0.1043768625388852,False,0.02086390809557244,-0.054829053842580994
1.02,57,float64,False,False,True,-0.6547662959067448,-0.6547662959067448,False,0.2723236766704984,-0.8227227282908123
1.02,58,float32,False,False,True,-0.9714403542469028,-0.9714403542469028,False,0.24784557091334403,-0.9352309099513985
1.02,58,float64,False,False,True,-0.4674475659571664,-0.4674475659571664,False,0.2382502788832257,-0.9351266001500935
1.02,59,float32,False,False,True,-0.056249167435269865,-0.0565661779994026,False,0.002726938302284543,-0.0074083035159531185
