activation,width,depth,seed,layer,final_layer,distortion,native_min_distance,reportable_native,rand_n,rand_n_reportable,rand_frac_zero_all,rand_frac_zero_reportable,rand_any_nonzero_reportable,rand_distinct_all,rand_distinct_reportable,rand_min_proj_dist,rand_median_proj_dist,pca_n,pca_n_reportable,pca_frac_zero_all,pca_frac_zero_reportable,pca_any_nonzero_reportable,pca_distinct_all,pca_distinct_reportable,pca_min_proj_dist,pca_median_proj_dist
gelu,5,12,0,4,False,0.9939772198047572,0.000977955702064618,False,48,0,0.8333333333333334,,False,"(-5, -2, -1, 0, 1)",(),8.885304151001347e-05,0.0005794905689679051,10,0,0.7,,False,"(-2, -1, 0, 6)",(),0.00015536576240473356,0.0006114102828921626
gelu,5,12,0,5,False,0.998918043397363,0.0003644138025724838,False,48,0,0.6875,,False,"(-6, -2, -1, 0, 1, 2, 3, 6)",(),4.1351767394674754e-05,0.00029021281561015296,10,0,0.4,,False,"(-2, -1, 0, 1)",(),4.564937594954072e-05,0.00015935161338322666
gelu,5,12,0,6,False,0.9994921668519327,0.00023013824576256523,False,48,0,0.7916666666666666,,False,"(-6, -1, 0, 1, 2, 51)",(),5.867695182215391e-05,0.0001626640326388971,10,0,0.8,,False,"(-4, -2, 0)",(),1.2878052152405898e-05,0.00010398995404159678
gelu,5,12,0,7,False,0.9998845545922179,0.00014919627191898777,False,48,0,1.0,,False,"(0,)",(),5.032710513511012e-05,0.0001070573006381456,10,0,0.7,,False,"(-1, 0, 1)",(),3.411837557068958e-05,6.639257363288593e-05
gelu,5,12,0,8,False,0.9999662523926852,5.611782845065421e-05,False,48,0,1.0,,False,"(0,)",(),9.84451504361687e-06,3.6072304477910884e-05,10,0,1.0,,False,"(0,)",(),1.266447984743854e-05,3.419755042738719e-05
gelu,5,12,0,9,False,0.9999976063525462,5.08934321368317e-05,False,48,0,1.0,,False,"(0,)",(),1.0267235279147375e-05,3.54912231447594e-05,10,0,0.8,,False,"(-1, 0, 1)",(),3.4009958553507267e-06,2.5201954593148473e-05
gelu,5,12,0,10,False,0.9999995209385006,2.8381826732550364e-05,False,48,0,1.0,,False,"(0,)",(),1.0580789830932349e-05,2.1491668847865027e-05,10,0,1.0,,False,"(0,)",(),2.1821557136881133e-06,1.696491441832857e-05
gelu,5,12,0,11,False,0.9999999243960014,0.0,False,0,0,,,False,(),(),,,0,0,,,False,(),(),,
gelu,5,12,0,12,True,0.9999999860685536,0.0,False,0,0,,,False,(),(),,,0,0,,,False,(),(),,
gelu,6,12,0,1,False,0.7594434280399189,0.2821888592521208,True,48,38,0.4166666666666667,0.4473684210526316,True,"(-1, 0, 1, 2)","(-1, 0, 1)",0.003504126991637558,0.04688043101304523,20,12,0.5,0.75,True,"(-1, 0, 1)","(-1, 0, 1)",0.0018584909654617494,0.05104882561313559
gelu,6,12,0,2,False,0.8186771022271117,0.27964931817435323,True,48,44,0.9583333333333334,0.9772727272727273,True,"(-1, 0)","(-1, 0)",0.003407877777108152,0.13317982369835424,20,6,0.6,0.8333333333333334,True,"(-1, 0, 1)","(0, 1)",0.0010456890985104195,0.010453553789833613
gelu,6,12,0,3,False,0.8786612290949667,0.31233757277029506,True,48,46,0.9791666666666666,0.9782608695652174,True,"(0, 1)","(0, 1)",0.017097865832038543,0.11154680954616458,20,7,0.55,1.0,False,"(-2, -1, 0, 1)","(0,)",0.0026302594428073795,0.011833259140885032
gelu,6,12,0,4,False,0.8852231654788106,0.40363469621295706,True,48,47,0.9791666666666666,1.0,False,"(0, 1)","(0,)",0.007813441768379392,0.21236159727114695,20,12,0.85,1.0,False,"(-2, 0, 1)","(0,)",0.006794882965544957,0.04330344057340077
gelu,6,12,0,5,False,0.9657258033694233,0.8122754354727415,True,48,47,1.0,1.0,False,"(0,)","(0,)",0.014878069524729745,0.41578271121912447,20,15,0.75,0.8666666666666667,True,"(-2, -1, 0, 1)","(-1, 0, 1)",0.0027889662276770525,0.17746749792438477
gelu,6,12,0,6,False,0.9866561439243317,1.4379226537000949,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.06053418057516899,0.6685058739665681,20,13,0.7,0.9230769230769231,True,"(-1, 0, 1)","(-1, 0)",0.008400762600140992,0.10676642618752955
gelu,6,12,0,7,False,0.9943022468070012,3.602435942245072,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.031017448095094175,1.5502023761924524,20,15,0.8,1.0,False,"(-2, -1, 0, 1, 12)","(0,)",0.0024157451386471046,0.04892818503146913
gelu,6,12,0,8,False,0.9976805688963468,5.078068524202538,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.6216449618861047,3.1747453619238906,20,11,0.8,1.0,False,"(-6, 0, 1, 2, 3)","(0,)",0.0010533281610965335,0.0207584725504934
gelu,6,12,0,9,False,0.998928840008803,6.003510667862656,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.4643939473275533,2.929536457283084,20,18,1.0,1.0,False,"(0,)","(0,)",0.015926570776736114,0.14658283002110634
gelu,6,12,0,10,False,0.9996377847607727,6.339054832012052,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.474589266491852,4.563000247599389,20,16,1.0,1.0,False,"(0,)","(0,)",0.006248836026090821,1.6627181056850964
gelu,6,12,0,11,False,0.9999452609006179,10.51970198576007,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.868497203053796,6.570010079996814,20,20,1.0,1.0,False,"(0,)","(0,)",0.04066491687516619,3.3440247431899617
gelu,6,12,0,12,True,0.9999769369074094,8.131644843688786,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.8870818369845952,5.191626111941577,20,16,0.9,1.0,False,"(-2, -1, 0)","(0,)",0.0007377705473981534,3.6208631180428412
