a,seed,precision,w1,b1,w2,b2,solved
1.02,76,float32,0.8101352453231812,-2.3584654331207275,2.4122462272644043,6.858792304992676,False
1.02,76,float64,0.7880162492699149,-2.38063874727499,2.618216786798474,7.505354371245313,False
1.02,77,float32,-0.7299912571907043,2.462360143661499,-3.4348320960998535,10.003521919250488,False
1.02,77,float64,-0.8583182080971035,2.3389795027123967,-2.1183493695410744,5.875726869558917,False
1.02,78,float32,0.9152311682701111,-2.283186435699463,1.7316174507141113,4.656367301940918,False
1.02,78,float64,0.8148038870474354,-2.379916275430487,2.432159616144573,6.850527802992479,False
1.02,79,float32,0.03681444749236107,0.011337269097566605,0.25316211581230164,-0.006105397827923298,False
1.02,79,float64,-0.71131838208999,2.4769604914230716,-3.3426518808853407,9.829483039619262,False
1.02,80,float32,-0.00835579726845026,-0.3777652382850647,-0.506855309009552,-0.38223302364349365,False
1.02,80,float64,0.8425131038625572,-2.3436875048675625,2.089609017083774,5.8880829478714505,False
1.02,81,float32,0.9220535755157471,2.286121129989624,-1.3859091997146606,3.758200168609619,False
1.02,81,float64,-0.06257343549023146,-0.1852996606017328,-0.5918958266697213,-0.22127208893679964,False
1.02,82,float32,0.030796118080615997,0.06637618690729141,1.1851027011871338,-0.16357392072677612,False
1.02,82,float64,0.8641477646675528,-2.32886032441876,2.0147895744527955,5.592406808788808,False
1.02,83,float32,-0.8816884160041809,2.3037681579589844,-2.0663673877716064,5.701523780822754,False
1.02,83,float64,-0.8199439584299925,2.3634421122807536,-2.5555733898429223,7.2325291957850695,False
1.02,84,float32,0.7655875086784363,-2.440319776535034,2.531585216522217,7.3316521644592285,False
1.02,84,float64,0.03557757411117458,0.008867387891479084,-1.1704530763018768,0.02185429000975904,False
1.02,85,float32,0.8155795931816101,2.3503761291503906,-2.318295478820801,6.5752997398376465,False
1.02,85,float64,-0.8135019483404545,-2.352270533598223,2.3357962111539483,6.629755705691001,False
1.02,86,float32,0.11406111717224121,0.3674342930316925,-0.49969354271888733,0.3592766523361206,False
1.02,86,float64,0.798939867962503,-2.398388873708976,2.1443330100609708,6.157142102693575,False
1.02,87,float32,-0.88130784034729,2.2916126251220703,-1.8239936828613281,5.062246322631836,False
1.02,87,float64,-0.829063564398009,2.343396941690416,-2.184726756055136,6.191793197707608,False
