a,seed,optimiser,cross_step,cross_w2,cross_R,local_rate,final_placed,final_solved,R_final
1.25,0,sgd,16950.0,6.23889837307894,0.2066521279515965,0.0006646149994799438,True,False,0.26905888259527216
1.25,1,sgd,7025.0,6.698963233251711,0.2218909372197041,0.0006515874566813447,True,True,0.44091916746097265
1.25,2,sgd,,,,,False,False,0.1989930999114819
1.25,3,sgd,8550.0,7.565703836144138,0.25060013862978825,0.0005915335064211145,True,True,0.4334750293792513
1.25,4,sgd,,,,,False,False,0.026976954525548276
1.25,5,sgd,7175.0,6.936317095487781,0.22975285093836073,0.0006562648070027825,True,True,0.44811579734968343
1.25,6,sgd,,,,,False,False,0.03001071934584563
1.25,7,sgd,7175.0,6.603670171125442,0.21873452836515517,0.0006569597846167161,True,True,0.4373694855678021
1.25,8,sgd,,,,,False,False,0.021533234294313565
1.25,9,sgd,5875.0,5.9434746773256055,0.19686675692548966,0.0007037656723936346,True,True,0.44426338116820263
1.25,10,sgd,7850.0,6.855323320639691,0.22707007989092498,0.0006266514244498434,True,True,0.42891269103810375
1.25,11,sgd,,,,,False,False,0.028899440679562516
1.25,12,sgd,6550.0,6.241526702979406,0.206739186585094,0.0006639044286399188,True,True,0.4358493872196879
1.25,13,sgd,8550.0,7.375755953087852,0.24430846149607166,0.0005986297241897717,True,True,0.42958017764391254
1.25,14,sgd,6375.0,6.268065153382989,0.20761822434472524,0.0006755578739518438,True,True,0.44119604469163737
1.25,15,sgd,7500.0,6.835086848122619,0.22639978365306157,0.0006537619095245597,True,True,0.43908290444120257
1.25,16,sgd,,,,,False,False,0.019074345984420742
1.25,17,sgd,,,,,False,False,0.024217762997177806
1.25,18,sgd,8100.0,6.903389423166405,0.2286621818575712,0.0006386354240696214,True,True,0.4296243577528005
1.25,19,sgd,6700.0,6.44412932056808,0.21345002871612245,0.000645350121666408,True,True,0.4346471033914314
1.25,20,sgd,8250.0,7.312809187553177,0.242223464711777,0.0006114868985928053,True,True,0.43499137517136693
1.25,21,sgd,,,,,False,False,0.04318047113004564
1.25,22,sgd,11900.0,6.50035059190087,0.21531225577325777,0.0006577319470569089,True,True,0.36463179820531927
1.25,23,sgd,,,,,False,False,0.016391023773068038
1.25,24,sgd,10200.0,7.323018160144589,0.24256161830621897,0.0006126095550671783,True,True,0.40789836074627894
