seed,raw_distance,normalized_distance,init_norm,a,kind
21,6017.01708984375,0.9999264023198119,2.5431268215179443,1.05,constructed
22,6016.92236328125,0.9999106603683714,2.3864357471466064,1.05,constructed
23,6017.9697265625,1.0000847144190919,2.5520381927490234,1.05,constructed
24,6017.6865234375,1.0000376508529298,2.6329424381256104,1.05,constructed
25,6017.0458984375,0.9999311898205077,2.3630166053771973,1.05,constructed
26,6017.00146484375,0.999923805709265,2.6287853717803955,1.05,constructed
27,6017.65185546875,1.000031889623279,2.5118329524993896,1.05,constructed
28,6017.54443359375,1.0000140379257692,2.639101982116699,1.05,constructed
29,6017.8671875,1.000067674162378,2.4441683292388916,1.05,constructed
30,6017.046875,0.9999313521086669,2.6345322132110596,1.05,constructed
31,6016.958984375,0.9999167461743407,2.4932303428649902,1.05,constructed
32,6017.234375,0.9999625114352294,2.586761713027954,1.05,constructed
33,6017.212890625,0.9999589410957275,2.55322003364563,1.05,constructed
34,6017.46435546875,1.0000007302967162,2.149155616760254,1.05,constructed
35,6017.11474609375,0.9999426311357299,2.698593854904175,1.05,constructed
36,6017.33447265625,0.9999791459715454,2.471923351287842,1.05,constructed
37,6017.16650390625,0.9999512324081664,2.4918100833892822,1.05,constructed
38,6016.9775390625,0.9999198296493651,2.622814178466797,1.05,constructed
39,6017.76318359375,1.0000503904734255,2.642331123352051,1.05,constructed
40,6017.6650390625,1.0000340805134278,2.5395288467407227,1.05,constructed
41,6016.95068359375,0.9999153667249876,2.42964768409729,1.05,constructed
42,6017.85400390625,1.000065483272229,2.6816720962524414,1.05,constructed
43,6016.94873046875,0.9999150421486692,2.4931464195251465,1.05,constructed
44,6017.69873046875,1.0000396794549196,2.3779964447021484,1.05,constructed
45,6016.94287109375,0.9999140684197142,2.4931914806365967,1.05,constructed
46,6017.41357421875,0.9999922913124389,2.5886363983154297,1.05,constructed
47,6017.93408203125,1.0000787909012818,2.7294278144836426,1.05,constructed
48,6017.29150390625,0.9999720052925415,2.338094711303711,1.05,constructed
49,6017.1083984375,0.9999415762626952,2.6662657260894775,1.05,constructed
50,6017.74365234375,1.0000471447102417,2.5393733978271484,1.05,constructed
51,6017.408203125,0.9999913987275635,2.6920645236968994,1.05,constructed
52,6016.89697265625,0.9999064408762327,2.4199225902557373,1.05,constructed
53,6017.88916015625,1.0000713256459597,2.5370497703552246,1.05,constructed
54,6017.40087890625,0.9999901815663697,2.285562038421631,1.05,constructed
55,6017.66552734375,1.0000341616575075,2.497415542602539,1.05,constructed
56,6017.107421875,0.9999414139745361,2.238176107406616,1.05,constructed
57,6017.07275390625,0.9999356527448852,2.2432775497436523,1.05,constructed
58,6017.537109375,1.0000128207645753,2.34134578704834,1.05,constructed
59,6017.92431640625,1.00007716801969,2.281623363494873,1.05,constructed
60,6017.76025390625,1.0000499036089479,2.5232295989990234,1.05,constructed
61,6017.78564453125,1.0000541231010864,2.655827045440674,1.05,constructed
62,6018.111328125,1.000108246202173,2.521315813064575,1.05,constructed
63,6017.4296875,0.9999949690670654,2.3118784427642822,1.05,constructed
64,6017.2109375,0.9999586165194091,2.523554563522339,1.05,constructed
65,6017.5576171875,1.000016228815918,2.2788071632385254,1.05,constructed
66,6017.80908203125,1.0000580180169067,2.4989800453186035,1.05,constructed
67,6017.439453125,0.9999965919486572,2.1153786182403564,1.05,constructed
68,6017.64453125,1.000030672462085,2.417891025543213,1.05,constructed
69,6017.54833984375,1.0000146870784057,2.2784698009490967,1.05,constructed
70,6017.36181640625,0.9999836900400024,2.451472282409668,1.05,constructed
71,6017.5927734375,1.0000220711896486,2.2771384716033936,1.05,constructed
72,6017.958984375,1.000082929249341,2.559462547302246,1.05,constructed
73,6017.78271484375,1.000053636236609,2.3727357387542725,1.05,constructed
74,6017.9521484375,1.0000817932322268,2.4693551063537598,1.05,constructed
75,6017.06494140625,0.9999343544396117,2.518500566482544,1.05,constructed
76,6017.22412109375,0.9999608074095581,2.363943576812744,1.05,constructed
77,6017.49755859375,1.0000062480941285,2.5464236736297607,1.05,constructed
78,6017.12744140625,0.9999447408817992,2.443633556365967,1.05,constructed
79,6018.05126953125,1.0000982654803836,2.737002372741699,1.05,constructed
80,6017.5986328125,1.0000230449186036,2.4507205486297607,1.05,constructed
81,6017.97119140625,1.0000849578513307,2.914210796356201,1.05,constructed
82,6016.96337890625,0.999917476471057,2.4027702808380127,1.05,constructed
83,6017.61669921875,1.0000260472495484,2.8695766925811768,1.05,constructed
84,6017.58837890625,1.0000213408929322,2.392664670944214,1.05,constructed
85,6017.38525390625,0.9999875849558227,2.514457941055298,1.05,constructed
86,6017.29638671875,0.9999728167333374,2.523158311843872,1.05,constructed
87,6017.52001953125,1.0000099807217895,2.1859381198883057,1.05,constructed
88,6017.69091796875,1.000038381149646,2.591754674911499,1.05,constructed
89,6017.39013671875,0.9999883963966186,2.515180826187134,1.05,constructed
90,6017.06982421875,0.9999351658804075,2.5308759212493896,1.05,constructed
91,6016.81787109375,0.9998932955353391,2.4982004165649414,1.05,constructed
92,6016.826171875,0.9998946749846922,2.5420475006103516,1.05,constructed
93,6017.42822265625,0.9999947256348266,2.3834259510040283,1.05,constructed
94,6017.009765625,0.9999251851586181,2.456568956375122,1.05,constructed
