a,s,w1,gap,source,w2_glob,x
1.3,7.05,0.7939614187799295,0.0477889472678287,conditional audit,4.956250000000001,1.4224464060529631
1.3,7.1,0.793269309969683,0.0485573854103815,conditional audit,4.956250000000001,1.4325346784363175
1.3,7.15,0.7925858019134365,0.0493138070923135,conditional audit,4.956250000000001,1.442622950819672
1.3,7.5,0.7880293832648656,0.0542928873188262,conditional audit,4.956250000000001,1.5132408575031524
1.3,8.0,0.7821439353828181,0.0605570255628054,conditional audit,4.956250000000001,1.6141235813366959
1.3,8.5,0.776888744107748,0.0659845477740082,conditional audit,4.956250000000001,1.7150063051702393
1.3,9.0,0.772170058856247,0.0707181851500142,conditional audit,4.956250000000001,1.8158890290037828
1.3,9.5,0.7679119502836135,0.074870373764039,conditional audit,4.956250000000001,1.9167717528373263
1.3,10.0,0.764052243351736,0.0785308635223245,conditional audit,4.956250000000001,2.0176544766708697
1.3,10.5,0.7605395252912355,0.0817721484098088,conditional audit,4.956250000000001,2.1185372005044134
1.3,11.0,0.7573309084489349,0.0846534115468942,conditional audit,4.956250000000001,2.2194199243379567
1.5,0.05,1.7561106450315298,-3.2529509346985,frozen search (added),2.53125,0.019753086419753086
1.5,0.1,1.7191542853346231,-3.0439679536360855,frozen search (added),2.53125,0.03950617283950617
1.5,0.2,1.6412161553265072,-2.609172408288311,frozen search (added),2.53125,0.07901234567901234
1.5,0.35,1.5242825171637562,-1.981518863031884,frozen search (added),2.53125,0.1382716049382716
1.5,0.5,1.4233550201226988,-1.4760357647585,frozen search (added),2.53125,0.19753086419753085
1.5,0.75,1.3011042249871263,-0.9239730021961168,frozen search (added),2.53125,0.2962962962962963
1.5,1.0,1.2198930580754233,-0.6001320091821452,frozen search (added),2.53125,0.3950617283950617
1.5,1.25,1.1629050254943338,-0.39534305255425295,frozen search (added),2.53125,0.49382716049382713
1.5,1.5,1.1207356217165445,-0.2563032146622763,conditional audit,2.53125,0.5925925925925926
1.5,2.0,1.0623442271966284,-0.0874186212237422,conditional audit,2.53125,0.7901234567901234
1.5,2.05,1.0577884962562536,-0.0771258166833006,conditional audit,2.53125,0.8098765432098765
