family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.3,100086,3650,6.949206181679383,3650,6.949206181679383,0.0005632999950422324,True,3600,-0.0010749983022217968,6.834779741306491,6.9098626668857746
Block 3,H10,1.3,100087,4650,8.401058465194746,4650,8.401058465194746,0.00035267382375181455,True,4600,-0.0008879422467935605,8.280120121778264,8.366678942775573
Block 3,H10,1.3,100088,3350,7.952632616492424,3350,7.952632616492424,0.0002252751462532565,True,3300,-0.0013980517072504917,7.831015530895296,7.935755358110568
Block 3,H10,1.3,100089,6850,8.95492816431731,6850,8.95492816431731,0.0006216036106718725,True,6800,-0.0006880584727344541,8.820796817485883,8.891265536719633
Block 3,H10,1.5,100000,1800,5.036287840671605,1800,5.036287840671605,0.0034889107593039093,True,1750,-0.0008729439774617376,4.9084405472561885,4.934026801626623
Block 3,H10,1.5,100001,2400,4.013372467096526,2400,4.013372467096526,0.0024872981256898186,True,2350,-0.0022122242042277307,3.923545262604296,3.9658299677350217
Block 3,H10,1.5,100002,1450,3.8493457213873943,1450,3.8493457213873943,0.0014828230259866793,True,1400,-0.0045816723001648185,3.7366289240626753,3.821785462289193
Block 3,H10,1.5,100003,7900,3.8640706022324363,7900,3.8640706022324363,0.004663391037273978,True,7850,-0.005155139791282348,3.678632082110706,3.7759950695686375
Block 3,H10,1.5,100004,2300,4.485201818813846,2300,4.485201818813846,0.001438278122411596,True,2250,-0.002385421070736804,4.386512848483981,4.448080125976942
Block 3,H10,1.5,100005,2100,3.382017960284902,2100,3.382017960284902,0.004489308297773942,True,2050,-0.0008928654693494131,3.292741442713862,3.3075518006123494
Block 3,H10,1.5,100006,850,3.4823349030016137,850,3.4823349030016137,0.0022189871195816835,True,800,-0.012042639656916876,3.330681502392231,3.4587389312470087
Block 3,H10,1.5,100007,3200,4.721566165358804,3200,4.721566165358804,0.0004346341305931922,True,3150,-0.0027172964123081123,4.632791993344012,4.709324688413927
Block 3,H10,1.5,100008,4850,4.4983128232860174,4850,4.4983128232860174,0.0034755752749004998,True,4800,-0.002721209366567834,4.353590127339694,4.417142562763813
Block 3,H10,1.5,100009,2000,4.609224380675278,2000,4.609224380675278,0.002431034525621989,True,1950,-0.0015080325144780637,4.503584475808601,4.544027659370482
