group,a,seed,init_branch,branch,R_cross,matches_init
phase 2b crossing a=1.50,1.5,29,-1,-1,0.2453357120050394,True
phase 2b crossing a=1.50,1.5,30,-1,-1,0.2601116783026094,True
phase 2b crossing a=1.50,1.5,31,1,1,0.2562408571214933,True
phase 2b crossing a=1.50,1.5,32,-1,1,0.26578262423047,False
phase 2b crossing a=1.50,1.5,33,-1,-1,0.2563868239859451,True
phase 2b crossing a=1.50,1.5,34,1,1,0.2220186885129053,True
phase 2b crossing a=1.50,1.5,35,-1,-1,0.249438888180434,True
phase 2b crossing a=1.50,1.5,36,1,1,0.2856130046755408,True
phase 2b crossing a=1.50,1.5,37,1,-1,0.2329062089678951,False
phase 2b crossing a=1.50,1.5,38,-1,-1,0.2750568072061455,True
phase 2b crossing a=1.50,1.5,39,1,1,0.249837738915896,True
