a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.35,2000,33,35,4.884994080567392,4.884994080567392,1,16.912968096050236,False
1.35,2000,20,35,5.244047843925851,5.208939651007536,27,14.204449742318385,False
1.35,32000,2,31979,5.101331328469387,5.096289070087133,8,249.26282769097654,True
1.3,8000,6,7976,4.927961596785991,4.927961596785991,1,49.91533086328123,True
1.4,8000,24,5975,5.458546124886569,5.058297361186336,1005,59.65058097402328,True
1.5,2000,16,1768,4.48504720340954,4.48504720340954,1,5.168737763073411,False
1.45,16000,8,15956,4.112099230712436,4.112099230712436,1,4.329588382908719,False
1.6,32000,11,31871,4.637246278290337,4.5529931530938335,24,200.22334057356585,True
1.5,32000,8,31955,4.11510286303715,4.11510286303715,1,4.5343201277814975,False
1.5,8000,29,1830,4.581702667937996,4.565065433146469,20,28.321407444812873,True
1.35,8000,23,7994,5.218014328285512,4.601815428402835,1501,61.97968248507055,True
1.6,16000,12,15391,5.541701329948889,5.307127219450288,41,99.492009218575,True
1.3,4000,29,36,4.584697002970402,4.550961814604714,37,4.755847042359669,False
1.45,16000,37,15829,4.335217896580543,4.298172569997214,19,106.02314696494606,True
1.4,4000,7,4000,5.607719339346934,5.603126307671178,12,35.41853553499074,True
1.5,2000,19,1052,5.662461406451332,5.662461406451332,1,19.16446708703263,True
1.4,4000,18,2373,5.396696614091343,4.5948207145062305,203,31.223566672537004,True
1.45,8000,23,7994,5.243263615407436,4.607274763617494,1450,57.61869335412212,True
1.5,16000,15,15958,5.185736826475296,5.120395438087898,60,102.16420409423368,True
1.6,4000,22,2583,4.3038253711226435,4.3038253711226435,1,24.19049548572694,True
1.45,32000,20,30125,5.272747262317398,5.2317705758581035,31,221.2568951251711,True
1.35,4000,33,2006,4.884994080567392,4.884994080567392,1,32.74782582113801,True
1.35,8000,6,7976,4.93987480827862,4.93987480827862,1,48.242759376494604,True
1.5,16000,31,15103,5.270041564952709,4.735925861788144,183,111.1179115681811,True
1.3,16000,21,7597,4.619600546783882,4.619600546783882,1,82.4444538316824,True
1.6,4000,0,1321,4.45741842386493,4.45741842386493,1,19.208988074088953,True
1.4,2000,3,35,5.408909997065626,5.408909997065626,1,15.743548345868852,False
1.45,2000,10,950,5.236654804181916,4.8049621834433935,107,19.897188403676523,True
