a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.35,2000,24,35,5.44786309205623,4.945283063485185,1114,14.583982709645992,False
1.5,16000,14,12954,5.977994196847613,5.9498694519855935,25,97.39293133414793,True
1.3,16000,38,14104,5.340723081458166,5.195375725670677,87,132.76195061936957,True
1.4,32000,18,30367,5.396696614091343,4.591455176323083,204,236.1685701350621,True
1.4,4000,1,2341,5.660416838607258,5.252735445575301,56,30.755925375463615,True
1.6,4000,19,3289,5.6655547199185055,5.6655547199185055,1,30.897703436663225,True
1.3,16000,2,14218,5.085372809893849,5.081403534861368,9,131.1312411024574,True
1.4,2000,27,35,5.444929790841034,5.429704347913859,5,14.531302895693646,False
1.6,8000,1,7108,5.667721636249399,5.264960372090985,50,50.42938520668129,True
1.4,4000,8,3957,4.1063516565855975,4.1063516565855975,1,4.175745647796979,False
1.6,32000,2,31979,5.13011631083921,5.119238296542667,14,203.69300521959562,True
1.3,32000,20,28739,5.22336472553029,5.191403284332842,24,247.51194791160384,True
1.4,32000,22,29617,4.268785369510193,4.268785369510193,1,228.1471549760369,True
1.4,4000,16,3751,4.480199707278287,4.480199707278287,1,21.140183182823485,True
1.45,4000,10,2948,5.236654804181916,4.8049621834433935,107,33.97366120557739,True
1.4,2000,2,1981,5.112978801167967,5.106731660038899,10,20.93042968563461,True
1.35,8000,20,5349,5.244047843925851,5.209061381925067,25,56.083084326973015,True
1.4,2000,5,467,5.9232731520842155,5.9232731520842155,1,18.31105613177326,False
1.35,2000,35,35,5.173426465305522,5.130676818602975,27,12.585336888183388,False
1.6,16000,2,15980,5.13011631083921,5.119096713992672,11,100.9872650664781,True
1.5,32000,1,30816,5.668884670618583,5.263816056601562,54,218.23391749727244,True
1.5,16000,25,15943,6.183866465168883,4.748232035493303,1354,96.54988403784405,True
1.3,4000,15,3959,5.134614947949181,5.0875579129232875,37,28.840000347035843,True
1.6,16000,15,15958,5.194116323192144,5.119888819532866,61,93.527090183706,True
1.6,8000,21,162,4.689360520047775,4.689360520047775,1,12.385911887568893,False
1.6,2000,0,35,4.45741842386493,4.45741842386493,1,5.033497969528546,False
1.35,32000,23,31994,5.218014328285512,4.601815428402835,1501,244.15976075231507,True
1.45,8000,33,6501,4.904626766064477,4.81682928932629,798,58.196476561494684,True
1.5,8000,10,7114,5.238730255061094,4.815921288008411,100,57.65623346901137,True
1.6,8000,35,6617,5.23579840932699,5.180808265422233,31,45.77371909312944,True
1.5,16000,4,15996,4.852952398037604,4.852952398037604,1,5.161834163555698,False
1.3,8000,19,5914,5.620844188377073,5.620844188377073,1,66.27309406870414,True
1.5,16000,32,14635,5.756446089224883,5.382778807815213,41,105.30761769643438,True
1.45,4000,21,36,4.666773288844964,4.666773288844964,1,5.29764500468364,False
1.5,8000,30,6787,5.172243895558839,4.689412071764609,100,54.912756755762075,True
1.4,2000,31,730,5.258984608018571,4.738180701177248,192,20.34566327795153,False
1.6,8000,4,7996,4.861350021998732,4.861350021998732,1,5.169650087567751,False
1.35,16000,7,15999,5.59687482899301,5.593230100714968,11,125.49496061899966,True
1.3,4000,26,3819,4.814994036349338,4.814994036349338,1,28.76800801143635,False
1.5,4000,27,2523,5.473419926963943,5.461591696833025,4,26.5064195468397,True
