a,seed,solved32,solved64,first_divergence,final_dist,final_rel,w2_32,w2_64
1.45,20,False,False,2000,4.9896398266519425e-05,4.4545315006461114e-06,3.5207390785217285,3.520754237374006
1.45,21,False,False,2000,3.9484719169761485e-07,3.7233715804706583e-07,-0.9577722549438477,-0.9577720294416829
1.45,22,False,False,2000,3.6280528343556146e-05,3.937161930028285e-06,-2.896698474884033,-2.8967095578467443
1.45,23,False,False,2000,4.167174372996666e-05,3.6269667661767797e-06,-3.6095833778381348,-3.609595778715709
1.45,24,False,False,2000,5.7098724500221204e-05,4.8502918997135e-06,-3.7064883708953857,-3.7065063596735737
1.45,25,False,False,2000,6.496571489106731e-05,1.0621392972321706e-05,-1.9328724145889282,-1.932891627255426
1.45,26,False,False,2000,1.0351569194711383e-06,1.5192060931052891e-06,0.3812998831272125,0.381299158163746
1.45,27,False,False,2000,3.988632507288854e-05,3.5901775962262484e-06,3.5363757610321045,3.536387763283027
1.45,28,False,False,2000,1.3669456812118783e-05,1.1059849515828608e-06,3.8869073390960693,3.886911473305611
1.45,29,False,False,2000,1.513578181693414e-07,3.203636576435145e-07,0.3464124798774719,0.3464125823558066
1.45,30,False,False,2000,3.193746390137134e-05,2.2643804805169575e-06,-4.410348415374756,-4.41035835528958
1.45,31,False,False,2000,3.264292229089674e-05,1.8795488789490102e-06,-5.448766708374023,-5.4487761016465885
1.45,32,False,False,2000,5.949043736036737e-05,4.5208493280031884e-06,4.1184401512146,4.118458340342665
1.45,33,False,False,2000,2.82641211898013e-05,1.976081092372091e-06,-4.489541053771973,-4.489548805625602
1.45,34,False,False,2000,3.961237894486987e-05,3.011676545742602e-06,4.118671894073486,4.118684392277865
1.45,35,False,False,2000,4.135302341304817e-05,4.371890299750353e-06,2.9814000129699707,2.981412742748309
1.45,36,False,False,2000,4.646782298661355e-05,2.7847085021267554e-06,-5.2280778884887695,-5.228092791058076
1.45,37,False,False,2000,7.715628980987621e-06,2.534650529214539e-05,0.29732558131217957,0.29732612406903836
