activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
sin_family,1.5,3,3,196,2,15,-1,False,-1,0.9925,False,0.0,0.7083467920310795
sin_family,1.5,3,3,197,0,0,0,True,1500,1.0,False,0.0,0.7146088329609483
sin_family,1.5,3,3,198,88,117,-1,False,-1,0.9415,False,0.0,0.7049449160695076
sin_family,1.5,3,3,199,76,65,-1,False,-1,0.9675,False,0.0,0.7200168331619352
tanh,,3,3,100,91,95,-1,False,-1,0.9525,False,0.0,0.6687147500924766
tanh,,3,3,101,84,92,-1,False,-1,0.954,False,0.0,0.6742240421008319
tanh,,3,3,102,56,66,-1,False,-1,0.967,False,0.0,0.6639490420930088
tanh,,3,3,103,85,81,-1,False,-1,0.9595,False,0.0,0.6672271671704948
tanh,,3,3,104,103,116,-1,False,-1,0.942,False,0.0,0.6668153752107173
tanh,,3,3,105,76,95,-1,False,-1,0.9525,False,0.0,0.6984097498934716
tanh,,3,3,106,85,67,-1,False,-1,0.9665,False,0.0,0.6694827089086175
tanh,,3,3,107,94,68,-1,False,-1,0.966,False,0.0,0.667921292129904
tanh,,3,3,108,91,89,-1,False,-1,0.9555,False,0.0,0.6612269580364227
tanh,,3,3,109,61,75,-1,False,-1,0.9625,False,0.0,0.6664816250558943
tanh,,3,3,110,83,95,-1,False,-1,0.9525,False,0.0,0.6698279578704387
tanh,,3,3,111,90,83,-1,False,-1,0.9585,False,0.0,0.6664613340981305
tanh,,3,3,112,80,98,-1,False,-1,0.951,False,0.0,0.6670383750461042
tanh,,3,3,113,75,90,-1,False,-1,0.955,False,0.0,0.6650980829726905
tanh,,3,3,114,91,80,-1,False,-1,0.96,False,0.0,0.662949166027829
tanh,,3,3,115,93,94,-1,False,-1,0.953,False,0.0,0.6657490408979356
tanh,,3,3,116,65,63,-1,False,-1,0.9685,False,0.0,0.6672414171043783
tanh,,3,3,117,79,74,-1,False,-1,0.963,False,0.0,0.6752069159410894
tanh,,3,3,118,89,91,-1,False,-1,0.9545,False,0.0,0.6667586660478264
tanh,,3,3,119,77,84,-1,False,-1,0.958,False,0.0,0.6644368751440197
tanh,,3,3,120,95,86,-1,False,-1,0.957,False,0.0,0.6663621668703854
tanh,,3,3,121,71,104,-1,False,-1,0.948,False,0.0,0.666549124987796
tanh,,3,3,122,76,87,-1,False,-1,0.9565,False,0.0,0.6661140420474112
tanh,,3,3,123,81,79,-1,False,-1,0.9605,False,0.0,0.6626251658890396
tanh,,3,3,124,68,68,-1,False,-1,0.966,False,0.0,0.6720904170069844
tanh,,3,3,125,99,75,-1,False,-1,0.9625,False,0.0,0.665577458916232
tanh,,3,3,126,57,61,-1,False,-1,0.9695,False,0.0,0.6603383328765631
