a,opt,budget,w2,gstar,R,solved
1.05,adam,2000,1.7476520538330078,0.0063357906771699,0.005536378794806,False
1.05,adam,2000,2.974138021469116,0.0063357906771699,0.0094217579745203,False
1.05,adam,2000,0.2037884145975113,0.0063357906771699,0.000645580368661,False
1.05,adam,2000,2.4266467094421387,0.0063357906771699,0.0076873627992343,False
1.05,adam,2000,1.2322367429733276,0.0063357906771699,0.0039035970340983,False
1.05,adam,2000,1.8245372772216797,0.0063357906771699,0.005779943135585,False
1.05,adam,2000,0.2334021478891372,0.0063357906771699,0.0007393935763137,False
1.05,adam,2000,2.4856185913085938,0.0063357906771699,0.0078741795489066,False
1.05,adam,2000,2.2251415252685547,0.0063357906771699,0.0070490154655901,False
1.05,adam,2000,3.1464805603027344,0.0063357906771699,0.0099677210999312,False
1.05,adam,2000,1.882367253303528,0.0063357906771699,0.0059631424472452,False
1.05,adam,2000,2.777977705001831,0.0063357906771699,0.0088003426223682,False
1.05,adam,2000,2.763204336166382,0.0063357906771699,0.0087535421360992,False
1.05,adam,2000,2.86153244972229,0.0063357906771699,0.0090650353086848,False
1.05,adam,2000,1.839377999305725,0.0063357906771699,0.0058269569898963,False
1.05,adam,2000,1.7466225624084473,0.0063357906771699,0.005533117473721,False
1.05,adam,2000,2.6463282108306885,0.0063357906771699,0.0083832908034564,False
1.05,adam,2000,2.373103141784668,0.0063357906771699,0.0075177423808409,False
1.05,adam,2000,2.297488212585449,0.0063357906771699,0.0072782021991033,False
1.05,adam,2000,4.062262058258057,0.0063357906771699,0.0128688210384662,False
1.05,adam,2000,0.2995443046092987,0.0063357906771699,0.0009489250062714,False
1.05,adam,2000,3.7588160037994385,0.0063357906771699,0.0119075356970348,False
1.05,adam,2000,2.363431453704834,0.0063357906771699,0.0074871034852566,False
1.05,adam,2000,0.6471688747406006,0.0063357906771699,0.002050163261568,False
1.05,adam,2000,0.7366959452629089,0.0063357906771699,0.0023337756509528,False
1.05,adam,2000,1.8187072277069092,0.0063357906771699,0.0057614741489035,False
1.05,adam,2000,3.089064836502075,0.0063357906771699,0.0097858340961416,False
1.05,adam,2000,3.022592067718506,0.0063357906771699,0.0095752553217693,False
1.05,adam,2000,0.3220838606357574,0.0063357906771699,0.0010203279607414,False
1.05,adam,2000,2.156822681427002,0.0063357906771699,0.0068325885186469,False
1.05,adam,2000,2.9310083389282227,0.0063357906771699,0.0092851276542443,False
1.05,adam,2000,0.920461893081665,0.0063357906771699,0.0029159269404385,False
1.05,adam,2000,2.62980318069458,0.0063357906771699,0.0083309412375182,False
1.05,adam,2000,3.0166049003601074,0.0063357906771699,0.0095562886022033,False
1.05,adam,2000,2.4997801780700684,0.0063357906771699,0.0079190419735952,False
1.05,adam,2000,2.198845386505127,0.0063357906771699,0.0069657120501786,False
1.05,adam,2000,0.3753081858158111,0.0063357906771699,0.0011889370523786,False
1.05,adam,2000,3.150317907333374,0.0063357906771699,0.0099798774137021,False
1.05,adam,2000,0.9990103840827942,0.0063357906771699,0.0031647603389338,False
1.05,adam,2000,0.4838896989822387,0.0063357906771699,0.0015329119217951,False
1.05,adam,2000,2.363783359527588,0.0063357906771699,0.0074882182860721,False
1.05,adam,2000,2.018666505813598,0.0063357906771699,0.0063949242139245,False
1.05,adam,2000,1.2549378871917725,0.0063357906771699,0.0039755118830484,False
1.05,adam,2000,1.436054229736328,0.0063357906771699,0.0045492695003369,False
1.05,adam,2000,2.4032838344573975,0.0063357906771699,0.0076133516564742,False
1.05,adam,2000,2.1450395584106445,0.0063357906771699,0.0067952608181694,False
1.05,adam,2000,0.5199087858200073,0.0063357906771699,0.0016470166190885,False
1.05,adam,2000,1.882421612739563,0.0063357906771699,0.0059633146522492,False
1.05,adam,2000,2.6295101642608643,0.0063357906771699,0.0083300129921237,False
1.05,adam,2000,2.640390634536743,0.0063357906771699,0.0083644811831923,False
1.05,adam,2000,3.1463122367858887,0.0063357906771699,0.0099671878686468,False
1.05,adam,2000,1.3296186923980713,0.0063357906771699,0.0042120928577432,False
1.05,adam,2000,0.3112778961658478,0.0063357906771699,0.0009860957962683,False
1.05,adam,2000,4.3653035163879395,0.0063357906771699,0.0138288246610739,False
1.05,adam,2000,3.677165508270264,0.0063357906771699,0.0116488754728548,False
1.05,adam,2000,3.0953898429870605,0.0063357906771699,0.0098058710547019,False
1.05,adam,2000,2.3660528659820557,0.0063357906771699,0.0074954078449901,False
1.05,adam,2000,1.900385499000549,0.0063357906771699,0.0060202223637983,False
1.05,adam,2000,2.1176390647888184,0.0063357906771699,0.0067084589221499,False
1.05,adam,2000,1.19044029712677,0.0063357906771699,0.0037711902681316,False
1.05,adam,2000,0.259954422712326,0.0063357906771699,0.0008235084039549,False
1.05,adam,2000,0.2034066766500473,0.0063357906771699,0.0006443710627967,False
1.05,adam,2000,3.1303293704986572,0.0063357906771699,0.0099165558210383,False
