width,activation,seed,test_errors,test_accuracy,train_errors_10k,batches_to_criterion,dead_bottleneck_fraction,duration_seconds
16,tanh,7,361,0.9639,293,-1,,0.7251467499881983
16,tanh,8,418,0.9582,306,-1,,0.7684197910130024
16,tanh,9,374,0.9626,274,-1,,0.7109580838587135
16,relu,0,398,0.9601999999999999,308,-1,0.125,0.6175460410304368
16,relu,1,401,0.9599,363,-1,0.0,0.4677731669507921
16,relu,2,442,0.9558,392,-1,0.0625,0.4371744580566883
16,relu,3,467,0.9533,417,-1,0.125,0.5015387078747153
16,relu,4,462,0.9538,399,-1,0.0625,0.5095073750708252
16,leaky_relu,0,366,0.9634,288,-1,,0.40936512500047684
16,leaky_relu,1,389,0.9611,374,-1,,0.4842492078896612
16,leaky_relu,2,431,0.9569,377,-1,,0.4032078750897199
16,leaky_relu,3,435,0.9565,379,-1,,0.4027537079527974
16,leaky_relu,4,440,0.956,370,-1,,0.40994337503798306
24,gelu,0,427,0.9573,363,-1,,0.5685062501579523
24,gelu,1,424,0.9576,386,-1,,0.5534965419210494
24,gelu,2,449,0.9551,389,-1,,0.4548639999702573
24,gelu,3,428,0.9572,383,-1,,0.45660016709007323
24,gelu,4,435,0.9565,356,-1,,0.4539166670292616
24,gelu,5,397,0.9603,336,-1,,0.45050154183991253
24,gelu,6,443,0.9557,382,-1,,0.45270145777612925
24,gelu,7,416,0.9584,356,-1,,0.4485477090347558
24,gelu,8,452,0.9548,385,-1,,0.4756363339256495
24,gelu,9,494,0.9506,441,-1,,0.4466117089614272
24,tanh,0,368,0.9632000000000001,291,-1,,0.5324221248738468
24,tanh,1,354,0.9646,246,-1,,0.5109046658035368
24,tanh,2,385,0.9615,301,-1,,0.48336670896969736
24,tanh,3,359,0.9641,295,-1,,0.5286745829507709
24,tanh,4,376,0.9624,288,-1,,0.6050832921173424
24,tanh,5,380,0.962,286,-1,,0.5005525001324713
24,tanh,6,378,0.9621999999999999,308,-1,,0.6238666670396924
24,tanh,7,369,0.9631,286,-1,,0.5992268749978393
24,tanh,8,377,0.9623,315,-1,,0.4915041660424322
24,tanh,9,411,0.9589,319,-1,,0.5862906251568347
24,relu,0,428,0.9572,374,-1,0.0416666679084301,0.38900695904158056
24,relu,1,413,0.9587,326,-1,0.125,0.35470891604200006
24,relu,2,471,0.9529,396,-1,0.2083333283662796,0.3458504159934819
24,relu,3,402,0.9598,329,-1,0.0416666679084301,0.3443895832169801
24,relu,4,446,0.9554,381,-1,0.1666666716337204,0.3595011248253286
24,leaky_relu,0,421,0.9579,375,-1,,0.3575277500785887
24,leaky_relu,1,387,0.9613,327,-1,,0.33886975003406405
24,leaky_relu,2,453,0.9547,368,-1,,0.3410757079254836
24,leaky_relu,3,424,0.9576,351,-1,,0.3457280001603067
24,leaky_relu,4,417,0.9583,355,-1,,0.3395314160734415
32,gelu,0,433,0.9567,335,-1,,0.5117807080969214
32,gelu,1,410,0.959,357,-1,,0.6263037919998169
32,gelu,2,458,0.9542,420,-1,,0.6086040420923382
32,gelu,3,413,0.9587,354,-1,,0.5477507498580962
32,gelu,4,413,0.9587,354,-1,,0.49296650011092424
32,gelu,5,429,0.9571,359,-1,,0.5365214580669999
32,gelu,6,514,0.9486,432,-1,,0.5443757500033826
32,gelu,7,463,0.9537,369,-1,,0.4511972919572145
32,gelu,8,412,0.9588,336,-1,,0.45537266600877047
32,gelu,9,465,0.9535,386,-1,,0.4508243747986853
32,tanh,0,375,0.9625,268,-1,,0.4849743749946356
32,tanh,1,386,0.9614,277,-1,,0.4776487499475479
32,tanh,2,349,0.9651,277,-1,,0.49742858298122883
32,tanh,3,356,0.9644,293,-1,,0.580757665913552
32,tanh,4,363,0.9637,274,-1,,0.6519812920596451
32,tanh,5,392,0.9608,285,-1,,0.5777079579420388
32,tanh,6,384,0.9616,302,-1,,0.488433999940753
32,tanh,7,370,0.963,267,-1,,0.48275762517005205
32,tanh,8,361,0.9639,268,-1,,0.6413931250572205
32,tanh,9,380,0.962,277,-1,,0.5325339999981225
32,relu,0,417,0.9583,349,-1,0.09375,0.3432177498470992
32,relu,1,450,0.955,387,-1,0.03125,0.3446016670204699
32,relu,2,438,0.9562,367,-1,0.09375,0.3410522909834981
32,relu,3,391,0.9609,313,-1,0.0,0.34257604205049574
32,relu,4,453,0.9547,397,-1,0.09375,0.34070441708900034
32,leaky_relu,0,401,0.9599,320,-1,,0.3430220421869308
32,leaky_relu,1,424,0.9576,379,-1,,0.3478185411076993
32,leaky_relu,2,427,0.9573,374,-1,,0.3987460411153734
32,leaky_relu,3,414,0.9586,332,-1,,0.5055369168985635
32,leaky_relu,4,453,0.9547,392,-1,,0.4358317079022527
48,gelu,0,399,0.9601,322,-1,,0.6490102501120418
48,gelu,1,431,0.9569,385,-1,,0.4842840419150889
48,gelu,2,417,0.9583,336,-1,,0.6120924171991646
48,gelu,3,430,0.957,369,-1,,0.4747586671728641
48,gelu,4,406,0.9594,333,-1,,0.4977323340717703
48,gelu,5,381,0.9619,329,-1,,0.47414408391341567
48,gelu,6,394,0.9606,332,-1,,0.46915633301250637
48,gelu,7,422,0.9578,336,-1,,0.4717312080319971
48,gelu,8,392,0.9608,343,-1,,0.46881854184903204
48,gelu,9,380,0.962,323,-1,,0.5023364580702037
48,tanh,0,372,0.9628,286,-1,,0.5361910408828408
48,tanh,1,365,0.9635,299,-1,,0.6209078750107437
48,tanh,2,349,0.9651,273,-1,,0.6325238330755383
48,tanh,3,378,0.9621999999999999,309,-1,,0.5255693329963833
48,tanh,4,410,0.959,298,-1,,1.035970832919702
48,tanh,5,348,0.9652000000000001,266,-1,,0.6185932918451726
48,tanh,6,353,0.9647,286,-1,,0.5331968748942018
48,tanh,7,358,0.9642,290,-1,,0.5315205410588533
48,tanh,8,368,0.9632000000000001,267,-1,,0.5453866249881685
48,tanh,9,357,0.9643,290,-1,,0.7158310420345515
48,relu,0,410,0.959,364,-1,0.1458333283662796,0.5481691670138389
48,relu,1,419,0.9581,384,-1,0.0625,0.460490541998297
48,relu,2,369,0.9631,293,-1,0.125,0.46315191709436476
48,relu,3,446,0.9554,393,-1,0.0833333358168602,0.5216762500349432
48,relu,4,419,0.9581,353,-1,0.125,0.43383274995721877
48,leaky_relu,0,377,0.9623,350,-1,,0.4186340421438217
48,leaky_relu,1,386,0.9614,335,-1,,0.38706845813430846
48,leaky_relu,2,362,0.9638,306,-1,,0.43270541704259813
48,leaky_relu,3,431,0.9569,374,-1,,0.45853779185563326
48,leaky_relu,4,412,0.9588,336,-1,,0.4227755831088871
