window,a,seed,cross_step,cross_w2,final_w2,early_defined,early_step,early_branch,early_w2,branch_cross
V20,1.5,400055,850.0,2.5789760637926187,25.587358660397552,True,0.0,1.0,0.13372934695079644,1.0
V20,1.5,400056,2100.0,3.3087719413013286,23.085919196884603,True,0.0,1.0,0.1220555212890051,1.0
V20,1.5,400057,2050.0,3.4193360100644856,23.828286999563407,True,100.0,-1.0,0.6501282003186712,-1.0
V20,1.5,400058,2150.0,3.646225942321642,22.460866370407004,True,100.0,-1.0,0.27097772296020023,-1.0
V20,1.5,400059,1100.0,2.8221169607131453,24.690805381664116,True,0.0,-1.0,0.19118405255710824,-1.0
V30,1.3,400000,2200.0,6.284187487922751,30.068817574797247,True,0.0,1.0,0.4159330071727199,-1.0
V30,1.3,400001,4650.0,6.560747373549127,23.951385429120872,True,0.0,-1.0,0.689187517343001,-1.0
V30,1.3,400002,3600.0,5.616746768666676,25.84494098931076,True,100.0,1.0,0.40420058970618916,1.0
V30,1.3,400003,5700.0,7.47779877887228,22.713271332111127,True,50.0,1.0,0.5885792612237686,1.0
V30,1.3,400004,,,0.9659631654188504,False,,,,
V30,1.3,400005,3250.0,6.164464101084414,27.250461827956055,True,0.0,1.0,0.1407360939444999,1.0
V30,1.3,400006,4250.0,5.989938862594936,25.15267029282865,True,0.0,-1.0,0.647634020004374,-1.0
V30,1.3,400007,2250.0,5.769203454460761,29.32753321765255,True,100.0,1.0,0.06148797247871456,1.0
V30,1.3,400008,7550.0,5.618873035561923,16.902395426201437,True,6250.0,1.0,0.22609669028376245,1.0
V30,1.3,400009,9400.0,5.9615612173777235,12.753905173467322,True,8250.0,1.0,0.8837954881966681,1.0
V30,1.3,400010,5400.0,5.59672549779184,22.25064155550696,True,3850.0,1.0,0.6515468715145348,1.0
V30,1.3,400011,5300.0,6.123601017446035,22.652638157397135,True,3300.0,1.0,0.6628485061995608,1.0
V30,1.3,400012,3400.0,6.068045910526866,26.569105993466287,True,0.0,-1.0,0.4875063804415311,1.0
V30,1.3,400013,4450.0,6.107901840652039,24.605956853965875,True,100.0,-1.0,0.47585733793016216,-1.0
V30,1.3,400014,2350.0,6.016524143478425,29.30772068818736,True,100.0,1.0,0.2120549540194096,1.0
V30,1.3,400015,4150.0,5.710548301158153,25.38069590697332,True,1850.0,-1.0,0.3759010744194866,-1.0
V30,1.3,400016,2700.0,6.6214723497479095,29.932639439242497,True,0.0,1.0,0.20317577380781668,-1.0
