optimizer,budget,seed,w2,solved,gstar,R
adamw,4000,13,4.87777853012085,False,0.06624635170956061,0.1615675160338647
adamw,4000,14,0.3622554540634155,False,0.06624635170956061,0.011999051109295802
adamw,4000,15,6.805468559265137,False,0.06624635170956061,0.2254187318627175
adamw,4000,16,6.594598770141602,False,0.06624635170956061,0.2184340547551182
adamw,4000,17,0.6580979824066162,False,0.06624635170956061,0.021798295200930465
adamw,4000,18,7.232719898223877,False,0.06624635170956061,0.2395706530972382
adamw,4000,19,8.096250534057617,False,0.06624635170956061,0.2681735302039494
adamw,4000,20,5.921788215637207,False,0.06624635170956061,0.19614843244131688
adamw,4000,21,0.9605200290679932,False,0.06624635170956061,0.03181547383485783
adamw,4000,22,5.018809795379639,False,0.06624635170956061,0.16623891943405375
adamw,4000,23,8.121718406677246,False,0.06624635170956061,0.2690171070273765
adamw,4000,24,7.707858085632324,False,0.06624635170956061,0.2553087388340898
adamw,4000,25,4.493073463439941,False,0.06624635170956061,0.148824862457968
adamw,4000,26,7.455758094787598,False,0.06624635170956061,0.24695838650435137
adamw,4000,27,5.812832832336426,False,0.06624635170956061,0.1925394841199201
adamw,4000,28,6.530016899108887,False,0.06624635170956061,0.21629489808387084
adamw,4000,29,0.28981226682662964,False,0.06624635170956061,0.009599502678970967
adamw,2000,0,0.929416835308075,False,0.06624635170956061,0.030785237278302752
adamw,2000,1,3.4430553913116455,False,0.06624635170956061,0.11404492920416506
adamw,2000,2,4.8453688621521,False,0.06624635170956061,0.16049400490234075
adamw,2000,3,3.015132427215576,False,0.06624635170956061,0.09987076161211211
adamw,2000,4,0.5808421969413757,False,0.06624635170956061,0.019239338233166123
adamw,2000,5,3.8941357135772705,False,0.06624635170956061,0.12898614204320033
adamw,2000,6,0.5821226239204407,False,0.06624635170956061,0.019281750041162896
adamw,2000,7,4.9305877685546875,False,0.06624635170956061,0.16331672572526573
adamw,2000,8,0.5599847435951233,False,0.06624635170956061,0.01854847313809533
adamw,2000,9,3.6018190383911133,False,0.06624635170956061,0.11930368540572454
adamw,2000,10,4.5777268409729,False,0.06624635170956061,0.1516288511686933
adamw,2000,11,0.4073781371116638,False,0.06624635170956061,0.013493657674942445
adamw,2000,12,4.47486686706543,False,0.06624635170956061,0.14822180216453804
adamw,2000,13,0.465853214263916,False,0.06624635170956061,0.01543053793857834
adamw,2000,14,0.4429389238357544,False,0.06624635170956061,0.014671543867138833
adamw,2000,15,2.9340529441833496,False,0.06624635170956061,0.097185151637421
adamw,2000,16,0.2610473930835724,False,0.06624635170956061,0.00864671870753913
adamw,2000,17,0.7462863326072693,False,0.06624635170956061,0.024719373432969646
adamw,2000,18,3.6193532943725586,False,0.06624635170956061,0.11988447565008069
adamw,2000,19,4.147129058837891,False,0.06624635170956061,0.137366085108357
adamw,2000,20,2.713042974472046,False,0.06624635170956061,0.08986459954501382
adamw,2000,21,0.8589577674865723,False,0.06624635170956061,0.028451409184287228
adamw,2000,22,2.1806647777557373,False,0.06624635170956061,0.0722305429139287
adamw,2000,23,3.512728691101074,False,0.06624635170956061,0.11635273016547314
adamw,2000,24,3.4070303440093994,False,0.06624635170956061,0.11285166522719599
adamw,2000,25,1.6492507457733154,False,0.06624635170956061,0.0546284224808771
adamw,2000,26,0.6931526064872742,False,0.06624635170956061,0.022959415678877316
adamw,2000,27,2.782695770263672,False,0.06624635170956061,0.09217172134879695
adamw,2000,28,3.0496809482574463,False,0.06624635170956061,0.10101511835010456
