dataset,depth,width,activation,seed,quantizer,n_inputs,output_full_precision_pairs,output_post_hoc_pairs,output_interleaved_pairs,post_hoc_superset_holds,interleaved_superset_holds,f_not_g_pairs,f_not_g_within_class,f_not_g_between_class,final_post_hoc_pairs,final_interleaved_pairs,final_qf_not_g,final_qf_not_g_within,final_qf_not_g_between,final_g_not_qf,final_g_not_qf_within,final_g_not_qf_between,final_containment_holds,recovery_max_saturation_deviation
linked_tori,6,50,tanh,0,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,0,float16,2000,0,7976,7822,True,True,0,0,0,2,2,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,0,bfloat16,2000,0,68182,68528,True,True,0,0,0,422,414,150,150,0,142,142,0,False,0.0
linked_tori,6,50,tanh,0,fixed-8,2000,0,999000,999000,True,True,0,0,0,1867,1794,729,729,0,656,656,0,False,0.0
linked_tori,6,50,tanh,0,fixed-6,2000,0,999000,999000,True,True,0,0,0,57507,60090,9732,9732,0,12315,12315,0,False,0.0
linked_tori,6,50,tanh,0,fixed-4,2000,0,999000,999000,True,True,0,0,0,470865,522130,49307,49307,0,100572,100572,0,False,0.0
linked_tori,6,50,tanh,1,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,1,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,1,float16,2000,0,9872,9803,True,True,0,0,0,10,8,4,4,0,2,2,0,False,0.0
linked_tori,6,50,tanh,1,bfloat16,2000,0,73779,78646,True,True,0,0,0,650,623,221,221,0,194,194,0,False,0.0
linked_tori,6,50,tanh,1,fixed-8,2000,0,999000,999000,True,True,0,0,0,2151,2090,859,859,0,798,798,0,False,0.0
linked_tori,6,50,tanh,1,fixed-6,2000,0,999000,999000,True,True,0,0,0,32560,31047,13230,13230,0,11717,11717,0,False,0.0
linked_tori,6,50,tanh,1,fixed-4,2000,0,999000,999000,True,True,0,0,0,213228,216688,80372,80372,0,83832,83832,0,False,0.0
linked_tori,6,50,tanh,2,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,2,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,2,float16,2000,0,16264,16795,True,True,0,0,0,28,23,8,8,0,3,3,0,False,0.0
linked_tori,6,50,tanh,2,bfloat16,2000,0,128972,137181,True,True,0,0,0,2338,2243,573,573,0,478,478,0,False,0.0
linked_tori,6,50,tanh,2,fixed-8,2000,0,999000,999000,True,True,0,0,0,7069,6969,2181,2181,0,2081,2081,0,False,0.0
linked_tori,6,50,tanh,2,fixed-6,2000,0,999000,999000,True,True,0,0,0,52956,51359,17119,17119,0,15522,15522,0,False,0.0
linked_tori,6,50,tanh,2,fixed-4,2000,0,999000,997003,True,True,0,0,0,171651,167434,82943,82943,0,78726,78726,0,False,0.0
linked_tori,6,50,tanh,3,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,3,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,3,float16,2000,0,19829,19716,True,True,0,0,0,23,23,7,7,0,7,7,0,False,0.0
linked_tori,6,50,tanh,3,bfloat16,2000,0,144693,155645,True,True,0,0,0,2003,1973,587,587,0,557,557,0,False,0.0
linked_tori,6,50,tanh,3,fixed-8,2000,0,999000,999000,True,True,0,0,0,9323,8868,3027,3027,0,2572,2572,0,False,0.0
linked_tori,6,50,tanh,3,fixed-6,2000,0,999000,999000,True,True,0,0,0,41622,43813,16121,16121,0,18312,18312,0,False,0.0
linked_tori,6,50,tanh,3,fixed-4,2000,0,999000,998001,True,True,0,0,0,245042,250972,58980,58980,0,64910,64910,0,False,0.0
linked_tori,6,50,tanh,4,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,4,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,50,tanh,4,float16,2000,0,30824,31226,True,True,0,0,0,12,18,1,1,0,7,7,0,False,0.0
linked_tori,6,50,tanh,4,bfloat16,2000,0,142967,147210,True,True,0,0,0,1654,1614,515,515,0,475,475,0,False,0.0
linked_tori,6,50,tanh,4,fixed-8,2000,0,999000,999000,True,True,0,0,0,6344,6279,2142,2142,0,2077,2077,0,False,0.0
linked_tori,6,50,tanh,4,fixed-6,2000,0,999000,999000,True,True,0,0,0,54548,55303,18581,18581,0,19336,19336,0,False,0.0
linked_tori,6,50,tanh,4,fixed-4,2000,0,999000,999004,True,True,0,0,0,280645,304903,65345,65345,0,89603,89603,0,False,0.0
