eps,a,Ghat_lo,Ghat_hi,converged,surviving,u,G,inner_active,outer_active,active_set,margin_inner_inactive,margin_outer_inactive,margin_inner_abs,margin_outer_abs,w1_canon,b1_canon,K_eps
0.65,1.65,0.24989106549954432,0.2498910678661941,True,31916,1.3253486117296585,0.24989106549954387,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.5690631971653748,inf,0.3920948741757764,1.0685302114114166,3.955466342035774,0.4768487997761613
0.675,1.675,0.2628531983982385,0.26285320075536867,True,29888,1.3174479026805606,0.26285319839823806,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.5507388751212345,inf,0.4076166732061024,1.0823939019540207,3.9663867446172327,0.4739773697945548
0.7,1.7,0.2759407708299264,0.27594077324122995,True,28472,1.3096944071036045,0.27594077082992596,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.5328567304606218,inf,0.422977667775144,1.095768957398832,3.9769371372270146,0.47116043396816226
0.725,1.725,0.28914813515138116,0.28914813756470875,True,26836,1.3020834451745766,0.28914813515138116,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.5154004213649594,inf,0.43817520584529523,1.1086841034277206,3.9871389007611664,0.46839622454030677
0.75,1.75,0.3024700166998118,0.3024700191433306,True,25394,1.2946105486558959,0.3024700166998118,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.4983544227851897,inf,0.45320728728207316,1.1211656231433158,3.9970116065557275,0.46568305483580513
0.775,1.775,0.31590148061009016,0.3159014830682733,True,24314,1.2872714451306326,0.3159014806100897,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.4817039650396633,inf,0.4680724763818702,1.1332376292829092,4.00657322110238,0.46301931449979455
0.8,1.8,0.32943790243011817,0.3294379049275625,True,23350,1.2800620517708943,0.32943790243011817,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.4654350046733897,inf,0.4827698340872719,1.1449223052710298,4.015840280298262,0.46040346512417957
0.825,1.825,0.3430749418784189,0.34307494438144676,True,22090,1.2729784617599584,0.34307494187841847,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.4495341693693806,inf,0.49729885090718184,1.1562401071518056,4.0248280412178925,0.4578340360375412
0.85,1.85,0.3568085194213788,0.3568085219666437,True,21198,1.2660169355295952,0.3568085194213788,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.4339887198844943,inf,0.5116593920089447,1.1672099420800806,4.033550613079177,0.455309620421627
0.875,1.875,0.3706347954052509,0.3706347979409413,True,20172,1.2591738888335926,0.37063479540525046,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.418786506608915,inf,0.5258516466007253,1.1778493205967704,4.042021072790726,0.45282887184440995
0.9,1.9,0.38455015116864555,0.38455015374556833,True,19286,1.252445888198579,0.38455015116864555,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.4039159449168355,inf,0.5398760888458409,1.188174495846033,4.050251563965853,0.4503905008351781
0.925,1.925,0.398551172102811,0.39855117468400214,True,18584,1.2458296396399977,0.398551172102811,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.3893659730929537,inf,0.5537334370559592,1.1982005796944484,4.058253385905147,0.4479932717970398
0.95,1.95,0.41263463238914166,0.41263463502371406,True,17834,1.2393219846701407,0.41263463238914166,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.375126034045383,inf,0.567424625547055,1.2079416511580348,4.066037070689944,0.4456360001598684
0.975,1.975,0.42679748104298243,0.4267974836804869,True,17252,1.2329198898626321,0.42679748104298243,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.3611860342007573,inf,0.5809507706277701,1.2174108462012374,4.073612452473551,0.44331754956345976
1.0,2.0,0.4410368294400451,0.44103683210672706,True,16498,1.2266204420477151,0.4410368294400451,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.347536325367192,inf,0.5943131484952353,1.2266204420477151,4.08098872859871,0.4410368294400451
1.025,2.025,0.45534993976824545,0.45534994245055876,True,15784,1.2204208421427982,0.45534993976824545,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.3341676774885582,inf,0.6075131715851549,1.2355819308062699,4.088174513655909,0.4387927925284918
1.05,2.05,0.46973421465268883,0.4697342173765688,True,15294,1.214318398101862,0.4697342146526906,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.3210712536027578,inf,0.6205523678113369,1.2443060839548707,4.095177888711734,0.43658443271045805
1.075,2.075,0.4841871876623989,0.48418719037710173,True,14618,1.2083105218577281,0.4841871876623989,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.3082385946962591,inf,0.6334323659573906,1.2528030136555794,4.102006444221135,0.43441078295268876
1.1,2.1,0.49870651449436565,0.4987065172496722,True,14330,1.202394721293034,0.49870651449436565,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2956615914862877,inf,0.6461548762543492,1.2610822226852174,4.108667319967404,0.4322709132576748
1.125,2.125,0.5132899651307392,0.5132899679026485,True,13906,1.1965685987064512,0.5132899651307392,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2833324755873117,inf,0.6587216816453565,1.2691526554503245,4.11516723961492,0.43016392895875816
1.15,2.15,0.5279354164105703,0.5279354192237578,True,13254,1.1908298467264058,0.5279354164105698,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2712438022942367,inf,0.671134626123564,1.2770227415487168,4.121512542289594,0.4280889689071384
1.175,2.175,0.5426408452211189,0.5426408480378163,True,12856,1.1851762361521765,0.5426408452211189,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2593884098751722,inf,0.6833955911963443,1.2847004262158985,4.1277092132304825,0.42604520380225874
1.2,2.2,0.5574043224517728,0.5574043253096141,True,12522,1.1796056243924318,0.5574043224517728,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2477594431982566,inf,0.6955065070187256,1.292193218879402,4.133762907196486,0.424031834802388
1.225,2.225,0.5722240071542579,0.5722240100157375,True,12130,1.1741159395890897,0.5722240071542584,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.236350302260729,inf,0.7074693242060128,1.2995082121735646,4.139678975031079,0.4220480919967208
1.25,2.25,0.5870981412669347,0.5870981470719248,True,11656,1.1687051880860175,0.5870981412669343,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2251546604461585,inf,0.7192860239124617,1.3066521231085064,4.145462482424813,0.42009323306772495
1.275,2.275,0.6020250446843067,0.6020250504724146,True,11402,1.1633714437806855,0.6020250446843067,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.2141664303238169,inf,0.7309585994698811,1.31363131173117,4.151118231464341,0.41816654199244163
1.3,2.3,0.6170031109000766,0.6170031167943743,True,10928,1.1581128463134247,0.6170031109000766,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.203379758632409,inf,0.7424890546703797,1.3204518068581819,4.156650778837597,0.416267327963305
1.325,2.325,0.6320308023989791,0.6320308083010343,True,10694,1.152927597964581,0.6320308023989791,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1927890072274818,inf,0.7538793933306671,1.3271193281489804,4.162064451066759,0.41439492397492367
1.35,2.35,0.647106647228993,0.6471066532125982,True,10522,1.1478139631805344,0.647106647228993,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1823887587024067,inf,0.7651316253651652,1.333639309182763,4.16736336066997,0.41254868608033046
1.375,2.375,0.662229235096893,0.6622292410884811,True,10180,1.1427702677529346,0.662229235096893,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1721738048120707,inf,0.7762477621613124,1.3400169184315012,4.172551418422018,0.4107279921870125
1.4,2.4,0.6773972140116564,0.677397220084569,True,9776,1.1377948882172346,0.6773972140116564,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.162139116219018,inf,0.7872297996207314,1.3462570670992138,4.1776323485872355,0.40893224111656784
1.425,2.425,0.6926092870147671,0.6926092930958789,True,9636,1.132886253296562,0.6926092870147662,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1522798425462126,inf,0.7980797201874195,1.352364429303122,4.182609699322489,0.4071608516284349
1.45,2.45,0.7078642096689785,0.7078642158059513,True,9318,1.1280428484724954,0.7078642096689785,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1425913283661568,inf,0.8087995076285379,1.3583434648811819,4.187486852708609,0.4054132618155084
1.475,2.475,0.7231607867675587,0.7231607929381856,True,9034,1.1232632038251469,0.7231607867675587,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1330690709976332,inf,0.8193911208446352,1.3641984210424127,4.192267036267974,0.40368892796254485
1.5,2.5,0.7384978701062122,0.7384978763577399,True,8870,1.1185458945584121,0.7384978701062122,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1237087216932298,inf,0.8298564975902245,1.3699333477765323,4.196953331881336,0.4019873239760868
1.525,2.525,0.753874356057405,0.7538743623175389,True,8608,1.1138895465540064,0.753874356057405,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1145061042655946,inf,0.8401975716752723,1.3755521185805692,4.201548683218525,0.4003079406322354
1.55,2.55,0.7692891831841706,0.7692891895250059,True,8372,1.109292824961587,0.7692891831841706,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.1054571746953201,inf,0.8504162469664438,1.3810584295541046,4.206055905026806,0.3986502848058974
1.575,2.575,0.7847413301798389,0.7847413365109931,True,8234,1.1047544349120546,0.7847413301798403,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.0965580256621978,inf,0.8605144036775325,1.386455812240736,4.2104776905615795,0.3970138788393952
1.6,2.6,0.8002298140411459,0.8002298204712888,True,8060,1.1002731238836752,0.8002298140411459,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.087804890068569,inf,0.8704939048926201,1.3917476478964088,4.214816617159415,0.39539825999109557
1.625,2.625,0.8157536879895435,0.8157536944065376,True,7894,1.0958476786189317,0.8157536879895431,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.0791941329164023,inf,0.8803565939832323,1.3969371743008219,4.219075153297191,0.3938029797248722
1.65,2.65,0.8313120398602285,0.8313120463796788,True,7724,1.0914769157124133,0.8313120398602281,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.070722222518752,inf,0.8901042749257408,1.4020274836570026,4.223255666394337,0.3922276032120908
1.675,2.675,0.8469039904351248,0.8469039969637352,True,7498,1.087159696564935,0.8469039904351248,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.0623857698789827,inf,0.8997387478920027,1.407021550927311,4.227360423927435,0.39067170877832824
1.7,2.7,0.8625286917811579,0.8625286983666299,True,7442,1.0828949069663958,0.8625286917811579,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.054181472610399,inf,0.909261766470582,1.411922216415405,4.231391603833189,0.3891348873367487
1.725,2.725,0.8781853261724715,0.8781853327905607,True,7100,1.0786814725689993,0.8781853261724715,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.0461061576384756,inf,0.9186750772567756,1.4167322138392113,4.2353512952515,0.38761674207106545
