family,a,seed,window,source,stored_cross_step,reproduced,cross_step_check,first_positive_step,R_check,R_step,R_interp_step,R_ref,check_interval,R_interp_check,growth_over_interval_rel,growth_one_step_rel,residual_check,residual_interp_step,residual_interp_check,R_ref_kind
Block G base window (lambda calibration),1.5,18,base,rerun,1250,True,1250,1214,0.2582719000713297,0.2514144943270239,0.25138306110453157,0.2212499999999999,50,0.25146188808092446,0.04306170649398178,0.0008617114800249503,0.1673306217913213,0.1361946264611602,0.13655090658045,R_glob (base)
Block G base window (lambda calibration),1.5,19,base,rerun,1050,True,1050,1001,0.24394378418089777,0.23396535926033338,0.23378206760704642,0.2212499999999999,50,0.23378620896711713,0.046021597608863846,0.0009213719791942695,0.10257077595886055,0.05664211347817649,0.056660831489795394,R_glob (base)
Block G base window (lambda calibration),1.5,20,base,rerun,1700,True,1700,1683,0.2662527768394895,0.2634567748756268,0.2633908199737636,0.2212499999999999,50,0.2634538879125123,0.03713327549092738,0.00074298990542784,0.2034023811954333,0.1904669829322656,0.1907520357627679,R_glob (base)
Block G base window (lambda calibration),1.5,21,base,rerun,7950,True,7950,7902,0.27880818464195783,0.258308682437784,0.2581344844810523,0.2212499999999999,50,0.2581975440455481,0.09667779493146351,0.00201054696027017,0.26014998708229586,0.16670953437763814,0.16699454935841018,R_glob (base)
Block G base window (lambda calibration),1.5,22,base,rerun,1850,True,1850,1842,0.23939279690649626,0.23816070436230094,0.2380807429860349,0.2212499999999999,50,0.2381187614658573,0.034755590149491374,0.0006958868167551447,0.0820013419502661,0.07607115473914128,0.07624298967619181,R_glob (base)
Block 3 (prospective),1.3,100000,H10,rerun,3550,True,3550,3541,0.2573833572736612,0.2567695725506277,0.2567224687265106,0.1962499999999999,50,0.2567298238940661,0.01738290680650849,0.0003475437906166166,0.3115075529868092,0.3081399680331758,0.3081774465939682,U = R_glob (window)
Block 3 (prospective),1.3,100001,H10,rerun,4550,True,4550,4542,0.20482093079576646,0.20434735824414366,0.20429317346414944,0.1962499999999999,50,0.20430002056114183,0.01505825430378617,0.00030153788589598303,0.043673532717281915,0.04098432338420155,0.04101921305040479,U = R_glob (window)
Block 3 (prospective),1.3,100002,H10,rerun,3050,True,3050,3001,0.1988009081940706,0.1956198831302565,0.1955705184144897,0.1962499999999999,50,0.195570794110656,0.01653972332469575,0.0003306784135411046,0.012998258313736022,-0.003462326550370487,-0.003460921729140809,U = R_glob (window)
Block 3 (prospective),1.3,100003,H10,rerun,8800,True,8800,8787,0.1961889936210898,0.19522271495608998,0.1952078608637663,0.1962499999999999,50,0.1952230658472855,0.018975621105579064,0.0003790326570665393,-0.0003108605294782629,-0.005310263114566172,-0.005232785491538383,U = R_glob (window)
Block 3 (prospective),1.3,100004,H10,rerun,4500,True,4500,4453,0.23310096686418952,0.23014185913966317,0.2300914802346083,0.1962499999999999,50,0.23009338817446034,0.016039727227954048,0.0003205035435686343,0.18777562733345032,0.1724406636158391,0.17245038560234627,U = R_glob (window)
