dataset,depth,width,activation,seed,layer,distance_from_output,quantizer,min_between_class_distance,min_between_class_chebyshev,quantization_step,margin_in_steps,margin_in_steps_chebyshev,margin_below_one,between_class_collision_pairs,recovery_max_saturation_deviation,collision_group_pure_fraction,collision_group_count
linked_tori,4,15,tanh,1,2,2,fixed-4,0.4876902682542061,0.20316784909788513,0.125,3.9015221460336487,1.625342792783081,False,0,0.0,1.0,244.0
linked_tori,4,15,tanh,1,3,1,float64,0.8561759603726604,0.28279456979006695,1.1102230246251565e-16,7711747472195780.0,2547187038257890.5,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,3,1,float32,0.8561759603726604,0.28279456979006695,5.960464477539063e-08,14364249.021179564,4744505.580995028,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,3,1,float16,0.8561759603726604,0.28279456979006695,0.00048828125,1753.4483668432085,579.1632789300571,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,3,1,bfloat16,0.8561759603726604,0.28279456979006695,0.00390625,219.18104585540107,72.39540986625714,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,3,1,fixed-8,0.8561759603726604,0.28279456979006695,0.0078125,109.59052292770053,36.19770493312857,False,0,0.0,1.0,2.0
linked_tori,4,15,tanh,1,3,1,fixed-6,0.8561759603726604,0.28279456979006695,0.03125,27.397630731925133,9.049426233282142,False,0,0.0,1.0,23.0
linked_tori,4,15,tanh,1,3,1,fixed-4,0.8561759603726604,0.28279456979006695,0.125,6.849407682981283,2.2623565583205356,False,0,0.0,1.0,357.0
linked_tori,4,15,tanh,1,4,0,float64,3.9988672726618453,1.288199005158333,1.1102230246251565e-16,3.6018594318127916e+16,1.1603065119220224e+16,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,4,0,float32,3.9988672726618453,1.288199005158333,5.960464477539063e-08,67089859.98877867,21612392.960526466,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,4,0,float16,3.9988672726618453,1.288199005158333,0.00048828125,8189.680174411459,2638.231562564266,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,4,0,bfloat16,3.9988672726618453,1.288199005158333,0.00390625,1023.7100218014324,329.77894532053324,False,0,0.0,1.0,35.0
linked_tori,4,15,tanh,1,4,0,fixed-8,3.9988672726618453,1.288199005158333,0.0078125,511.8550109007162,164.88947266026662,False,0,0.0,1.0,86.0
linked_tori,4,15,tanh,1,4,0,fixed-6,3.9988672726618453,1.288199005158333,0.03125,127.96375272517905,41.222368165066655,False,0,0.0,1.0,285.0
linked_tori,4,15,tanh,1,4,0,fixed-4,3.9988672726618453,1.288199005158333,0.125,31.990938181294762,10.305592041266664,False,0,0.0,1.0,237.0
