q,a,budget,seed,w2,solved,gstar,R
2.0,1.15,2000,6,14.943180084228516,False,0.021907158195972443,0.16368130502804945
2.0,1.15,2000,7,0.5487829446792603,False,0.021907158195972443,0.006011137392170074
2.0,1.15,2000,8,14.399395942687988,False,0.021907158195972443,0.15772492242145475
2.0,1.15,2000,9,12.343485832214355,False,0.021907158195972443,0.13520534840803222
2.0,1.15,2000,10,13.543231010437012,False,0.021907158195972443,0.14834685211512166
2.0,1.15,2000,11,14.413418769836426,False,0.021907158195972443,0.15787852256780255
2.0,1.15,2000,12,13.093181610107422,False,0.021907158195972443,0.14341720041061023
2.0,1.15,2000,13,12.653825759887695,False,0.021907158195972443,0.13860468135306547
2.0,1.15,2000,14,0.9193346500396729,False,0.021907158195972443,0.010070004806729038
2.0,1.15,2000,15,10.501931190490723,False,0.021907158195972443,0.11503373397664873
2.0,1.15,2000,16,13.588446617126465,False,0.021907158195972443,0.14884212483945802
2.0,1.15,2000,17,13.827594757080078,False,0.021907158195972443,0.1514616529065762
2.0,1.15,2000,18,14.05054759979248,False,0.021907158195972443,0.15390378450434739
2.0,1.15,2000,19,10.573527336120605,False,0.021907158195972443,0.1158179680209166
2.0,1.15,8000,0,1.7932515144348145,False,0.021907158195972443,0.01964252230594532
2.0,1.15,8000,1,57.37342834472656,True,0.021907158195972443,0.6284443854966071
2.0,1.15,8000,2,61.072242736816406,True,0.021907158195972443,0.668959641509133
2.0,1.15,8000,3,55.48857498168945,True,0.021907158195972443,0.6077984950964748
2.0,1.15,8000,4,1.4287630319595337,False,0.021907158195972443,0.015650068882847368
2.0,1.15,8000,5,0.3707067668437958,False,0.021907158195972443,0.004060565892782253
2.0,1.15,8000,6,61.261993408203125,True,0.021907158195972443,0.6710380904970634
2.0,1.15,8000,7,0.5540615916252136,False,0.021907158195972443,0.0060689574690229176
2.0,1.15,8000,8,60.42237091064453,True,0.021907158195972443,0.6618412190576066
2.0,1.15,8000,9,57.001869201660156,True,0.021907158195972443,0.6243744830334492
2.0,1.15,8000,10,59.03929901123047,True,0.021907158195972443,0.6466916316091726
2.0,1.15,8000,11,60.565223693847656,True,0.021907158195972443,0.6634059683177895
2.0,1.15,8000,12,58.609710693359375,True,0.021907158195972443,0.6419861019898008
2.0,1.15,8000,13,57.4770393371582,True,0.021907158195972443,0.6295792966976279
2.0,1.15,8000,14,0.9140043258666992,False,0.021907158195972443,0.010011618679282464
2.0,1.15,8000,15,58.033180236816406,True,0.021907158195972443,0.6356710300316593
2.0,1.15,8000,16,59.064613342285156,True,0.021907158195972443,0.6469689141366928
2.0,1.15,8000,17,59.37974166870117,True,0.021907158195972443,0.6504206971861066
2.0,1.15,8000,18,60.151451110839844,True,0.021907158195972443,0.6588736776012354
2.0,1.15,8000,19,53.2975959777832,True,0.021907158195972443,0.5837994332751606
2.0,1.15,32000,0,1.4936802387237549,False,0.021907158195972443,0.01636114464195959
2.0,1.15,32000,1,253.18797302246094,True,0.021907158195972443,2.7733144891603274
2.0,1.15,32000,2,256.8572082519531,True,0.021907158195972443,2.8135057474756877
2.0,1.15,32000,3,249.48263549804688,True,0.021907158195972443,2.7327277815019215
2.0,1.15,32000,4,192.7124481201172,True,0.021907158195972443,2.1108910436502697
2.0,1.15,32000,5,0.3202352523803711,False,0.021907158195972443,0.003507722166911975
2.0,1.15,32000,6,256.20745849609375,True,0.021907158195972443,2.806388662130985
2.0,1.15,32000,7,0.36897310614585876,False,0.021907158195972443,0.00404157610319833
2.0,1.15,32000,8,255.31948852539062,True,0.021907158195972443,2.7966622128202516
2.0,1.15,32000,9,251.76795959472656,True,0.021907158195972443,2.7577602597594364
2.0,1.15,32000,10,253.26470947265625,True,0.021907158195972443,2.7741550279372404
2.0,1.15,32000,11,255.19268798828125,True,0.021907158195972443,2.795273293107357
2.0,1.15,32000,12,254.96316528320312,True,0.021907158195972443,2.7927591980025
2.0,1.15,32000,13,254.39244079589844,True,0.021907158195972443,2.7865077221876504
2.0,1.15,32000,14,0.7204585075378418,False,0.021907158195972443,0.007891599249132852
2.0,1.15,32000,15,254.0499725341797,True,0.021907158195972443,2.7827564689943642
2.0,1.15,32000,16,254.46791076660156,True,0.021907158195972443,2.78733438848127
2.0,1.15,32000,17,253.56947326660156,True,0.021907158195972443,2.777493282260423
2.0,1.15,32000,18,256.8914794921875,True,0.021907158195972443,2.813881140216381
2.0,1.15,32000,19,248.758544921875,True,0.021907158195972443,2.7247963981017165
2.0,1.25,2000,0,1.8420541286468506,False,0.044559504836797714,0.04104050992754127
2.0,1.25,2000,1,13.377081871032715,True,0.044559504836797714,0.29803807216726064
2.0,1.25,2000,2,15.281249046325684,True,0.044559504836797714,0.3404624453960299
2.0,1.25,2000,3,12.620503425598145,True,0.044559504836797714,0.2811816917178813
2.0,1.25,2000,4,1.3998322486877441,False,0.044559504836797714,0.031187915928053478
2.0,1.25,2000,5,0.37859171628952026,False,0.044559504836797714,0.008434929706587213
2.0,1.25,2000,6,15.556333541870117,True,0.044559504836797714,0.3465912598509
2.0,1.25,2000,7,0.245032399892807,False,0.044559504836797714,0.005459261204097843
2.0,1.25,2000,8,15.135347366333008,True,0.044559504836797714,0.3372117920883646
2.0,1.25,2000,9,13.279565811157227,False,0.044559504836797714,0.295865438496417
2.0,1.25,2000,10,15.242591857910156,True,0.044559504836797714,0.33960117280894053
2.0,1.25,2000,11,15.208991050720215,True,0.044559504836797714,0.3388525551436903
2.0,1.25,2000,12,14.058338165283203,True,0.044559504836797714,0.3132162937366374
2.0,1.25,2000,13,13.806315422058105,False,0.044559504836797714,0.3076012894137765
2.0,1.25,2000,14,0.9617379307746887,False,0.044559504836797714,0.021427282989043284
2.0,1.25,2000,15,14.010973930358887,True,0.044559504836797714,0.31216103030903675
2.0,1.25,2000,16,14.433403968811035,True,0.044559504836797714,0.3215726669798453
2.0,1.25,2000,17,1.2166346311569214,False,0.044559504836797714,0.02710631836582622
2.0,1.25,2000,18,14.745672225952148,True,0.044559504836797714,0.32852992643707424
2.0,1.25,2000,19,11.995391845703125,False,0.044559504836797714,0.26725436048394613
2.0,1.25,8000,0,1.6294209957122803,False,0.044559504836797714,0.03630309636981055
2.0,1.25,8000,1,50.923240661621094,True,0.044559504836797714,1.1345571942834596
2.0,1.25,8000,2,53.68186569213867,True,0.044559504836797714,1.1960186769785892
2.0,1.25,8000,3,49.60493850708008,True,0.044559504836797714,1.105185748667644
2.0,1.25,8000,4,1.3752520084381104,False,0.044559504836797714,0.030640274260906875
2.0,1.25,8000,5,0.378591388463974,False,0.044559504836797714,0.008434922402715206
2.0,1.25,8000,6,53.67827224731445,True,0.044559504836797714,1.1959386159175764
