a,budget,seed,init_distance_step0,distance_step1_recomputed,logged_first_distance,step1_reproduced,min_distance_logged,min_including_step0,min_at_step0
1.35,4000,30,5.186828508193883,5.176348178222684,5.176348178222684,True,4.673227982393675,4.673227982393675,False
1.4,32000,29,4.59137998564265,4.589363380848846,4.589363380848846,True,4.5656547480222205,4.5656547480222205,False
1.4,32000,38,5.361865337419332,5.351986103148982,5.351986103148982,True,5.279153690955756,5.279153690955756,False
1.4,16000,6,4.9464165282143115,4.947610678195732,4.947610678195732,True,4.947610678195732,4.9464165282143115,True
1.45,16000,0,4.4357721560071415,4.44434193109745,4.44434193109745,True,4.44434193109745,4.4357721560071415,True
1.5,2000,20,5.285345130966248,5.282274086910238,5.282274086910238,True,5.238298281293878,5.238298281293878,False
1.6,2000,10,5.25267485751978,5.23637417130755,5.23637417130755,True,4.796009762203082,4.796009762203082,False
1.6,8000,15,5.197815048591261,5.194116323192144,5.194116323192144,True,5.119888819532866,5.119888819532866,False
1.35,32000,33,4.875478644616853,4.884994080567392,4.884994080567392,True,4.817362384590721,4.817362384590721,False
1.4,16000,3,5.4009969608436075,5.408909997065626,5.408909997065626,True,5.408909997065626,5.4009969608436075,True
1.3,8000,4,4.7958860758423265,4.804764867955381,4.804764867955381,True,4.804764867955381,4.7958860758423265,True
1.5,2000,35,5.222483961395048,5.219032623127191,5.219032623127191,True,5.169047498736241,5.169047498736241,False
1.4,16000,39,5.130249566202648,5.122760044939822,5.122760044939821,True,4.735533190113782,4.735533190113782,False
1.4,8000,34,5.479215277943715,5.477726224406844,5.477726224406844,True,5.4755126631130615,5.4755126631130615,False
1.45,8000,8,4.110279580079087,4.112099230712436,4.112099230712436,True,4.112099230712436,4.110279580079087,True
1.45,16000,14,5.9748543230651245,5.972642724755016,5.972642724755016,True,5.946772742395384,5.946772742395384,False
1.6,8000,36,5.399055671654767,5.382535565716445,5.382535565716445,True,5.106888990142347,5.106888990142347,False
