a,eps,budget,seed,w2_abs,solved
1.2,0.19999999999999996,8000,19,20.17375329286726,True
1.2,0.19999999999999996,8000,20,16.489712209258556,True
1.2,0.19999999999999996,8000,21,3.973759990631134,False
1.2,0.19999999999999996,8000,22,14.813858766032668,True
1.2,0.19999999999999996,8000,23,19.46865766014158,True
1.2,0.19999999999999996,8000,24,19.36859781301532,True
1.2,0.19999999999999996,8000,25,14.004596469476434,False
1.2,0.19999999999999996,8000,26,19.302293022879812,True
1.2,0.19999999999999996,8000,27,16.10505858692835,False
1.2,0.19999999999999996,8000,28,17.457045223366233,True
1.2,0.19999999999999996,8000,29,8.4092330954938,False
1.2,0.19999999999999996,16000,0,35.472353858850724,True
1.2,0.19999999999999996,16000,1,39.80046074435063,True
1.2,0.19999999999999996,16000,2,42.5129294136019,True
1.2,0.19999999999999996,16000,3,38.800438333414895,True
1.2,0.19999999999999996,16000,4,0.6704124648122268,False
1.2,0.19999999999999996,16000,5,41.24178716126414,True
1.2,0.19999999999999996,16000,6,36.695353443418234,True
1.2,0.19999999999999996,16000,7,42.67578914739096,True
1.2,0.19999999999999996,16000,8,0.8100806806615053,False
1.2,0.19999999999999996,16000,9,40.06947252829139,True
1.2,0.19999999999999996,16000,10,41.915772272556794,True
