a,kind,s,w1,b1,b2,loss,gap,solves,steps
1.5,solve,3.45,0.9774610851029525,-2.337747120848039,10.240644182922699,0.29418257768437356,0.08608383176496126,False,0
1.5,solve,3.5,-0.9756426754321962,-2.3396175584945214,10.397366682956568,0.291524229782967,0.08935124072878242,True,0
1.5,solve,3.55,0.9738698881348051,-2.341438307968499,10.5540725885566,0.28889112560407687,0.09251675980990726,True,0
1.5,solve,3.6,0.9721410629078349,-2.3432111393790414,10.710761800348394,0.2862829575683206,0.09558468137500808,True,0
1.6,glob,1.95,-1.0980591184994053,-2.2252141871118987,5.536950774160286,0.3524085968761985,-0.011128392295526979,False,0
1.6,glob,2.0,-1.0936594400615247,-2.2298345641067456,5.693750526236752,0.34825501390302255,-0.0004584154146751729,False,0
1.6,glob,2.05,-1.089440751418625,-2.2342614609595266,5.850546892469375,0.3441588613286056,0.009668968261198785,False,0
1.6,glob,2.1,1.085392192662416,-2.238506226981869,6.007337013566662,0.3401185997009513,0.01929163912162979,False,0
1.6,glob,2.15,1.0815037553018931,-2.2425793395191906,6.164118458454228,0.3361327953157591,0.0284441215126785,False,0
1.6,solve,2.65,-1.0496977928985647,-2.2756862281594397,7.731078770207129,0.2990117283663981,0.09989332951925878,False,0
1.6,solve,2.7,1.0470886330655413,-2.278378500309905,7.88766372453256,0.2955518684927951,0.10547349832190767,False,0
1.6,solve,2.75,-1.0445637054793588,-2.280979187350395,8.044225337310433,0.2921345814258804,0.11083106524355113,True,0
1.6,solve,2.8,-1.0421190896446813,-2.2834924653117312,8.200763134351174,0.2887591625739596,0.11597798663745174,True,0
1.6,solve,2.85,1.0397511078085226,-2.2859222568796174,8.3572766816404,0.28542493562644355,0.12092538922788298,True,0
