a,seed,point,step,s,branch,dist,soft_component,stiff_component,hess_min,hess_max,sqrt_vhat_w1,sqrt_vhat_b1,sqrt_vhat_w2,sqrt_vhat_b2,log_vhat_ratio_w2_w1,mhat_w2,residual
1.3,300037,primary,8687,3.3768150521498215,1,0.0095900789667314,0.0080285304495307,0.0052452181469508,1.2374607922689995,1.8393556276680672,0.0119845863213273,0.0084693232621634,0.0008237235356364,0.0080243078304102,-5.355083342594321,0.0003894735507871,0.03357827883505471
1.3,300038,tstar,30,0.0510947426857932,1,1.6214019519256988,1.0969341299273336,1.1940183433720897,0.0256847681236989,0.0409252911815509,0.0259402508944172,0.0177509067747691,0.1613212344645811,0.0266990963787331,3.655203542602453,-0.0634639800127228,0.02975084809500461
1.3,300038,primary,1335,3.481797556702654,1,0.0081101165877713,0.0067491863494244,0.0044969405920011,1.2744271123274344,1.8951319415226449,0.00750996634308,0.0084125593889704,0.0210026742463136,0.0135302790967559,2.056837581052255,-0.0050441681035405,0.02975084809500461
1.3,300039,tstar,14,0.0560681820225768,1,1.5735342200690527,0.597754568974837,1.455575287299846,0.0283261636555243,0.0452176986266749,0.0084826831312148,0.0069148539218738,0.1883377343065555,0.0717872254529772,6.200420006928315,0.1500505802684408,0.029000959356463962
1.3,300039,primary,1613,3.551274945691133,1,0.0082248891416654,0.0068803980359494,0.0045065423840888,1.2787535386241984,1.9159247011749323,0.0094429257722941,0.0022323375139169,0.0144572774569069,0.0158823633289351,0.8518641047427964,0.0030944716113472,0.029000959356463962
1.3,300040,tstar,54,0.0506047853796316,1,1.9078735867132055,0.9796665466042388,1.637142351887103,0.0253400221585937,0.0410058616287782,0.0297391163532994,0.054176196152749,0.2075217148034316,0.1198924254747976,3.885545511314656,0.0522269900373637,0.06375512351402879
1.3,300040,primary,2049,3.402741618565906,1,0.0084748656855854,0.0071671686225164,0.0045227250994427,1.2493449393760585,1.881735049326487,0.0048603437271913,0.0073194028841887,0.0203069478845192,0.018375282088472,2.859707853280392,0.0037942165486704,0.06375512351402879
1.3,300041,tstar,1,0.9300562049558476,1,2.248552065281611,2.084962821186251,0.841971748073097,0.3987879561064337,0.6797660954427848,0.5421417798366455,0.1383484101334901,0.6249606942209303,0.0157849155946105,0.2843224097318353,-0.6249606942209303,0.023313542541098187
1.3,300041,primary,1587,3.4474847823155947,1,0.0064114735281137,0.0052308449285958,0.0037074592559712,1.2658556795302252,1.8842473645405928,0.0454885977051014,0.0081922137301745,0.0480805790665474,0.0094805909634466,0.1108332786083649,0.0126910565572845,0.023313542541098187
1.3,300042,tstar,17557,0.1315529795395974,-1,2.171515213552075,1.053732203238722,1.8987171370548543,0.0625662492185851,0.104302989556373,0.0003763962594911,0.0003954764824473,1.4478971406377787e-05,0.000158260764061,-6.515890242217443,2.1953666210607173e-05,0.031025032664727226
1.3,300042,primary,17990,3.565799768694916,-1,0.0089143097830729,0.0073278132255015,0.0050762261810083,1.2996190343171892,1.9079378166061427,0.0096166063376414,0.0090206355365937,0.0009353711315521,0.0082017210267655,-4.6606066543858775,-0.0004188606336262,0.031025032664727226
1.3,300043,tstar,1,0.3290527968329551,-1,1.231942244869437,0.6441080928709082,1.0501459229041217,0.142505097028579,0.2615131071372223,0.0608044838416547,0.0050890392040277,0.2131630066284721,0.1089693427839917,2.5087872574237093,-0.2131630066284721,0.018606792197378486
1.3,300043,primary,1576,3.515909714642655,-1,0.0083745147932628,0.0070942750555251,0.0044501415100121,1.2722208004939233,1.9020525396224055,0.0089315439667471,0.0050464200680243,0.0120800750752889,0.0163264292895438,0.6039362615468438,0.0026047723618979,0.018606792197378486
1.3,300044,tstar,5607,0.5154319362445886,-1,2.004475981762995,1.051480656556191,1.7065498499466356,0.2204632820821293,0.398487468830321,0.0051945640576616,0.0014405277325766,0.0034384035371466,0.0013775055105624,-0.8252108593048174,0.0004500311231079,0.03158316180331289
1.3,300044,primary,6200,3.601870111288832,-1,0.0087572350539409,0.0071994708018202,0.0049856580271524,1.300219789514432,1.9289934212583093,0.0156412428004197,0.0039145243045006,0.0039410961613559,0.0092183946133032,-2.7569045934896823,-0.0015042468255108,0.03158316180331289
