window,A,status,m_minus_lo,m_minus_hi,m_plus_lo,m_plus_hi,converged
H35,0.61,minus,0.37048784098100346,0.37048788653197773,0.37082990197487825,0.37082996801140294,True
H35,0.66,minus,0.3593961029326706,0.3593961504867231,0.3594579707369777,0.3594580281173871,True
H35,0.685,minus,0.3539837048575119,0.3539837531865331,0.35399184950129053,0.35399193280966673,True
H35,0.6975,minus,0.3513098231419679,0.3513098704989696,0.3513099669028466,0.3513100543411808,True
H35,0.70375,plus,0.34998139135761175,0.34998148078645264,0.34998083954813575,0.34998088670027977,True
H35,0.700625,plus,0.35064474780868954,0.3506447484523523,0.3506447180577524,0.3506447189199259,True
H35,0.6975,minus,0.3513098231419679,0.3513098704989696,0.3513099669028466,0.3513100543411808,True
H35,0.700625,plus,0.35064474780868954,0.3506447484523523,0.3506447180577524,0.3506447189199259,True
H65,0.51,plus,0.38024642477338244,0.3802464999505643,0.3802447788068997,0.3802448324345141,True
H65,0.41,minus,0.40592406972345446,0.40592412053564275,0.4075286730456428,0.4075287501695688,True
H65,0.46,minus,0.3928318948073417,0.39283194910885505,0.3931531139875989,0.39315318203284916,True
H65,0.485,minus,0.38647816658517664,0.3864782162099206,0.3865411496532013,0.3865412085882988,True
H65,0.4975,minus,0.38334675939517515,0.3833468115599399,0.3833572523985774,0.38335734760074625,True
H65,0.50375,minus,0.38179212705338106,0.3817921825686669,0.38179304652182194,0.38179310233229224,True
H65,0.506875,plus,0.3810176302486332,0.38101763087754376,0.3810176009077646,0.3810176017773015,True
H65,0.50375,minus,0.38179212705338106,0.3817921825686669,0.38179304652182194,0.38179310233229224,True
H65,0.506875,plus,0.3810176302486332,0.38101763087754376,0.3810176009077646,0.3810176017773015,True
H90,0.41,minus,0.39888881558325984,0.398888870803964,0.3988890369418377,0.39888909501945263,True
H90,0.51,plus,0.37399431531374455,0.37399438530272056,0.37284187862686236,0.37284194954139693,True
H90,0.46,plus,0.38593530864925907,0.38593538244513775,0.38561260814770965,0.3856126723735985,True
H90,0.435,plus,0.3922669802833347,0.39226705484537133,0.39218441109289487,0.3921844724799132,True
H90,0.4225,plus,0.39553892474860963,0.3955389967783368,0.39551959889702276,0.3955196615645672,True
H90,0.41625,plus,0.397203829379462,0.3972038943218374,0.39719989555286767,0.3971999547982587,True
H90,0.413125,plus,0.3980438108317268,0.3980439066026261,0.39804326880993934,0.3980433284031462,True
H90,0.41,minus,0.39888881558325984,0.398888870803964,0.3988890369418377,0.39888909501945263,True
H90,0.413125,plus,0.3980438108317268,0.3980439066026261,0.39804326880993934,0.3980433284031462,True
