a,budget,seed,final_solved,cross_step,w2_abs,R_cert
1.35,32000,3,True,2601,4.85733231646511,0.25965732234741956
1.35,32000,4,True,27616,3.713403368873515,0.19850656960182683
1.35,32000,5,True,1959,4.43907269265022,0.23729851160727874
1.35,32000,6,True,4176,3.9899470852729153,0.21328970491848337
1.35,32000,7,True,1490,4.254101682890988,0.22741055789590214
1.35,32000,9,True,2264,4.858709965423315,0.2597309670182628
1.35,32000,10,True,1661,4.419578758248011,0.23625642873563005
1.35,32000,11,True,3499,4.535978208361389,0.24247876798894824
1.35,32000,12,True,1538,4.028060639848358,0.21532713264247402
1.35,32000,13,True,3820,4.740416740682796,0.2534073926801747
1.35,32000,14,True,4123,4.041920307342545,0.21606802577386783
1.35,32000,15,True,2387,4.214779318818383,0.22530851111420422
1.35,32000,16,True,3500,4.2328081949287375,0.22627227669389893
1.35,32000,18,True,2078,4.457150419097709,0.2382648885684705
1.35,32000,19,True,1719,4.142548245618636,0.221447270862276
1.35,32000,20,True,2743,4.697483326834453,0.2511123108219075
1.35,32000,21,True,8201,4.579359570775126,0.24479779573303545
1.35,32000,22,True,2881,4.160909744274395,0.22242881737065032
1.35,32000,23,True,2374,4.611360113401082,0.246508441550649
1.35,32000,24,True,2367,4.697810447910545,0.251129797659778
1.35,32000,25,True,3655,4.870475347120851,0.260359906384347
1.35,32000,26,True,2973,4.621874463883078,0.2470705048221124
1.35,32000,27,True,2584,4.359614535164637,0.23305093473438715
1.35,32000,28,True,2562,4.821297777801198,0.25773103210992043
1.35,32000,29,True,6543,4.3516173050038525,0.23262342859841487
1.35,32000,30,True,2211,4.627513662380525,0.2473719581892352
1.35,32000,31,True,1648,4.545694608042103,0.24299817538370266
1.35,32000,32,True,2420,4.739962098773637,0.2533830889897809
1.35,32000,33,True,2070,4.547245825384714,0.24308109846067555
1.35,32000,34,True,2011,3.9358938755801782,0.21040019463204002
1.35,32000,35,True,3006,4.441779433361343,0.23744320523735146
1.35,32000,36,True,1956,5.089501790833534,0.27206835377735983
1.35,32000,37,True,3244,4.118566300521086,0.22016527341120506
1.35,32000,38,True,1535,4.876581909756695,0.26068634353121356
1.35,32000,39,True,1690,4.454959966700426,0.23814779404679653
1.4,2000,1,False,1726,3.657303396812029,0.2354789455148752
1.4,2000,2,True,1193,3.494081011971155,0.2249697175683353
1.4,2000,5,False,1610,3.74233918599456,0.24095405539642947
1.4,2000,7,False,1209,3.5954339258489085,0.23149542098840079
1.4,2000,9,False,1857,4.100389370710935,0.2640074558914258
1.4,2000,10,False,1345,3.734272606070859,0.24043468100271626
1.4,2000,12,False,1246,3.407548218264989,0.21939822163169906
1.4,2000,18,False,1703,3.768820213337192,0.24265906144001587
1.4,2000,19,False,1407,3.503881371810615,0.22560072302516287
1.4,2000,30,False,1808,3.9063408207220944,0.25151345608547776
1.4,2000,31,False,1340,3.841625454281558,0.24734669588141325
1.4,2000,32,False,1995,3.998542143614191,0.2574499256462565
1.4,2000,33,False,1767,3.843908727288916,0.24749370657802758
1.4,2000,34,False,1652,3.328632700983649,0.21431717125716107
1.4,2000,36,False,1631,4.294425236428585,0.2765006390085514
1.4,2000,38,False,1226,4.121907072606294,0.2653928935219596
1.4,2000,39,False,1373,3.7606021203840583,0.24212993173630193
1.4,4000,0,False,3224,3.4156728571061494,0.21992133420383986
1.4,4000,1,True,1726,3.657303396812029,0.2354789455148752
1.4,4000,2,True,1193,3.494081011971155,0.2249697175683353
1.4,4000,3,True,2147,4.095298931676713,0.2636797031496021
1.4,4000,5,True,1610,3.74233918599456,0.24095405539642947
1.4,4000,7,True,1209,3.5954339258489085,0.23149542098840079
1.4,4000,9,True,1857,4.100389370710935,0.2640074558914258
1.4,4000,10,True,1345,3.734272606070859,0.24043468100271626
1.4,4000,11,True,3236,3.823957787305614,0.24620914639814376
1.4,4000,12,True,1246,3.407548218264989,0.21939822163169906
1.4,4000,13,False,3468,3.998058350592434,0.25741877617402237
