a,seed,w2,margin,solved,gstar,bound
1.35,47,4.705213345802307,-0.2606096377134879,False,0.1067705918459203,
1.35,48,3.815596282630491,-0.29169249786058593,False,0.1067705918459203,
1.35,49,2.1608733745751656,-0.6202060163398837,False,0.1067705918459203,
1.35,50,3.2217325836376345,-0.39551721389346106,False,0.1067705918459203,
1.35,51,4.364898767826984,-0.26710882447806483,False,0.1067705918459203,
1.35,52,6.033685076167581,-0.05426428312436471,False,0.1067705918459203,
1.35,53,3.617902095350025,-0.3706584770873125,False,0.1067705918459203,
1.35,54,4.624205599409147,-0.24682069533998074,False,0.1067705918459203,
1.35,55,0.3731328021161957,-0.02842292851351605,False,0.1067705918459203,
1.35,56,0.4223499756421627,-0.5705766116455983,False,0.1067705918459203,
1.35,57,3.464040730535993,-0.2752529856435597,False,0.1067705918459203,
1.35,58,4.7714593651731985,-0.1861876804645899,False,0.1067705918459203,
1.35,59,0.38580492359821983,-0.020341600998571727,False,0.1067705918459203,
1.45,0,4.317488524117306,-0.03539116823992039,False,0.1512839606725933,
1.45,1,5.190129588011766,0.11923279707492362,True,0.1512839606725933,1.5762781003990982
1.45,2,4.7791523847302555,0.02111400152999998,True,0.1512839606725933,0.27913073449596704
1.45,3,3.363362058516754,-0.26492351936706626,False,0.1512839606725933,
1.45,4,0.8362188251318687,-0.006090274201172141,False,0.1512839606725933,
1.45,5,5.573053067418152,0.15066802481728203,True,0.1512839606725933,1.9918572219741884
1.45,6,0.47982036649479654,-0.03273723704647952,False,0.1512839606725933,
1.45,7,5.301648807159364,0.0704275757538948,True,0.1512839606725933,0.9310646738858616
1.45,8,0.391166243792742,-0.005461892083511749,False,0.1512839606725933,
1.45,9,3.234546676020891,-0.1644674264119086,False,0.1512839606725933,
1.45,10,5.702454903930816,0.10701028561443948,True,0.1512839606725933,1.4146943950790618
1.45,11,4.039733923893771,-0.08291963400607827,False,0.1512839606725933,
1.45,12,0.5449293907500562,-0.0954127635331862,False,0.1512839606725933,
1.45,13,4.3703129160232095,-0.07082684720566412,False,0.1512839606725933,
1.45,14,4.367335103125073,-0.0727790585602417,False,0.1512839606725933,
1.45,15,5.556998941055103,0.11880332760185652,True,0.1512839606725933,1.5706004400422735
1.45,16,0.36275904219968874,-0.017785711111343517,False,0.1512839606725933,
1.45,17,0.40565989689525633,-0.0068103198998756,False,0.1512839606725933,
1.45,18,5.522969709622264,0.16209757368119782,True,0.1512839606725933,2.142957825278083
1.45,19,5.7597004400552185,0.12297692764133572,True,0.1512839606725933,1.625776150949415
1.45,20,3.988539671545483,-0.14137293904923176,False,0.1512839606725933,
1.45,21,4.118948295547763,-0.14982470817959204,False,0.1512839606725933,
1.45,22,5.674762393321427,0.17937064293418814,True,0.1512839606725933,2.3713107739475388
1.45,23,4.662930206167168,-0.0876822587152315,False,0.1512839606725933,
