search,depth,seed,eval_errors,dense_errors,separated,lr,errors_after_swap,train_errors
restarts,5,127,61,,False,,,
restarts,5,128,71,,False,,,
restarts,5,129,57,,False,,,
restarts,5,130,71,,False,,,
restarts,5,131,26,,False,,,
restarts,5,132,73,,False,,,
restarts,5,133,6,,False,,,
restarts,5,134,56,,False,,,
restarts,5,135,57,,False,,,
restarts,5,136,50,,False,,,
restarts,5,137,63,,False,,,
restarts,5,138,24,,False,,,
restarts,5,139,76,,False,,,
restarts,5,140,104,,False,,,
restarts,5,141,82,,False,,,
restarts,5,142,65,,False,,,
restarts,5,143,64,,False,,,
restarts,5,144,15,,False,,,
restarts,5,145,12,,False,,,
restarts,5,146,54,,False,,,
restarts,5,147,6,,False,,,
restarts,5,148,65,,False,,,
restarts,5,149,6,,False,,,
restarts,5,150,100,,False,,,
restarts,5,151,74,,False,,,
restarts,5,152,78,,False,,,
restarts,5,153,47,,False,,,
restarts,5,154,70,,False,,,
restarts,5,155,84,,False,,,
restarts,5,156,54,,False,,,
restarts,5,157,103,,False,,,
restarts,5,158,68,,False,,,
restarts,5,159,67,,False,,,
restarts,5,160,85,,False,,,
restarts,5,161,72,,False,,,
restarts,5,162,91,,False,,,
restarts,5,163,88,,False,,,
restarts,5,164,78,,False,,,
restarts,5,165,73,,False,,,
restarts,5,166,79,,False,,,
restarts,5,167,58,,False,,,
restarts,5,168,110,,False,,,
restarts,5,169,75,,False,,,
restarts,5,170,92,,False,,,
restarts,5,171,71,,False,,,
restarts,5,172,23,,False,,,
restarts,5,173,62,,False,,,
restarts,5,174,66,,False,,,
restarts,5,175,77,,False,,,
restarts,5,176,35,,False,,,
restarts,5,177,37,,False,,,
restarts,5,178,8,,False,,,
restarts,5,179,57,,False,,,
restarts,5,180,80,,False,,,
restarts,5,181,62,,False,,,
restarts,5,182,74,,False,,,
restarts,5,183,87,,False,,,
restarts,5,184,82,,False,,,
restarts,5,185,24,,False,,,
restarts,5,186,90,,False,,,
restarts,5,187,61,,False,,,
restarts,5,188,74,,False,,,
restarts,5,189,89,,False,,,
restarts,5,190,21,,False,,,
restarts,5,191,76,,False,,,
restarts,5,192,18,,False,,,
restarts,5,193,60,,False,,,
restarts,5,194,16,,False,,,
restarts,5,195,7,,False,,,
restarts,5,196,102,,False,,,
restarts,5,197,64,,False,,,
restarts,5,198,29,,False,,,
restarts,5,199,72,,False,,,
restarts,8,0,60,,False,,,
restarts,8,1,39,,False,,,
restarts,8,2,12,,False,,,
restarts,8,3,22,,False,,,
restarts,8,4,37,,False,,,
restarts,8,5,70,,False,,,
restarts,8,6,75,,False,,,
restarts,8,7,34,,False,,,
restarts,8,8,22,,False,,,
restarts,8,9,47,,False,,,
restarts,8,10,71,,False,,,
restarts,8,11,32,,False,,,
restarts,8,12,47,,False,,,
restarts,8,13,76,,False,,,
restarts,8,14,96,,False,,,
restarts,8,15,30,,False,,,
restarts,8,16,64,,False,,,
restarts,8,17,61,,False,,,
restarts,8,18,80,,False,,,
restarts,8,19,29,,False,,,
restarts,8,20,65,,False,,,
restarts,8,21,82,,False,,,
restarts,8,22,61,,False,,,
restarts,8,23,66,,False,,,
restarts,8,24,40,,False,,,
restarts,8,25,80,,False,,,
restarts,8,26,78,,False,,,
restarts,8,27,8,,False,,,
restarts,8,28,98,,False,,,
restarts,8,29,72,,False,,,
restarts,8,30,57,,False,,,
restarts,8,31,69,,False,,,
restarts,8,32,81,,False,,,
restarts,8,33,67,,False,,,
restarts,8,34,80,,False,,,
