act,seed,R2,variant,step,H,ck_step,drift,placed,G_lo,sign_correct,share1,share2,alpha1,alpha2,beta1,beta2,cancel_index,knockout,pair,pair_strict,max_abs_alpha,grad_max,grad_rel,hess_min,hess_min_rel,endpoint_type
f1.30,630001,0.003,reset,4000,16000,115,1.734723475976807e-18,False,,False,0.49982616994999796,0.500173830050002,1.77835227075154,-1.778352267892565,1.5100554487612463,-1.5100554547222638,1.0,unplaced,False,False,1.77835227075154,2.3173615055528674e-08,4.58402256930902e-06,-4.903735837530343e-13,-9.700185188760891e-11,"other: unplaced, two units"
f1.30,630001,0.003,reset,16000,16000,115,1.734723475976807e-18,False,,False,0.49999999950093854,0.5000000004990613,1.7797879488587849,-1.7797843023124638,1.5098436852245298,-1.5098426356763937,1.0,unplaced,False,False,1.7797879488587849,0.00011475380974326115,0.022699697587830747,-0.0005552091426750836,-0.10982711305986319,"other: unplaced, two units"
f1.30,630001,0.01,preserved,1000,16000,115,3.469446951953614e-18,False,,False,0.3323544093039419,0.6676455906960581,1.7852173717436006,-1.4418536347734199,1.4793470322720035,0.6844819996786508,0.23735795761726297,unplaced,False,False,1.7852173717436006,0.0966148690290175,5.733478429221464,-0.030047230969768406,-1.7831121891937856,"other: unplaced, two units"
f1.30,630001,0.01,preserved,4000,16000,115,3.469446951953614e-18,True,0.013733586558315481,True,0.4946735332186951,0.505326466781305,1.7824759167813844,-1.822640983946751,1.507694167156981,1.6379928163000999,0.02179147476018754,shared,True,False,1.822640983946751,0.02848478899086826,1.6903911880377056,0.004167353567197198,0.24730594808639708,placed pair
f1.30,630001,0.01,preserved,16000,16000,115,3.469446951953614e-18,True,0.013093901379604101,True,0.49999994846043483,0.5000000515395653,1.7823306378891428,-1.822789954550586,1.5077854325475413,1.6379480305531933,0.011222839067348134,shared,True,False,1.822789954550586,0.028686418477827602,1.7023566166078066,0.004203157317468497,0.24943067310987221,placed pair
f1.30,630001,0.01,reset,1000,16000,115,3.469446951953614e-18,True,0.014018209822481453,True,0.49230838488911527,0.5076916151108846,1.7825324751492309,-1.8225787226794685,1.5076697979967413,1.6380096334627572,0.026486890645099043,shared,True,False,1.8225787226794685,0.02839516499068684,1.6850725732432639,0.0041477791810677084,0.24614433267702382,placed pair
f1.30,630001,0.01,reset,4000,16000,115,3.469446951953614e-18,True,0.013126548954026096,True,0.49972828747290815,0.5002717125270918,1.7823377696287421,-1.822782526670941,1.5077813330966083,1.637950144383184,0.011762051675096525,shared,True,False,1.822782526670941,0.028676118966740494,1.701745406084592,0.004203239602869495,0.2494355562254464,placed pair
f1.30,630001,0.01,reset,16000,16000,115,3.469446951953614e-18,True,0.013093895780211993,True,0.499999994791856,0.5000000052081441,1.7823306381838897,-1.8227899546013966,1.5077854350632283,1.637948031370017,0.01122274634743735,shared,True,False,1.8227899546013966,0.02868642027797841,1.7023567234353159,0.004203157249324131,0.2494306690659372,placed pair
f1.30,630001,0.03,preserved,1000,16000,115,1.3877787807814457e-17,True,0.024256831562012887,True,0.4303061215639301,0.56969387843607,1.789434119470141,-1.8129311552366683,1.4990383323572725,1.6010730963687967,0.14577788735708058,shared,False,False,1.8129311552366683,0.019781587430240277,0.39130382989315754,0.010717586412094372,0.21200687887425282,"other: placed, not the pair"
f1.30,630001,0.03,preserved,4000,16000,115,1.3877787807814457e-17,True,0.04013933654275357,True,0.4975087084682328,0.5024912915317672,1.7826391129345864,-1.8221848925742532,1.5077000912805982,1.6379043227728436,0.015951949780175716,shared,True,False,1.8221848925742532,0.027531391598722865,0.5446043707493146,0.012344390273026959,0.24418703547254278,placed pair
f1.30,630001,0.03,preserved,16000,16000,115,1.3877787807814457e-17,True,0.03926203680021587,True,0.4999999371445364,0.5000000628554637,1.7824407959673108,-1.8223905512217045,1.5078157719325447,1.637845296716435,0.011082407058122261,shared,True,False,1.8223905512217045,0.027809348384081667,0.5501026936235153,0.012363513525783817,0.2445653166428565,placed pair
f1.30,630001,0.03,reset,1000,16000,115,1.3877787807814457e-17,True,0.042504551199742176,True,0.4907958078846101,0.50920419211539,1.7831652952757828,-1.8216324407621682,1.507403786092676,1.638065486234466,0.029073769820227236,shared,True,False,1.8216324407621682,0.026782213762202134,0.5297847230473571,0.012205634578362563,0.24144227927271117,placed pair
f1.30,630001,0.03,reset,4000,16000,115,1.3877787807814457e-17,True,0.039405857039485154,True,0.49959242799704945,0.5004075720029506,1.7824713804275971,-1.8223569273636562,1.5078005990617234,1.6378548906562387,0.011879515814543832,shared,True,False,1.8223569273636562,0.027765155162017163,0.549228498005487,0.012363397197405163,0.24456301552621187,placed pair
f1.30,630001,0.03,reset,16000,16000,115,1.3877787807814457e-17,True,0.03926202799841852,True,0.4999999882263318,0.5000000117736683,1.782440906868402,-1.8223907207630452,1.5078158296641757,1.6378452780569268,0.011082320312044643,shared,True,False,1.8223907207630452,0.027809348589288296,0.5501026976827517,0.012363513324166969,0.2445653126546303,placed pair
f1.30,630001,0.1,preserved,1000,16000,115,5.551115123125783e-17,True,0.1411708504572619,True,0.47686021434889797,0.523139785651102,1.789004229216192,-1.8145421453645156,1.5042869790299305,1.6393701564828185,0.05334895829770958,shared,True,False,1.8145421453645156,0.016830671103181594,0.09987933605792106,0.03702094058376195,0.21969575325174676,placed pair
f1.30,630001,0.1,preserved,4000,16000,115,5.551115123125783e-17,True,0.13256795664961943,True,0.4982287338935323,0.5017712661064677,1.7832677429477655,-1.820476354983095,1.5076986451994563,1.6375851550790712,0.013867012302480698,shared,True,False,1.820476354983095,0.024228215750536408,0.14377906193973425,0.03794346585641356,0.2251703544226815,placed pair
f1.30,630001,0.1,preserved,16000,16000,115,5.551115123125783e-17,True,0.13065578275554313,True,0.4999997084908367,0.5000002915091634,1.782788437487266,-1.8209494390796308,1.5079697118467916,1.6374618323858197,0.010589866330216642,shared,True,False,1.8209494390796308,0.024843178687583067,0.1474284761238685,0.03794580546446553,0.22518423850950334,placed pair
f1.30,630001,0.1,reset,1000,16000,115,5.551115123125783e-17,True,0.14286464907959256,True,0.48426747271084347,0.5157325272891565,1.7869094742837726,-1.8166515593952908,1.505691963378165,1.6386982976218627,0.03970826855291474,shared,True,False,1.8166515593952908,0.019382345788837352,0.11502190356914312,0.037457916278691314,0.22228892627588975,placed pair
f1.30,630001,0.1,reset,4000,16000,115,5.551115123125783e-17,True,0.13202154402436495,True,0.49873541222775547,0.5012645877722445,1.783134058737948,-1.8206154310617644,1.5077746187473087,1.6375461892177483,0.012929495198485692,shared,True,False,1.8206154310617644,0.024403973892096587,0.14482207480465123,0.037945899960471124,0.22518479928323845,placed pair
