act,seed,R2,variant,s,sigma,own_loss_recomputed,own_loss_recorded,own_match,pop_loss_stuck,own_gap_to_placed_found,pop_global_loss,pop_global_placed,s_direct,same_s,pop_gap
f1.30,630041,0.003,preserved,0.005055301256734821,1.0,0.6898905201016725,0.6898905201016725,True,0.6906194861606249,,0.6905695256247887,True,0.005055301256734821,True,4.9960535836168773e-05
f1.30,630041,0.003,reset,0.005055301256734821,1.0,0.6898905201016725,0.6898905201016725,True,0.6906194861511995,,0.6905695256247887,True,0.005055301256734821,True,4.9960526410819384e-05
f1.30,630041,0.01,preserved,0.01685100418911607,1.0,0.6824564438507406,0.6824564438507406,True,0.6848618990872599,,0.6845827328907806,True,0.01685100418911607,True,0.00027916619647927465
f1.30,630041,0.01,reset,0.01685100418911607,1.0,0.6824564438507406,0.6824564438507406,True,0.6848618989814012,,0.6845827328907806,True,0.01685100418911607,True,0.00027916609062050846
f1.30,630041,0.03,preserved,0.050553012567348204,1.0,0.6624669266100313,0.6624669266100313,True,0.6694694431509238,,,,,,
f1.30,630046,0.003,reset,0.005055301256734821,-1.0,0.6906482326107437,0.6906482326107437,True,0.6905852686070516,,0.6905695256247887,True,0.005055301256734821,True,1.5742982262922922e-05
f1.30,630046,0.01,preserved,0.01685100418911607,-1.0,0.6849535828616493,0.6849535828616493,True,0.6847466698428196,,0.6845827328907806,True,0.01685100418911607,True,0.00016393695203897884
f1.30,630046,0.01,reset,0.01685100418911607,-1.0,0.6849535828616493,0.6849535828616493,True,0.6847466698428154,,0.6845827328907806,True,0.01685100418911607,True,0.00016393695203476
f1.30,630047,0.01,reset,0.01685100418911607,1.0,0.682716389059553,0.682716389059553,True,0.6848122999905928,-0.0034854080259840714,0.6845827328907806,True,0.01685100418911607,True,0.00022956709981214463
f1.30,630047,0.03,preserved,0.050553012567348204,1.0,0.663223292079513,0.6632232920795131,True,0.6693190855426709,-0.008538609075703585,,,,,
f1.30,630047,0.03,reset,0.050553012567348204,1.0,0.663223292079513,0.6632232920795131,True,0.6693190855745931,-0.008538609075703585,,,,,
f1.30,630048,0.003,reset,0.005055301256734821,-1.0,0.690197900316004,0.690197900316004,True,0.690588624584332,,0.6905695256247887,True,0.005055301256734821,True,1.9098959543328853e-05
f1.30,630048,0.01,reset,0.01685100418911607,-1.0,0.6834693628538081,0.6834693628538079,True,0.6847579446532426,,0.6845827328907806,True,0.01685100418911607,True,0.00017521176246193537
f1.30,630048,0.03,preserved,0.050553012567348204,-1.0,0.6654026689699575,0.6654026689699576,True,0.6691488182791212,-0.006710570217188239,,,,,
f1.30,630050,0.003,preserved,0.005055301256734821,1.0,0.6904506639150485,0.6904506639150485,True,0.6905843291246292,,0.6905695256247887,True,0.005055301256734821,True,1.4803499840509993e-05
f1.30,630050,0.003,reset,0.005055301256734821,1.0,0.6904506639150486,0.6904506639150486,True,0.6905843291246305,,0.6905695256247887,True,0.005055301256734821,True,1.480349984184226e-05
f1.30,630051,0.003,preserved,0.005055301256734821,-1.0,0.6902835224852347,0.6902835224852347,True,0.6905985295870337,,0.6905695256247887,True,0.005055301256734821,True,2.900396224503332e-05
f1.30,630052,0.003,reset,0.005055301256734821,-1.0,0.6901903027751797,0.6901903027751797,True,0.6905922413218738,,0.6905695256247887,True,0.005055301256734821,True,2.2715697085118336e-05
f1.30,630052,0.01,preserved,0.01685100418911607,-1.0,0.6834456036391038,0.6834456036391038,True,0.6847704268388185,,0.6845827328907806,True,0.01685100418911607,True,0.00018769394803785922
f1.30,630052,0.03,reset,0.050553012567348204,-1.0,0.6653460702495343,0.6653460702495343,True,0.6691893953368913,-0.006511800286522762,,,,,
f1.30,630053,0.01,preserved,0.01685100418911607,-1.0,0.6855002699388945,0.6855002699388945,True,0.6847666200724922,,0.6845827328907806,True,0.01685100418911607,True,0.00018388718171158391
f1.30,630056,0.003,preserved,0.005055301256734821,1.0,0.6906861668450542,0.6906861668450542,True,0.6905840657580566,,0.6905695256247887,True,0.005055301256734821,True,1.4540133267959554e-05
f1.30,630056,0.03,reset,0.050553012567348204,1.0,0.670077013947298,0.6700770139472979,True,0.6691022576304906,0.001813852472668298,,,,,
f1.30,630057,0.003,reset,0.005055301256734821,1.0,0.6904597392237403,0.6904597392237403,True,0.6905840585098292,,0.6905695256247887,True,0.005055301256734821,True,1.4532885040496879e-05
f1.30,630057,0.03,preserved,0.050553012567348204,1.0,0.6679117144424922,0.6679117144424922,True,0.6691024218759509,,,,,,
f1.30,630059,0.003,preserved,0.005055301256734821,1.0,0.6906475045344433,0.6906475045344432,True,0.6905861789274408,,0.6905695256247887,True,0.005055301256734821,True,1.6653302652103186e-05
f1.30,630059,0.01,preserved,0.01685100418911607,1.0,0.6849509297290637,0.6849509297290637,True,0.6847495699789511,,0.6845827328907806,True,0.01685100418911607,True,0.00016683708817044618
f1.30,630060,0.003,preserved,0.005055301256734821,-1.0,0.6901940869707468,0.6901940869707468,True,0.6905900651119745,,0.6905695256247887,True,0.005055301256734821,True,2.0539487185833316e-05
f1.30,630060,0.01,preserved,0.01685100418911607,-1.0,0.6834572444737606,0.6834572444737604,True,0.6847630949154965,-0.0023942770061703422,0.6845827328907806,True,0.01685100418911607,True,0.00018036202471582996
f1.30,630060,0.03,preserved,0.050553012567348204,-1.0,0.6653725741080321,0.665372574108032,True,0.6691669234874905,-0.006063481083109834,,,,,
f1.30,630060,0.03,reset,0.050553012567348204,-1.0,0.665372574108032,0.665372574108032,True,0.6691669234686836,-0.006063481083109834,,,,,
f1.30,630062,0.01,reset,0.01685100418911607,-1.0,0.6844636550423004,0.6844636550423004,True,0.6847427609909376,,0.6845827328907806,True,0.01685100418911607,True,0.00016002810015691704
f1.30,630063,0.01,reset,0.01685100418911607,1.0,0.6835487384322043,0.6835487384322043,True,0.6847948110790848,-0.0020055142309258756,0.6845827328907806,True,0.01685100418911607,True,0.00021207818830415448
f1.30,630063,0.03,preserved,0.050553012567348204,1.0,0.6656446847588398,0.6656446847588399,True,0.6692579894904475,-0.0049148284316710145,,,,,
f1.30,630063,0.03,reset,0.050553012567348204,1.0,0.6656446847588399,0.6656446847588399,True,0.6692579896623997,-0.0049148284316710145,,,,,
f1.30,630065,0.003,preserved,0.005055301256734821,-1.0,0.6907189399581871,0.690718939958187,True,0.6905851339669061,,0.6905695256247887,True,0.005055301256734821,True,1.5608342117445773e-05
f1.30,630065,0.003,reset,0.005055301256734821,-1.0,0.690718939958187,0.690718939958187,True,0.690585133966824,,0.6905695256247887,True,0.005055301256734821,True,1.560834203528927e-05
f1.30,630065,0.03,preserved,0.050553012567348204,-1.0,0.670393999925918,0.670393999925918,True,0.66911159288067,,,,,,
