act,seed,R2,variant,s,reproduced,loss_endpoint,loss_polished,polish_move,polish_grad,G_lo,G_hi,duplicate,orientation,lam_min,lam_max,lam_min_rel,lam_second_rel,n_zero,lam_min_complement_rel,class,loss_placed_best,gap_to_placed,loss_any_best,lowest_found_is_placed,gap_to_lowest,placed_min_found,stuck_is_lowest_found,n_starts,evals
f1.30,630016,0.03,preserved,0.050553012567348204,True,0.6675049350352507,0.6675049350352507,3.469446951953614e-18,1.3849158798928674e-11,-3.509637574954872,-3.509637574954872,True,-1.0,2.331060815954927e-16,0.2495170972342167,9.342288932476668e-16,0.05036293208457862,1,0.0503629320845785,duplicate-unit minimum (Morse-Bott),0.6689022216624465,-0.0013972866271958484,0.6671286914211629,False,0.00037624361408772344,True,False,38,"[2.331060815954927e-16, 0.012566412621948056, 0.012744779042881271, 0.020447729341927758, 0.020972187704726544, 0.2495170972342167]"
f1.30,630016,0.03,reset,0.050553012567348204,True,0.6675049350352507,0.6675049350352507,1.2733034071565896e-10,1.2732263160453172e-13,-3.5096375746555886,-3.5096375746555886,True,-1.0,9.93076959227787e-17,0.24951709723430515,3.9799956405201903e-16,0.05036293208466656,1,0.05036293208466654,duplicate-unit minimum (Morse-Bott),0.6689022216624465,-0.0013972866271958484,0.6671286914211629,False,0.00037624361408772344,True,False,38,"[9.93076959227787e-17, 0.012566412621974452, 0.012744779042911752, 0.020447729342243752, 0.020972187705070897, 0.24951709723430515]"
f1.30,630018,0.003,preserved,0.005055301256734821,True,0.6905967772598425,0.6905967772598426,1.6834167740342743e-11,1.683428136473042e-12,-3.673779743405299,-3.673779743405299,True,-1.0,-1.2124660068760536e-18,0.24999531402883154,-4.84995493450018e-18,0.005122268122018364,1,0.005122268122018452,duplicate-unit minimum (Morse-Bott),0.6905771409602396,1.963629960299862e-05,0.6905771409602396,True,1.963629960299862e-05,True,False,46,"[-1.2124660068760536e-18, 0.0012805430277038543, 0.00128216623135771, 0.001992576534869968, 0.001998665265440967, 0.24999531402883154]"
f1.30,630018,0.003,reset,0.005055301256734821,True,0.6905967772598426,0.6905967772598426,4.336808689942018e-19,3.784537388334952e-10,-3.673779734880184,-3.673779734880184,True,-1.0,-2.240473253944314e-15,0.24999531402885503,-8.962060999614231e-15,0.0051222681225225565,1,0.005122268122518853,duplicate-unit minimum (Morse-Bott),0.6905771409602396,1.963629960299862e-05,0.6905771409602396,True,1.963629960299862e-05,True,False,46,"[-2.240473253944314e-15, 0.00128054302783002, 0.0012821662314711573, 0.0019925765357893524, 0.001998665266362036, 0.24999531402885503]"
f1.30,630018,0.01,preserved,0.01685100418911607,True,0.6847840824131021,0.6847840824131021,0.0,5.941427905220564e-17,-3.6216009314624484,-3.6216009314624484,True,-1.0,4.3990250752905376e-18,0.24995013222192097,1.759961091512772e-17,0.016990396966762196,1,0.016990396966762168,duplicate-unit minimum (Morse-Bott),0.6846089936520877,0.00017508876101435256,0.6846089936520877,True,0.00017508876101435256,True,False,46,"[4.3990250752905376e-18, 0.004246751968345136, 0.004264992027146768, 0.006585020365589351, 0.006651981669916673, 0.24995013222192097]"
f1.30,630022,0.003,preserved,0.005055301256734821,True,0.6907295962279528,0.6907295962279528,0.0,7.58743116079097e-11,-3.66641809954732,-3.66641809954732,True,-1.0,-4.475861300808907e-17,0.24999543234626734,-1.7903772316165424e-16,0.005097825895869569,1,0.0050978258958696504,duplicate-unit minimum (Morse-Bott),inf,,0.6904805831772165,False,0.0002490130507363242,False,False,46,"[-4.475861300808907e-17, 0.0012744331888639106, 0.0012764071614472102, 0.001949488497708823, 0.0019550298042867223, 0.24999543234626734]"
f1.30,630022,0.003,reset,0.005055301256734821,True,0.6907295962279527,0.6907295962279527,8.684240566242396e-09,8.684238224365703e-12,-3.666418116456571,-3.666418116456571,True,-1.0,-5.176001867050411e-15,0.24999543234622087,-2.0704385750064908e-14,0.005097825896533317,1,0.005097825896521227,duplicate-unit minimum (Morse-Bott),inf,,0.6904805831772165,False,0.00024901305073621316,False,False,46,"[-5.176001867050411e-15, 0.0012744331890296075, 0.0012764071616036875, 0.0019494884989713465, 0.001955029805521981, 0.24999543234622087]"
f1.30,630022,0.01,reset,0.01685100418911607,True,0.6852220457250456,0.6852220457250456,1.734723475976807e-18,6.982952796726061e-10,-3.6135579448278916,-3.6135579448278916,True,-1.0,-2.135732027634877e-15,0.2499513672536772,-8.54459029810911e-15,0.016854756019522958,1,0.016854756019518243,duplicate-unit minimum (Morse-Bott),inf,,0.6844018841170876,False,0.0008201616079580587,False,False,46,"[-2.135732027634877e-15, 0.0042128693118069094, 0.0042354271259935055, 0.006456646922721671, 0.006517262950419009, 0.2499513672536772]"
f1.30,630024,0.003,preserved,0.005055301256734821,True,0.6904529653673339,0.6904529653673339,4.336808689942018e-19,1.3338423247855058e-12,-3.781565800053313,-3.781565800053313,True,1.0,2.60654711611529e-16,0.2499942804629831,1.0426427001801922e-15,0.005240990316020299,1,0.005240990316020346,duplicate-unit minimum (Morse-Bott),inf,,0.6904529653673339,False,0.0,False,True,46,"[2.60654711611529e-16, 0.0013102176029669572, 0.0013118801750859265, 0.0020380424270746047, 0.002043569051331933, 0.2499942804629831]"
f1.30,630024,0.003,reset,0.005055301256734821,True,0.6904529653673339,0.6904529653673339,0.0,2.8099484544741316e-14,-3.7815658000514847,-3.7815658000514847,True,1.0,-9.252480832744554e-17,0.24999428046298297,-3.701077006885597e-16,0.005240990316027225,1,0.005240990316027078,duplicate-unit minimum (Morse-Bott),inf,,0.6904529653673339,False,0.0,False,True,46,"[-9.252480832744554e-17, 0.0013102176029686878, 0.0013118801750851158, 0.0020380424270806424, 0.0020435690513361457, 0.24999428046298297]"
