act,seed,R2,loss_placed_best,recorded,grad_at_best_placed,loss_after_polish,grad_after_polish,still_placed,G_lo_after,loss_stuck_min
f1.50,630063,0.03,0.6699406478723329,0.6699406478723329,9.567424364689478e-11,0.6699406478723329,9.567424364689478e-11,True,0.2385505186346939,0.665714650539631
f1.50,630067,0.03,0.6689985373648324,0.6689985373648324,1.9570330217488774e-09,0.6689985373648324,1.9570330217488774e-09,True,0.6882008171770044,0.666538235987475
f1.50,630073,0.03,0.6679598870675807,0.6679598870675807,9.00612917575927e-13,0.6679598870675807,9.00612917575927e-13,True,0.5028352131480918,0.66927747199051
f1.50,630076,0.01,0.6857113693107867,0.6857113693107867,2.8944105931596542e-11,0.6857113693107867,2.8944105931596542e-11,True,0.34666016909042696,0.6858352618031697
f1.50,630079,0.03,0.6672409628380146,0.6672409628380146,2.938833898458171e-11,0.6672409628380146,2.938833898458171e-11,True,0.16474204022547823,0.6678150771375616
tanh,630029,0.1,0.6425548714166474,0.6425548714166474,1.0972903835559933e-09,0.6425548714166474,1.0972903835559933e-09,True,0.1373687953220314,0.642601530099869
tanh,630036,0.1,0.6435804382685817,0.6435804382685817,1.0962984388890662e-14,0.6435804382685817,1.0962984388890662e-14,True,0.4269407138230428,0.6440319154272024
tanh,630040,0.1,0.6435804382685837,0.6435804382685837,8.99746220716167e-15,0.6435804382685837,8.99746220716167e-15,True,0.06713397408842092,0.6440319154267633
tanh,630046,0.01,0.6881596805079511,0.6881596805079511,9.365704862476398e-15,0.6881596805079511,9.365704862476398e-15,True,0.9999999977840306,0.6881846810638276
tanh,630046,0.03,0.6782596763415043,0.6782596763415043,1.1499673948125643e-14,0.6782596763415043,1.1499673948125643e-14,True,0.9999999993289006,0.6784845919919772
tanh,630046,0.1,0.6443966600736245,0.6443966600736245,1.1027022238681395e-14,0.6443966600736245,1.1027022238681395e-14,True,0.9999999998198443,0.6468862753116877
tanh,630079,0.1,0.6443966600736255,0.6443966600736255,1.1178247093537197e-14,0.6443966600736255,1.1178247093537197e-14,True,0.9999999970656106,0.6468864486694398
