set,s,loss,gplus,all_correct,V1,V2,rho2,S1,S2,feature,ladder_ok,audit_ok,cma_ok,cma_loss,hits_within_tol,n_excluded,n_stalled_tail,grid
A,6.419592,0.03106510712850178,0.2664359933708201,True,0.5978350428348642,0.2603376867755569,0.3033628054036868,0.13435327631775762,0.03767627953724623,linear,False,True,,,1,8,0,True
A,7.703511,0.016693178673583223,0.40739733161906666,True,0.4550581618382874,0.23653076702401832,0.3420106325489071,0.0,0.0,linear,False,True,,,1,12,1,True
A,9.244213,0.007837403112015681,0.39970076464179227,True,0.5710095078253645,0.2688265285225535,0.32009406227858866,5.50696227434339e-08,1.6558910154881914e-08,linear,True,True,,,1,6,3,True
A,11.093056,0.0031712546653866317,0.4129065362031627,True,0.2048602176965106,0.3648748664793667,0.6404289934279873,0.008137768633495667,0.00268789282921079,slab,False,True,,,1,5,0,True
A,13.311667,0.0010283984426987646,0.4478192704254323,True,0.13822649789147687,0.40974366404400997,0.7477481302937249,0.0018535155697348585,5.861481631393421e-05,slab,False,True,,,1,4,3,True
A,15.974,0.00027452297738471307,0.40947701144675197,True,0.42439463415539824,0.2997075786513939,0.41390231013057693,0.8014466524553425,0.5499603958203583,linear,True,True,,,1,6,0,True
A,19.1688,5.534479869685542e-05,0.43331538269355263,True,0.3699929662591547,0.28592077244341446,0.43591215669453787,0.008412927316699518,0.0034844424252372776,linear,True,True,,,1,6,0,True
A,23.00256,8.194801872117377e-06,0.44093110142894715,True,0.31472999066540713,0.270825678262031,0.4625105564396673,0.0836535927519756,0.039656724951880266,linear,True,True,,,4,4,0,True
A,27.603072,9.000097953887866e-07,0.4635951283671852,True,0.03167252584489772,0.4830883385310517,0.9384713795535045,0.05308843013245437,0.008589733397893125,slab,True,True,,,73,2,0,True
A,33.123686,5.96388449247011e-08,0.4394587171068347,True,0.09907017002734018,0.416412652721852,0.8078109188993428,0.05065236656563079,0.014852466654342398,slab,True,True,,,582,3,1,True
B,0.5,0.517891096711955,-3.111916049999559e-06,False,0.9596482789178478,0.00035230369187449454,0.0003669827896528681,8.197452707842442e-06,2.2434743001445124e-08,linear,False,True,,,1,74,2,True
