setting,label,chi,obs,pred,branch_conditioned_post_hoc,reference,ratio,resolved
"width 1, free training (registered reference)",lag2-tstar a=1.50 1.0,0.0156705637722791,0.06559416360338086,0.0634038821086416,False,global own threshold (committed comparison),1.0345449114769698,True
"width 1, free training",lag2-tstar a=1.50 2.0,0.0161809599584778,0.06753408228328645,0.0654689705182679,True,tracked-branch switch (post hoc),1.0315433670129623,True
"width 1, free training (registered reference)",lag2-tstar a=1.50 2.0,0.0161809599584778,0.0673685262942616,0.0654689705182679,False,global own threshold (committed comparison),1.029014596700641,True
forced ramp (adam),a=1.30 k=-1 cell 0,6.6561177994651e-05,0.00017716114617780001,0.0005028906305430999,True,tracked-branch switch (post hoc),0.3522856371105457,False
forced ramp (adam),a=1.30 k=-1 cell 1,0.00010584076308324999,0.0002817144769139,0.0008023160336121499,True,tracked-branch switch (post hoc),0.3511265699696642,False
forced ramp (adam),a=1.30 k=-1 cell 2,0.0001677846969834,0.00070481037051045,0.00127404256990875,True,tracked-branch switch (post hoc),0.5532078653862643,False
forced ramp (adam),a=1.30 k=-1 cell 3,0.0002778301501871,0.0012667774794429,0.0021121852368153,True,tracked-branch switch (post hoc),0.5997473409827044,False
forced ramp (adam),a=1.30 k=-1 cell 4,0.00041600198102415,0.0029857649872695,0.00316403710940665,True,tracked-branch switch (post hoc),0.9436567537064755,False
forced ramp (adam),a=1.30 k=-1 cell 5,0.00065019353896225,0.0036452182501716997,0.00494710694447585,True,tracked-branch switch (post hoc),0.7368383766682274,False
forced ramp (sgd),a=1.30 k=-1 cell 0,0.0001312396513991,0.0010352087308549,0.001,True,tracked-branch switch (post hoc),1.0352087308548998,False
forced ramp (sgd),a=1.30 k=-1 cell 1,0.0003296590996256,0.0026098367634602,0.0025118864315095,True,tracked-branch switch (post hoc),1.0389947295076702,False
forced ramp (sgd),a=1.30 k=-1 cell 2,0.0008280662193732,0.006584534963165601,0.0063095734448019,True,tracked-branch switch (post hoc),1.0435784638643404,True
forced ramp (sgd),a=1.30 k=-1 cell 3,0.0020800083008351,0.0168233045073421,0.0158489319246111,True,tracked-branch switch (post hoc),1.061478753733426,True
forced ramp (sgd),a=1.30 k=-1 cell 4,0.0052247446282931,0.0442496309847155,0.0398107170553354,True,tracked-branch switch (post hoc),1.1115004766985277,True
forced ramp (sgd),a=1.30 k=-1 cell 5,0.013123965139915,0.1261848005023526,0.0999999999999861,True,tracked-branch switch (post hoc),1.2618480050237013,True
forced ramp (adam),a=1.30 k=0 cell 0,7.111469280152998e-05,-0.0009280777636612,-0.00050034148594025,True,tracked-branch switch (post hoc),1.8548886905053272,False
forced ramp (adam),a=1.30 k=0 cell 1,0.0001173000263711,-0.0012596876833633002,-0.0008327524470221001,True,tracked-branch switch (post hoc),1.5126796539210527,False
forced ramp (adam),a=1.30 k=0 cell 2,0.00018070286182019998,-0.0019288061706737999,-0.00130072711732065,True,tracked-branch switch (post hoc),1.482867655321065,False
forced ramp (adam),a=1.30 k=0 cell 3,0.00029177281611885,-0.00340896330534075,-0.00212055764638425,True,tracked-branch switch (post hoc),1.607578700420313,False
forced ramp (adam),a=1.30 k=0 cell 4,0.0004335610752377,-0.004679061497976851,-0.0031874793050674,True,tracked-branch switch (post hoc),1.4679503928192283,False
forced ramp (adam),a=1.30 k=0 cell 5,0.0006960375728973,-0.0072171113687901495,-0.00515668627053675,True,tracked-branch switch (post hoc),1.3995637877033256,True
forced ramp (sgd),a=1.30 k=0 cell 0,0.0001344337503024,-0.0010398924068372,-0.001,True,tracked-branch switch (post hoc),1.0398924068372,False
