a,s,d,start,L_final_minus_L1star,wnoise_norm_final,grad_max,G_rd_final,w1,b1,G1_branch,L1star,branch_grad,noise_block_rel_err,noise_block_min_eig,cross_max_abs
1.5,2.525,4,random,0.0,1.98929153427081e-15,8.514876520884784e-12,-0.0002544366223511396,1.0221080152098228,3.9919472899825905,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.5375,2,branch+noise,0.0,6.239554551332639e-17,1.1293049828609014e-15,0.0013640343856322623,1.0213213385976685,-2.292063621362182,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,branch+noise,0.0,4.8403552187059184e-17,1.1258355359089478e-15,0.0013640343856327064,1.0213213385976685,-2.292063621362182,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,branch+noise,0.0,6.3300897033135845e-18,1.9147010366094008e-16,0.0013640343856313741,1.0213213385976678,-2.292063621362181,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,branch+noise,0.0,2.8800441627674765e-18,1.9147010366094008e-16,0.0013640343856313741,1.0213213385976678,-2.292063621362181,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,branch+noise,0.0,1.7869727029566036e-17,1.9147010366094008e-16,0.0013640343856313741,1.0213213385976678,-2.292063621362181,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,branch+noise,0.0,1.8254097266330232e-17,1.9147010366094008e-16,0.0013640343856313741,1.0213213385976678,-2.292063621362181,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.37579511507331737,0.7787465498684005,6.039737666160144e-13,-0.5690634727227066,0.12551746597947255,3.2478326071618704,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.0,6.555364288551966e-17,4.55881860039753e-13,0.0013640343862073578,1.0213213385973663,3.991121685817118,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.34557351432342626,8.226843856932748e-11,7.713337760156884e-14,-6.87894186057747e-12,5.06155825585481e-18,2.3193793421549835,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.34557351432342615,7.247086685945392e-05,8.13278746431001e-10,-2.4249527719177877e-08,-3.0015952122847156e-18,2.300460655264846,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.0,8.600810515302752e-17,3.1682946197153505e-13,0.0013640343860372717,1.021321338597457,3.9911216858172023,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,-5.551115123125783e-17,1.019122912550987e-17,2.734891306477305e-13,0.0013640343854031123,1.0213213385979538,3.991121685817472,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.0,3.262603627155249e-17,1.4233406120389702e-15,0.0013640343856327064,1.021321338597667,-2.292063621362182,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,2,random,0.34557351432342615,8.910259227103765e-06,1.8896748229802815e-15,-3.20073301196544e-10,1.4229196753047156e-17,-3.982667431879582,0.0013640343856313741,0.34757366623651903,1.9038590148845458e-16,4.149616117960175e-15,1.551780540603668,3.3393426912553537e-17
1.5,2.5375,4,branch+noise,5.551115123125783e-17,6.975279737647869e-17,1.1223660889569942e-15,0.0013640343856322623,1.0213213385976685,-2.292063621362182,0.0013640343856313741,0.347573666236519,1.9038590148845458e-16,4.2927063289243193e-16,1.551780540603661,1.1481252575131697e-17
1.5,2.5375,4,branch+noise,5.551115123125783e-17,1.1556936602803652e-16,1.846179459308317e-15,0.0013640343856318182,1.0213213385976692,-2.2920636213621823,0.0013640343856313741,0.347573666236519,1.9038590148845458e-16,4.2927063289243193e-16,1.551780540603661,1.1481252575131697e-17
