arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel
primary,4,1.5,880005,False,True,1161.0,3.240555800542341,2.559375,948.0,2.7425604876594263,341.0,4.475949171868774,64000,0.01141360697162876,0.011507062007760879,0.011472078397136869,0.01771941940630883,1.1848148715465356e-05,0.05332868085730702,0.9458919782686845,0.012165793749344974,120.7092359139187,0.012861715744341824,0.14221842348117297,0.17350421110482595,0.2802195755229002,0.26615122853913187,True,6.52232590853119e-11,0.011457214328327865,0.11750222065730576,0.0007456403430296341,0.06261781852427512,0.0626155909370097,0.011907798141204342,0.0,False,4.046049844154416,0.04817954481344207,1.1848148715465356e-05,0.04443363503792062
primary,4,1.5,880006,False,True,2583.0,3.8570082931722123,2.596875,2222.0,2.783928434602013,1837.0,1.7277715415759483,64000,0.03808345723202999,0.020380128402608753,0.019622216529320013,0.031614343637846334,0.00021673154269619133,0.09332562496495456,0.949112135146365,0.0029094610803367445,123.36703014690993,0.0030654555690493505,0.16629884263088313,0.1737747999853152,0.523756362734701,0.4852498842540409,True,6.447912620499707e-10,0.01967096171640409,0.10445309999259855,0.0007559688193244239,0.0833417827750628,0.08326027840749213,0.009070706123059104,0.0,True,4.046049844154416,0.036700529095573795,0.00021673154269619133,0.08208863429633056
primary,4,1.5,880007,False,True,10338.0,4.069644149599702,2.8843750000000004,10107.0,3.0658091792531623,2558.0,19.467350557847414,64000,5.157275955754083,0.017957801540992368,0.017453573415045408,0.02603351761289207,0.00014143961519019754,0.07747415409890923,0.952663342051354,0.023720162699872472,110.633272382728,0.024898788116268066,0.09686998390797097,0.1746716550693903,0.6077606516937093,0.4109275491569928,True,7.657653864311109e-10,0.017141074411280613,0.11400316853589132,0.0010344955168003723,0.10486650864127245,0.1048530820772878,0.009864879933584673,0.0,False,4.046049844154416,0.03991379591788229,0.00014143961519019754,0.06696404392226703
primary,4,1.5,880008,False,False,,,2.534375,,,,15.18052908107552,64000,,,,,,,1.5361513782480039,2.2202221080167917,0.10992947812763754,1.4453146606872673,-15.622767744132005,-6.508233575498481,,,,,,,,,,,,,,,,
primary,4,1.5,880009,False,False,,,2.4156250000000004,,,,0.9436050706286845,64000,,,,,,,0.6497760044812118,2.6061383744524678,0.07874477647752345,4.0108258176342435,-19.40348655790269,-4.0163124639078935,,,,,,,,,,,,,,,,
primary,4,1.5,880010,False,True,1751.0,3.225364718826838,2.4906249999999996,1413.0,2.600885539085777,644.0,2.462857252363151,64000,0.022309639390436772,0.014986510136204362,0.014958319196296798,0.02200319274484313,0.00011357487759955376,0.06593216831101056,0.9551598351718463,0.014433549646972714,119.06959432344851,0.01511113545135189,0.13937797722492506,0.17244627819984704,0.2742181605241829,0.29500214557664783,True,6.102410243791212e-14,0.013822468631406001,0.10039534159569818,0.0005960298628034939,0.05913735673676761,0.05903621496715455,0.010078736955669899,0.0,False,4.046049844154416,0.040779072088761546,0.00011357487759955376,0.055111651712360446
primary,4,1.5,880011,False,True,3481.0,4.131759927489742,2.721875,3043.0,2.883895446684134,2610.0,5.370130436062661,64000,0.0301371310674653,0.01972481646157625,0.019029443809045705,0.03258973325039347,0.0001672886971726406,0.09604795539452571,0.949249814425156,0.004826406377858492,113.29179450941834,0.005084442793155828,0.16047337762498692,0.17365707261693952,0.6323002182675523,0.5179829813969201,True,1.3685859980017145e-09,0.01931958275576229,0.09887745345635501,0.0006716192236568458,0.08424329716706053,0.08420118055856048,0.007972375800118276,0.0,True,4.046049844154416,0.032256629863608985,0.0001672886971726406,0.0844515627133267
primary,4,1.5,880012,False,False,,,2.471875,,,,2.2618356102798582,64000,,,,,,,0.5735174599802338,2.485785811118694,0.08331442961875872,4.334280967146782,-18.223958937933666,-2.5429910541439495,,,,,,,,,,,,,,,,
primary,4,1.5,880013,False,True,1554.0,4.355333846219786,2.815625,966.0,2.9632512540797,322.0,1.729858122969464,64000,0.024398892498954716,0.02440890573681163,0.02350265065547401,0.03528659216549357,1.2492935057561994e-05,0.10343973000042928,0.9371191684756491,0.015598995081820218,122.95795894851277,0.016645689904299033,0.12395403329138555,0.17150550923622987,0.7206257170251005,0.5468444292900461,True,1.3515412747300282e-12,0.023623731322677467,0.1109043508578047,0.0005441059246441764,0.06526160260363172,0.06517331657629478,0.008337305596811955,0.0,False,4.046049844154416,0.03373315401064875,1.2492935057561994e-05,0.09161808114399225
primary,4,1.5,880014,False,False,,,2.8843750000000004,,,,7.378519732730723,64000,,,,,,,0.06646800764882245,0.8139818728434833,0.7404083462363934,12.246220424479715,-4.323780574775154,-0.048493009908539886,,,,,,,,,,,,,,,,
primary,4,1.5,880015,False,True,2850.0,3.3979259824733163,2.578125,2743.0,2.7119070275828445,2600.0,1.461254509010266,64000,0.010402057094403295,0.014585469371074434,0.01445515571874939,0.022136293609237676,9.559069970510592e-05,0.06628816227430878,0.918596131234939,0.021182027270872945,122.52192711899032,0.023059129633385595,0.10376953408834533,0.16646127815865963,0.3423905115943966,0.3179834113835893,True,5.452597869742837e-10,0.015215931734371406,0.08368172180051303,0.0020711611484791133,0.20841415207572525,0.20776795722184915,0.009937718373973841,0.0,True,4.046049844154416,0.04020850387826733,9.559069970510592e-05,0.05583963236173637
primary,4,1.5,880016,False,False,,,2.809375,,,,21.91554942251668,64000,,,,,,,0.27341732123976026,3.1814424667351506,0.05301367434698514,11.635848278775786,-20.22491266431486,-0.19255689581251367,,,,,,,,,,,,,,,,
