arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note,r_branch,branch_over_own_x1,G1switch_over_own_x1
secondary,4,1.3,880045,False,True,2882.0,9.705806099247887,,1706.0,6.083840338889696,629.0,3.411883771785659,64000,0.0339547206534458,0.0240845786873728,0.0187782500442567,0.0306365702593474,1.6081291689395982e-05,0.0554941364092327,0.7662726799255559,0.0037622294528554,139.10062936339293,0.0049097789225905,0.0789534203544364,0.0853149312268679,0.9582963125846932,,True,2.6885443957930244e-11,0.0187512959526816,0.035901434301877,0.0003100294448173,0.2584157510102367,0.2576617287192569,0.0011997312222856,-1.0,True,7.610543288947747,0.0091306064023074,1.6081291689395982e-05,0.098234511387305,9.627837979756157,,True,5.995005078744256,,0.00809819604937978,,
secondary,4,1.3,880046,False,True,4493.0,9.767004685506077,,2520.0,5.033263487690006,1314.0,0.6183922976859021,64000,0.0498689870723628,0.0387090976018342,0.0296697843930532,0.0437444496018137,1.549396098399214e-05,0.0771437620572643,0.7577734625463517,0.0290198219609992,140.44640342897583,0.03829617081533,0.0263056713662628,0.0841023505055202,0.9706440727376692,,True,1.450662506785605e-15,0.0295370690338799,0.0455416206972429,0.0002564200899783,0.170341661104424,0.1701679484905275,0.0015053281053843,-1.0,False,7.610543288947747,0.0114563647100969,1.549396098399214e-05,0.1426795141770213,9.59666413567675,,True,4.907368833476482,,0.017749975139388807,,
secondary,4,1.3,880049,False,True,3151.0,7.0178133445023905,,2190.0,4.822448980330863,1093.0,13.9696909209532,64000,0.0337483633793322,0.0252345409844514,0.0200096966752864,0.0290372555044576,0.00010020592401,0.0529665268401506,0.765049720547827,0.010559104249604,139.2823748857481,0.0138018536129167,0.0677692978386121,0.0847456790932388,0.4159522510975817,,True,2.146493052745946e-12,0.020129525062826,0.0589593415806852,0.0003371470922378,0.12478899667998,0.1246200287188014,0.0027017373422954,-1.0,True,7.610543288947747,0.0205616889989064,0.00010020592401,0.0915483410361012,6.918895222261625,,True,4.650902226264711,,0.014296808820358331,,
secondary,4,1.3,880050,False,True,3852.0,6.344820476101789,,3243.0,4.894489247967316,2202.0,1.9186128000139973,64000,0.0259162547541929,0.015393993993589,0.0124599207334791,0.0205934883722147,1.8179069470658504e-05,0.038174025984178,0.763306632918002,0.0181936754923554,136.2349503172254,0.0238353431081869,0.0595327653661881,0.084164118302088,0.2801655437279773,,True,1.4690218390692176e-09,0.0123746356338648,0.0530675463019676,0.0003862732336943,0.1428687939602159,0.1428224287768766,0.0027036921288909,-1.0,True,7.610543288947747,0.020576565986912,1.8179069470658504e-05,0.0636071535064255,6.188249528064581,,True,4.75718754276856,,0.025301330744200934,,
secondary,4,1.3,880054,False,True,3942.0,7.6164533705267345,,2970.0,5.37967219105216,1585.0,18.94530876626189,64000,0.0301062473058602,0.0210671813813041,0.016759750018778,0.0257532311347683,8.6904358991724e-05,0.0472706490087846,0.7564081275870562,0.0162417395416243,138.50926181679503,0.0214721906722969,0.0589569173494912,0.0842891905759954,0.5367371239398202,,True,2.496776223270825e-12,0.0167985386647173,0.0524636516965202,0.0003139641832778,0.141548020952226,0.1415359662583875,0.0022180754006006,-1.0,True,7.610543288947747,0.016880758854421,8.6904358991724e-05,0.0809302034432093,7.480752126288301,,True,5.225941069102902,,0.018140053559796643,,
secondary,4,1.3,880055,False,True,3574.0,8.56230689519185,,2582.0,6.1430438754862555,1026.0,4.996679125370727,64000,0.0261690004635582,0.0226933622483734,0.0177783458796679,0.0233117662626693,1.5264499846345814e-06,0.0427986662693511,0.7647811275926143,0.0098134559838574,135.0885629024522,0.0128317182914128,0.0643971864601073,0.0851799764996834,0.7275776837713694,,True,3.240897290986144e-09,0.0175525779110881,0.0515880559079491,0.0002906512153554,0.1502953873273187,0.1494006802710314,0.0019338665046486,-1.0,False,7.610543288947747,0.0147177747486743,1.5264499846345814e-06,0.0743913916441991,8.491157281407311,,True,6.009637771266034,,0.008379259908461778,,
secondary,4,1.3,880056,False,True,3749.0,7.026198382732302,,3041.0,5.486279572793462,1469.0,3.06243773488087,64000,0.0224998322071076,0.017770000504734,0.0144266462617344,0.0186479486816583,0.0028778332288004,0.0373745836571179,0.7676531314509347,0.0122573045481762,133.5411512199838,0.0159672435973899,0.0671016205808054,0.0848352104070508,0.4176440620897454,,True,2.105730638468639e-09,0.0173168698458336,0.0575194700071293,0.0003221242136273,0.1235864263915327,0.1232381996194227,0.0026064691975707,-1.0,False,7.610543288947747,0.0198366466594208,0.0028778332288004,0.0574239590188516,7.30787817378917,,False,5.334239826762076,,-0.03854467526116623,,
secondary,4,1.3,880057,False,True,5071.0,8.671833736323386,,3936.0,5.757571513278352,2851.0,1.2792952974239569,64000,0.0340009891437872,0.0229018323690939,0.0183210444520438,0.0296206074037126,0.0003757053287758,0.0542795997678728,0.7698214814438804,0.009038194622363,140.53256389831373,0.0117406370700528,0.0659378396459509,0.0852468689782526,0.7496764159038354,,True,3.572763224808303e-09,0.0193270397290223,0.056096301939295,0.0002926555767554,0.1414858342316217,0.1411702594003433,0.0020684443664967,-1.0,True,7.610543288947747,0.0157419853920039,0.0003757053287758,0.0925665274169037,8.63724220227569,,True,5.584279726613577,,0.004004928105244332,,
secondary,4,1.3,880060,False,True,5345.0,9.332581118591358,,3789.0,5.932525325690471,1812.0,8.953804666780524,64000,0.0295816028832843,0.0260756875604118,0.020517362993311,0.0322189357751513,9.10165638412508e-07,0.0582726005980127,0.7577234358795685,0.0132595639121085,130.70154483255072,0.0174992131485504,0.0675732970663705,0.0841910190782257,0.8829924072819888,,True,1.459552964599986e-15,0.0204031885524805,0.0519093034242921,0.0002492476659419,0.1398576443027409,0.1394837364258726,0.0017821526108532,-1.0,True,7.610543288947747,0.0135631495924101,9.10165638412508e-07,0.102368284739579,9.218370552747867,,True,5.787972473818387,,0.012389452690144465,,
secondary,4,1.3,880064,False,True,5706.0,10.528587469879875,,3787.0,6.116264896013092,1823.0,2.07983489232905,64000,0.0519223477780229,0.0362812301843435,0.0282149438102015,0.036687631027293,6.132355018895197e-06,0.0657022907697078,0.7654312332519385,0.0168085985427371,138.04595658520486,0.0219596455077038,0.0575362561054801,0.0846233484072152,1.1243051641623958,,True,7.011357857147904e-12,0.0287180206376293,0.0477901020358899,0.0002312875040159,0.1593343154577849,0.1582321442793332,0.0014515862659679,-1.0,False,7.610543288947747,0.0110473601147908,6.132355018895197e-06,0.1179403718800082,10.521271309702591,,True,5.984550278282468,,0.0006953684551920247,,
secondary,4,1.3,880065,False,True,3559.0,8.714481430485106,,2273.0,5.391481826240309,1042.0,1.838472712615686,64000,0.0301086557193435,0.0308126168618389,0.0242723403424287,0.0337332568672139,8.582720645744502e-06,0.0608639115420888,0.7659945314702955,0.0066247598842279,136.37560130638144,0.0086485733410027,0.074842553398787,0.0850006622989214,0.758281247008344,,True,1.4263763781219296e-15,0.024465151782264,0.0418152151165642,0.0003061651432894,0.1977309002201917,0.1972516155644973,0.0015483930076104,-1.0,True,7.610543288947747,0.0117841120127236,8.582720645744502e-06,0.1070570353628548,8.614685751787938,,True,5.279301022387431,,0.011584366693405679,,
secondary,4,1.3,880066,False,True,3705.0,7.51013753504294,,2654.0,5.134255278140748,1336.0,22.012938598145684,64000,0.0170839969154793,0.024585588805467,0.0193933758312415,0.0291644813963432,0.0001145828323618,0.0531586716776177,0.7617246266259553,0.0079784460191436,137.2504241296491,0.0104741867864821,0.069629773549027,0.0843972847583311,0.5152862617993319,,True,7.161805870570248e-15,0.0194493607096281,0.0533434224327074,0.0003147889894146,0.1377912151833804,0.1376779358603146,0.0022845359843562,-1.0,True,7.610543288947747,0.0173865600041023,0.0001145828323618,0.0924318119721196,7.346985595860911,,True,4.993891456851296,,0.022206650204125156,,
secondary,4,1.3,880067,False,True,3332.0,7.969335412423984,,2217.0,5.220491469795813,1034.0,8.541776651816475,64000,0.0260241403669857,0.0244523894860465,0.0193021471525038,0.0311998668035987,2.5584704614889375e-05,0.0565819064343893,0.7663858010158389,0.0088626588934518,139.69391508734682,0.0115642263748942,0.0654954710934623,0.0852919797387392,0.6079365270968944,,True,2.8990985833764887e-09,0.0191802539246996,0.0487825500555025,0.0003184011309059,0.1613421548333425,0.1611011276514597,0.0019734528228833,-1.0,True,7.610543288947747,0.0150190481372499,2.5584704614889375e-05,0.09881171366153,7.788680185944182,,True,5.08378028622712,,0.023194587807806144,,
secondary,4,1.3,880068,False,True,3943.0,7.643578092508405,,2832.0,5.104411024065704,1476.0,1.4436700952518686,64000,0.0291586298168419,0.0223549095812404,0.0176270889909755,0.0292282753062875,1.1139917027946922e-05,0.0531722859635506,0.7606006848901194,0.0039992065791608,134.07811359366016,0.0052579581620263,0.078380164698673,0.0844851336099443,0.5422099556132971,,True,1.825973833941008e-12,0.0175402233280315,0.0451698664994566,0.000316768430901,0.1668479356211472,0.1663314540557808,0.0018985457010408,-1.0,False,7.610543288947747,0.0144489642438166,1.1139917027502833e-05,0.0926692223574431,7.519314221857002,,True,4.985743011914074,,0.016525957951084802,,
secondary,4,1.3,880069,False,True,3141.0,7.597263173081632,,2545.0,5.934323109691312,1243.0,4.320137775434688,64000,0.0176946743566009,0.0146081228337336,0.011624137545123,0.0190201435307299,3.798657362974467e-05,0.0353047236449572,0.7547231727928778,0.0079592909196783,145.3320434885189,0.0105459739499249,0.0710384481395478,0.083892826600056,0.5328652051614893,,True,1.5066275050462652e-12,0.0117636590600102,0.0330117391997824,0.0003767408009565,0.2668661465415875,0.2665831972494898,0.0014117219656327,-1.0,False,7.610543288947747,0.0107439711314063,3.798657362974467e-05,0.0597568189324976,7.525132297050828,,True,5.860025407026065,,0.00958532995613548,,
secondary,4,1.3,880070,False,True,4663.0,6.59199356943167,,4211.0,5.538393995066181,2849.0,3.753303087065873,64000,0.0190785692540948,0.0132337440335736,0.0106306410844263,0.0135341107119596,0.000510815507043,0.0258562294462314,0.7602845377843573,0.0117915913977154,136.29691895456563,0.0155094452296489,0.0634157371561943,0.0843974334127595,0.3300365335549395,,True,7.669325140235993e-10,0.0113419971309992,0.0539963246928216,0.0003627787074254,0.1375409627182819,0.137423807194208,0.0026376048288135,-1.0,True,7.610543288947747,0.0200736057288229,0.000510815507043,0.0421204505593056,6.555225421705686,,True,5.393108158336069,,0.0056089829655954215,,
secondary,4,1.3,880071,False,True,5134.0,9.883648063846495,,3243.0,5.656534653725543,1537.0,575.6253318575563,64000,0.0399215904009982,0.0276028141632701,0.0211228023526974,0.0354604700892318,0.0005194144399491,0.0638887218950432,0.7636696835215417,0.0152649975951249,136.9825082822999,0.0199890056192001,0.0592354977319891,0.0854623054383538,0.994178676185926,,True,4.885780582192245e-12,0.0218016225171817,0.0519056050697592,0.0002392674825539,0.1431162317911003,0.1429870681680732,0.0016718402906467,-1.0,False,7.610543288947747,0.0127236129041741,0.0005194144399491,0.1158474086051216,10.028086293492038,,False,5.504246864451232,,-0.014403369238982222,,
secondary,4,1.3,880072,False,True,4331.0,7.454302065854935,,3631.0,5.963514377607279,1687.0,0.9498125274625884,64000,0.0122175299750085,0.0133936226044989,0.0107241201328508,0.0165857457502117,2.521455221016211e-05,0.030935629874234,0.7603835730266107,0.011745162570904,133.79551564037465,0.0154463654759846,0.0629287958534394,0.0845594576633823,0.5040205933629123,,True,1.7954914898615781e-12,0.0105796348973024,0.0561660579474327,0.0002974824906896,0.1231428030020261,0.1230724710694433,0.0024157521465928,-1.0,False,7.610543288947747,0.0183851862870132,2.521455221016211e-05,0.0517858846321629,7.287185972136267,,True,5.817977826304897,,0.022932870707247366,,
secondary,4,1.3,880073,False,True,3406.0,9.946768438231617,,1942.0,5.425011229170151,973.0,1.2647304551463006,64000,0.0587602524224629,0.0419167023566237,0.0318856697394176,0.0384493870232211,0.0001027247902385,0.0684113781474544,0.7611123751144793,0.0083418988517849,141.84857321609883,0.0109601408734554,0.0689538513846068,0.0845266700664897,1.0069141867806537,,True,1.290686307831024e-13,0.0318740993045889,0.0297758366843332,0.0003102098287338,0.3152244753417333,0.3147974046007256,0.0009840918234459,-1.0,True,7.610543288947747,0.0074894734226351,0.0001027247902385,0.1263633102909716,10.04828105654148,,False,5.356105242294605,,-0.01010248596139518,,
secondary,4,1.3,880074,False,True,3941.0,6.841110344866941,,3438.0,5.767831123213329,1633.0,20.101284434947935,64000,0.0161003975909381,0.0140329367979451,0.0112411956872544,0.0133486481260067,5.040935226929832e-05,0.0250683517083323,0.7509297221425589,0.0197648457000273,134.80073804350016,0.0263204999312507,0.0490143923955721,0.0836793202837919,0.380299691272018,,True,1.7990487571895029e-12,0.0109253353773452,0.0569117189140762,0.0003230985384504,0.1211499085052173,0.1210305956386521,0.0026669317578277,-1.0,True,7.610543288947747,0.0202967995916174,5.040935226929832e-05,0.041659433013574,6.619591666851442,,True,5.619651293412064,,0.033464100078073544,,
