arm,d,a,seed,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note
primary,1,1.5,880009,2.415258351483917,,True,2.415258351483917,
primary,1,1.5,880010,2.489811516308282,,True,2.489811516308282,
primary,1,1.5,880011,2.7203621611691315,,True,2.7203621611691315,
primary,1,1.5,880012,2.4742743849798456,,True,2.4742743849798456,
primary,1,1.5,880013,2.816548240762481,,True,2.816548240762481,
primary,1,1.5,880014,2.8836465158349895,,True,2.8836465158349895,
primary,1,1.5,880015,2.579803890047972,,True,2.579803890047972,
primary,1,1.5,880016,2.806605958464991,,True,2.806605958464991,
primary,1,1.5,880017,2.673707271100336,,True,2.673707271100336,
primary,1,1.5,880018,2.4729022404742897,,True,2.4729022404742897,
primary,1,1.5,880019,2.4202123245195537,,True,2.4202123245195537,
primary,1,1.5,880020,2.595777107248109,,True,2.595777107248109,
primary,1,1.5,880021,2.416426659144298,,True,2.416426659144298,
primary,1,1.5,880022,2.4572402467828036,,True,2.4572402467828036,
primary,1,1.5,880023,2.5141031065841526,,True,2.5141031065841526,
primary,1,1.5,880024,2.6202473842369263,,True,2.6202473842369263,
primary,1,1.5,880025,2.8251758712580965,,True,2.8251758712580965,
primary,1,1.5,880026,2.411269164069231,,True,2.411269164069231,
primary,1,1.5,880027,2.8745206557013177,,True,2.8745206557013177,
primary,1,1.5,880028,2.604565836154977,,True,2.604565836154977,
primary,1,1.5,880029,2.617793685481134,,True,2.617793685481134,
primary,1,1.5,880030,2.5511345673796,,True,2.5511345673796,
primary,1,1.5,880031,2.5173450434839726,,True,2.5173450434839726,
primary,1,1.5,880032,2.471663728799225,,True,2.471663728799225,
primary,1,1.5,880033,2.2125889298939043,,True,2.2125889298939043,
primary,1,1.5,880034,2.6770589954955115,,True,2.6770589954955115,
primary,1,1.5,880035,2.5732869331426618,,True,2.5732869331426618,
primary,1,1.5,880036,2.7718918399664414,,True,2.7718918399664414,
primary,1,1.5,880037,2.7215976697059325,,True,2.7215976697059325,
primary,1,1.5,880038,2.8762425014314337,,True,2.8762425014314337,
primary,1,1.5,880039,2.5813771527894613,,True,2.5813771527894613,
secondary,2,1.3,880040,5.347725959630196,,True,4.982244460035544,
secondary,2,1.3,880041,5.376186994509947,,True,4.948163575164768,
secondary,2,1.3,880042,6.164600837412459,,True,5.8705743174744,
