a,seed,reproduced,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2
1.5,300034,True,0.01084699513712458,0.00980680315469174,0.025494827017229438
1.5,300035,True,0.018527428179724446,0.004464268247256703,0.02523403541404537
1.5,300036,True,0.003884633825534387,0.017175655595717945,0.02229144572595975
1.5,300037,True,0.016292555540916003,0.010716241548290012,0.010412943590288793
1.5,300038,True,0.012460990080276952,0.013697377561297854,0.021837362847229324
1.5,300039,True,0.016440239069974355,0.0038772091718774484,0.025769372336343993
1.5,300040,True,0.00851519083997127,0.012175250913444095,0.028817841015012644
1.5,300041,True,0.06641321139986082,0.013181274185527843,0.012896641692924385
1.5,300042,True,0.013840979720409041,0.012186618887641273,0.01040512777154429
1.5,300043,True,0.015825256573827287,0.008681544645282443,0.02695264428605035
1.5,300044,True,0.021519101872069037,0.005090504055829128,0.011799126774629461
1.5,300045,True,0.03820701593084539,0.001387095616476577,0.014161897016069257
1.5,300046,True,0.0082433738357265,0.013215052477566203,0.021668318477105167
1.5,300047,True,0.027591951426747256,0.003370872349203429,0.024758152005451017
1.5,300048,True,0.007004970844839462,0.0029910300946252907,0.03675194847323542
1.5,300049,True,0.00730956771870957,0.003433727143945559,0.03570274019567067
1.45,830000,True,0.005886643284719788,0.008985978247714382,0.021960422404442074
1.45,830002,True,0.020568926719037834,0.006299473060688959,0.011726949470287565
1.45,830001,True,0.016001709331479284,0.005194203210539573,0.012215569359942415
1.45,830003,True,0.01778295803256314,0.0072107468810571895,0.01148136974139296
1.45,830004,True,0.025569833901631638,0.0020961462276421912,0.012474939597380741
1.45,830005,True,0.007333768982311599,0.01242818030564178,0.021677756596843182
1.45,830006,True,0.006238358212021585,0.014334675944313792,0.019624357535761576
1.45,830007,True,0.004247298056489832,0.015645731054653493,0.023251620833324053
1.45,830009,True,0.01028579222529899,0.008825250512057294,0.018571060124740628
1.45,830008,True,0.015153282047461625,0.007449017007111209,0.01156899613407998
1.45,830010,True,0.014433566360895121,0.012612881022058453,0.012671178856840304
1.45,830012,True,0.0065619917978895275,0.008977544129876776,0.029421012241926735
1.45,830011,True,0.016405479779207015,0.004304440360700582,0.013730232525965048
1.45,830013,True,0.023659121451837233,0.018457082085878717,0.016656969254690495
1.45,830015,True,0.00441553030752433,0.010277876662152545,0.02467017791895485
1.45,830014,True,0.002682542088555813,0.013474834604179248,0.025691162923076254
1.45,830016,True,0.008407397041331983,0.009409282053146565,0.022171339846700285
1.45,830018,True,0.013576205490596294,0.018879209694016588,0.02148766051873948
1.45,830017,True,0.02928376168935754,0.01934887866506633,0.01390851430420684
1.45,830019,True,0.00376636343896658,0.01249000028572086,0.0160138406312267
1.45,830021,True,0.004069739360474958,0.016121098510198002,0.02228462039068636
1.45,830020,True,0.012492621276224126,0.007906167561162058,0.012234462345441382
1.45,830022,True,0.005588238695965202,0.00757136320243048,0.0220761995551111
1.45,830024,True,0.025649001340119736,0.004689627319402681,0.017681852913190823
