set,a,seed,arm,w1,b1,w2,reproduced
lag1,1.3,300024,1.0,-0.8391358271528357,2.453196858573704,-5.056955826494805,True
lag1,1.3,300025,1.0,-0.8308798742907141,-2.4506867152200993,5.284010355580651,True
lag1,1.3,300026,1.0,0.8312192007973197,2.450774209295963,-5.248854803070845,True
lag1,1.3,300027,1.0,-0.8383729984680447,2.452923663331298,-5.052314632940268,True
lag1,1.3,300029,1.0,0.8371321169671716,2.4525654450485765,-5.103563362204764,True
lag1,1.3,300030,1.0,0.8321398040663653,2.4510405764451546,-5.383131000131621,True
lag1,1.3,300031,1.0,-0.8349071877189496,2.4518531545309292,-5.12472558473297,True
lag1,1.3,300032,1.0,-0.8347961802495274,2.451881895720255,-5.046014095158025,True
lag1,1.3,300033,1.0,0.83737389829277,2.452617918231734,-5.014701080004343,True
lag1,1.3,300034,1.0,0.8267028278751469,-2.4494268470598155,5.2354904978698915,True
lag1,1.3,300035,1.0,-0.8317838329420317,2.45095371071373,-5.325295161806474,True
lag1,1.3,300036,1.0,-0.8342138249547736,2.451647317891534,-5.24636113385709,True
lag1,1.3,300037,1.0,-0.841004137200637,2.453791844449091,-4.983785263257779,True
lag1,1.3,300038,1.0,0.8353436255742899,-2.4520222963226903,5.11979249787235,True
lag1,1.3,300039,1.0,-0.8324598533939257,2.45115695837426,-5.2189642407360655,True
lag1,1.3,300040,1.0,-0.829156544662165,2.4501164193421,-5.169185053325983,True
lag1,1.3,300041,1.0,-0.8356453686056375,2.452083597603135,-5.036621342194467,True
lag1,1.3,300042,1.0,-0.8344050509059806,-2.451776782393061,5.24856180690888,True
lag1,1.3,300043,1.0,0.8346301118243566,2.4518163827136576,-5.11531598456621,True
lag1,1.3,300044,1.0,-0.8328538738547606,-2.4512958937795126,5.302982191145156,True
lag1,1.3,300045,1.0,0.8338469293601267,-2.451588522042903,5.147206566991724,True
lag1,1.3,300046,1.0,0.8348131578272059,2.4518658586655477,-5.2569722732443696,True
lag1,1.3,300047,1.0,0.8288918742946353,-2.450034147335199,5.417427972947913,True
lag1,1.3,300048,1.0,0.8362135386305577,-2.4522828672260775,5.170609793365686,True
lag1,1.3,300049,1.0,-0.8396778811088739,2.453350600261767,-4.968693424102421,True
lag1,1.5,300000,1.0,1.0206420026822975,2.291091710642395,-2.616956837497973,True
lag1,1.5,300001,1.0,-1.0177513140580257,2.2901884202422296,-2.767804670393659,True
lag1,1.5,300002,1.0,1.0169050246022673,2.289925350724584,-2.7224650967700215,True
lag1,1.5,300003,1.0,-1.018985830128755,2.290565140642699,-2.738472458140664,True
lag1,1.5,300004,1.0,-1.03387712473475,-2.2950005532313975,2.4954645475713715,True
lag1,1.5,300005,1.0,1.0225674745856757,-2.291539849859158,2.803388824928259,True
lag1,1.5,300007,1.0,1.0288684530826342,-2.293601864354751,2.6336814428453392,True
lag1,1.5,300008,1.0,-1.0270770621091825,-2.2929666849680355,2.726858382319288,True
lag1,1.5,300009,1.0,-1.0212232627619775,2.2911916874506466,-2.8154758605611363,True
lag1,1.5,300010,1.0,1.029334511191812,2.293841297236561,-2.7155538676364226,True
lag1,1.5,300011,1.0,-1.0241193142089895,-2.2920541422834364,2.6475840741301364,True
lag1,1.5,300012,1.0,-1.0192413070139166,-2.2907635139401075,2.7423432473112266,True
lag1,1.5,300013,1.0,-1.026610569661504,2.2928468920958474,-2.726540338624695,True
lag1,1.5,300014,1.0,-1.0155220872990034,-2.289803605149007,2.8457859024814787,True
lag1,1.5,300015,1.0,1.0227518180228143,2.291938067149008,-2.717317022656072,True
lag1,1.5,300016,1.0,-1.024886421679931,-2.29230141725859,2.75545321677033,True
lag1,1.5,300017,1.0,1.0214731758753035,2.291311548293424,-2.7225085076968485,True
lag1,1.5,300018,1.0,1.025279261024016,2.292666942477755,-2.6980615262130025,True
lag1,1.5,300019,1.0,1.0193892055292035,-2.2910427839016796,2.693133217373559,True
lag1,1.5,300020,1.0,1.0218648453289654,-2.2915944996000475,2.758116657586243,True
lag1,1.5,300021,1.0,-1.030626681715931,2.2941461340782863,-2.6776743760693704,True
lag1,1.5,300022,1.0,-1.0240911344956698,2.2920953122454133,-2.6531296504385153,True
lag1,1.5,300023,1.0,-1.0230076444486234,-2.291751164167131,2.675337641343563,True
lag1,1.5,300024,1.0,-1.0292779918617845,2.2938484379562234,-2.6793151196287046,True
lag1,1.5,300025,1.0,-1.019217460928804,-2.290771663037191,2.7891297057513933,True
lag1,1.5,300026,1.0,1.019674730633548,2.290889186124722,-2.7711476980712817,True
lag1,1.5,300027,1.0,-1.028111328776642,2.293302508165953,-2.6722329908549876,True
