act,seed,s_cross,grad_at_cross,dist_to_branch,s_branch,placed_at_cross_on_branch,note
silu,850136,3.588027927186497,8.413408858487514e-17,0.129543726361223,3.60378796318381,False,
silu,850138,4.637335498757593,4.475586568020162e-16,0.02023903060953955,4.455041271886769,True,
silu,850139,3.788215273601219,8.370040771588094e-17,0.15187413947552414,3.2865760902539476,True,
silu,850141,3.3340392224769984,1.7661653389788867e-15,0.03797540812827326,3.2387774361399733,True,
silu,850143,3.010829338104472,3.859759734048396e-17,0.06595887114761974,2.975342320499352,True,
silu,850144,4.324948907149824,4.163336342344337e-17,0.09756455157276976,4.090642376315012,True,
silu,850147,3.601638747250109,1.196872462250198e-14,0.21700653160382463,3.1061875176453784,True,
silu,850149,4.999096139633017,2.5153490401663703e-17,0.06570674863586407,5.002441787165431,False,
silu,850150,4.0421239835297715,2.6454533008646308e-17,0.10861988448428428,4.082895319558846,False,
silu,850151,3.864401106252416,1.3877787807814457e-17,0.10417399472082134,3.920684337023899,False,
silu,850152,3.7428474914770606,1.6202317265623378e-15,0.19217022315693313,3.3658504136213407,True,
silu,850153,0.1074670435397087,2.5912431922403556e-15,293.35280762927783,,continuation lost at s=0.1085
silu,850156,4.625682818031197,2.5153490401663703e-17,0.06190032417131311,4.542677941021804,True,
silu,850157,3.742050446120231,1.4311468676808659e-16,0.11461337341383389,3.783850421772643,False,
silu,850159,4.390497843737584,3.0357660829594124e-17,0.10963047936257957,4.459564214897343,False,
silu,850160,4.000742989978837,3.729655473350135e-17,0.06678345865689293,3.6645413148997026,True,
silu,850162,3.825599997489971,1.3053794156725473e-15,0.1809003529910752,3.469331229368668,True,
silu,850163,4.190209317809131,3.469446951953614e-17,0.103365572819282,4.2230028718726125,False,
silu,850164,3.716357738392082,4.9873299934333204e-17,0.44289297885771073,3.3157105385884944,True,
silu,850165,4.083383022335057,4.640385298237959e-17,0.09732511931044456,4.1538483336862715,False,
silu,850166,3.689111696963902,6.396792817664476e-17,0.34180346641527376,2.8190055518896706,True,
silu,850167,3.0215988979827824,2.2127807398908406e-14,0.033087874120702264,2.990107591033021,True,
silu,850169,3.7635236691568936,5.694359914154568e-14,0.04437544182641824,3.6993007709613153,True,
silu,850170,4.004057097688849,2.7219112380683086e-14,0.03545604169901724,3.945218659033562,True,
silu,850171,3.174008937396937,1.214306433183765e-17,0.3560480790990398,2.7445413749257757,True,
silu,850174,4.364004888275345,1.2685165418080402e-17,0.09233085450444574,4.354859495951191,True,
silu,850175,3.4343045742678093,1.940721888749053e-17,0.48428287443210977,2.5761310079901065,True,
silu,850177,3.625102485883422,8.270348381828052e-15,0.04930949849707903,3.5001821356645824,True,
silu,850179,3.0994543121633424,9.8879238130678e-17,0.09432989538021497,2.8521977880019707,True,
silu,850181,3.917976940574369,5.767955557622884e-17,0.06828883538894785,3.8866850172004153,True,
silu,850182,3.546684342287498,9.779069914950256e-15,0.12466692028796103,3.1600902657991563,True,
silu,850183,3.9720058321762535,3.903127820947816e-17,0.0676826508367442,3.9136599781098633,True,
silu,850184,4.589586863737533,3.2527366217172116e-14,0.03198161085688635,4.524925806429293,True,
silu,850185,3.7361129769955768,1.7672495411513722e-17,0.10533303278386073,3.799779486715742,False,
silu,850186,2.7597698488994764,7.50051062925472e-16,0.1827710878395968,2.827285554742028,False,
silu,850188,4.164265653169413,2.905661822261152e-17,0.11931004336180258,4.239325308859759,False,
silu,850189,4.16074830161329,5.204170427930421e-18,0.09187600248578232,3.8339574309195976,True,
silu,850191,4.594182830949902,1.1275702593849246e-17,0.08472100176729667,4.614104322601809,False,
silu,850193,3.979848287824811,3.165870343657673e-17,0.06683636274106619,3.9678448574572043,True,
silu,850196,4.201759033384742,8.630509501506012e-14,0.03992165604644473,3.9333662115222596,True,
silu,850197,3.8862302276991674,2.4082298655248024e-15,0.06838216750426039,3.8768906088505553,True,
silu,850198,3.66492241740368,2.6509176798139578e-14,0.05040882903795675,3.570205907330866,True,
silu,850199,3.7126098810175576,4.7704895589362195e-17,0.13605695553045558,3.6476809817589038,True,
mish,850000,3.3507697542937738,6.971853649950788e-15,0.02936420655420107,3.334873844921674,True,
mish,850002,3.271455414571897,2.826081382800716e-15,0.4888369047377451,3.004898610673005,True,
mish,850003,2.980258350091177,7.155734338404329e-17,0.13994296945483423,2.986021868512969,False,
mish,850004,3.775565779127412,4.030521576214863e-17,0.10242870154341002,3.8195718487343884,False,
mish,850005,3.8305821111455094,2.2551405187698492e-17,0.04775692600229047,3.8136678372910886,True,
mish,850006,3.160643513340674,6.431487287184012e-16,0.18186324755170885,2.920540516814066,True,
mish,850007,3.233286117998405,3.0466081046842675e-17,0.052384562890616174,2.9503428290902,True,
mish,850010,3.771773356482283,1.1817803680091998e-17,0.09171705276227647,3.8093011661567795,False,
mish,850011,2.8253135905639546,1.8214596497756474e-17,0.09172470667988877,2.8264853438505693,False,
mish,850012,2.6865368408359687,1.2524703496552547e-15,0.19002664510357303,2.557573497765001,True,
mish,850013,4.25293862991462,8.673617379884035e-18,0.2845474980970697,3.65350122379648,True,
mish,850016,3.896373591553584,3.686287386450715e-17,0.06975663929735988,3.85850499726336,True,
mish,850018,3.099277807212477,1.3791051634015616e-16,0.15847400590003038,2.9221063581215674,True,
mish,850019,3.0648018252295905,1.9949319973733282e-17,0.08821123719258499,3.007631813723739,True,
mish,850020,3.172012070939069,1.214306433183765e-17,0.04637022822363701,2.997627583589299,True,
mish,850021,2.9956468768925184,8.387388006347862e-15,0.21694716827422872,2.846969000310481,True,
mish,850022,2.8027861821175333,4.141652298894627e-17,0.09443507200810153,2.5453076060016,True,
mish,850024,3.6644719446125817,1.1196772675692301e-14,0.028220600268052922,3.451768543168547,True,
mish,850025,3.8755767434440513,4.597017211338539e-17,0.11344658829684372,3.419358470849624,True,
mish,850030,3.416014104521569,5.898059818321144e-17,0.032253653978034924,3.2671785281011148,True,
