seed,crossed,step,s_cross,q
70,True,51,0.6664215988103952,"[-0.4764014916480187, 0.0972955981236066, -0.34685180445964103, 0.5547824331756366, 0.4820417073623802, -0.31956979435075417, 0.07509563099717696]"
71,True,27,0.3758534480834086,"[-0.6432078475148696, 0.2656921350753192, 0.20254561353841835, 0.8595698425702153, -0.7800332819048452, 0.17330783454499027, 0.5298418739360236]"
72,True,36,1.0944167248377008,"[0.5424449249366671, 0.37481081251308435, 0.5661938683112478, -1.172973777791589, -1.3177327393060083, 0.528222856526453, 0.3491347975022447]"
73,True,129,1.891210555491159,"[-0.507212000157984, -0.11820101956141094, -1.21922425074178, 1.166272990154014, 0.9454299565716473, -0.6719863047493788, 0.23319765051620503]"
74,True,128,2.064369315055627,"[-1.5014755360361685, 1.8025486564264344, -1.0076301678777695, -0.46679042631970546, 0.7827394468031311, 1.0567391471778576, -0.0693431436493387]"
75,True,9,1.0575634356124197,"[-0.710893325342374, -0.722582363523105, 0.6127222511792368, 0.9697040062586241, -0.8926678805267492, 0.4448411844331829, 0.5201364134397095]"
76,True,187,2.171077288909813,"[1.579265283767485, -1.598317535792757, 1.13860360166125, -0.6433807958328395, 0.5321304561138748, 1.032473687248563, 0.485801662977981]"
77,True,191,1.7990376307215539,"[1.4955492802253099, -1.7535004808468344, 1.0272309797747716, -0.583395963997665, 0.4357711116966088, 0.7718066509467822, 0.8942937473255712]"
78,True,51,1.0910131504578178,"[0.2762158861545342, 0.3080280972391219, 0.7533668674280044, 0.767232141370143, 0.9552468475582119, -0.33764628302981337, -0.08494665158431194]"
79,True,155,1.9336216061269031,"[-0.5109594868030793, 0.30867127339248696, 0.9732215873858765, -1.322075157708929, 1.48822535187305, -0.9604000187410267, 0.8268507616796417]"
