seed,crossed,step_obs,t_rule,t_sw,r_obs,r_traj_committed,r_cf_committed,registered_r_traj,registered_r_cf,registered_status_traj,p_switch_r_traj,p_switch_r_cf,p_switch_status_traj,p_cross_r_traj,p_cross_r_cf,p_cross_status_traj,p_switch_before_crossing
1650023,True,830.0,391,753,0.1009638225704947,0.1048175176330301,0.092757146222559,0.10481751763303016,0.09275714622255903,ok,0.09710656697606646,0.08606761940837085,ok,0.09453307170328329,0.08359008681567848,ok,True
1650024,True,532.0,173,469,0.0891164699020197,0.0767135659838149,0.0800767875207378,0.07671356598381496,0.08007678752073787,ok,0.08495826491493896,0.08927134877512279,ok,0.08361830675520632,0.08753102575371868,ok,True
1650025,True,852.0,681,831,0.0576294878497127,0.0442417158433945,0.0520154012065453,0.044241715843394536,0.052015401206545325,ok,0.0549606420450135,0.0658846978756278,ok,0.057629487849713,0.06695319189375232,ok,True
1650027,True,1028.0,797,989,0.0801391143926628,0.0584567160685893,0.0594432615447231,0.058456716068589376,0.059443261544723125,ok,0.07425818767279768,0.07758633408963975,ok,0.07622115957197173,0.0788166131744197,ok,True
1650028,True,682.0,255,614,0.0876028551175296,0.0990890241896174,0.0993759384038138,0.0990890241896174,0.09937593840381384,ok,0.08376903520961654,0.08421338879632154,ok,0.08249052506320065,0.08170775958715959,ok,True
1650029,True,3573.0,3428,3542,0.1044753169842793,0.0631605465138529,0.0716748639007762,0.06316054651385294,0.07167486390077622,ok,0.09822760426032806,0.11492294968582936,ok,0.10447531698427936,0.11990821451106998,ok,True
1650030,True,2757.0,2522,2721,0.0810421249339605,0.0569283542478211,0.0603409048777556,0.05692835424782117,0.06034090487775562,ok,0.07668868961881992,0.08035719023908566,ok,0.07668868961881992,0.08166786481747061,ok,True
1650031,True,704.0,420,649,0.09984662607877,0.0648489988270264,0.0683334281401458,0.06484899882702644,0.06833342814014584,ok,0.09464501170974615,0.09986508312728855,ok,0.09464501170974615,0.1005378391089685,ok,True
1650033,True,1063.0,593,978,0.104693639813171,0.1302498601493533,0.1264831360024443,0.13024986014935336,0.12648313600244432,ok,0.10713022372151904,0.10409036977971754,ok,0.1034751346362146,0.10002831723928386,ok,True
1650034,True,9291.0,9204,9270,0.1036296248127695,0.0458696175063244,0.0983137869989002,0.045869617506324456,0.09831378699890024,ok,0.08963172866613833,0.1924659048435414,ok,0.09899263162171579,0.20554110867861586,ok,True
1650035,True,2432.0,1896,2354,0.0882584057442987,0.089361989243732,0.0753296136786757,0.08936198924373207,0.07532961367867574,ok,0.08494528387795297,0.07144531770716586,ok,0.08273455104818206,0.06999502191540774,ok,True
1650036,True,775.0,453,717,0.0935795911091199,0.0856760704886356,0.0889586322059637,0.08567607048863568,0.08895863220596371,ok,0.08884019023950973,0.09220342169165074,ok,0.08884019023950973,0.09112200537269055,ok,True
1650037,True,1738.0,1334,1673,0.0816500538601603,0.0779776084733208,0.0720392880332287,0.0779776084733208,0.07203928803322872,ok,0.0779776084733208,0.07226464772330435,ok,0.07675222919286173,0.07141538917377917,ok,True
1650038,True,869.0,361,779,0.0983376432231646,0.1342130796116052,0.1220250743355844,0.13421307961160522,0.1220250743355844,ok,0.0972509920476099,0.0879442336490852,ok,0.0918181999104839,0.08350169533909568,ok,True
1650039,True,1071.0,450,966,0.1056062869689684,0.1549064948468501,0.1441030495280685,0.15490649484685015,0.1441030495280685,ok,0.10560628696896845,0.09780849492021973,ok,0.0985780888964809,0.09217776380993997,ok,True
1650040,True,994.0,366,900,0.0902501179270438,0.1426846482170876,0.1230830427892436,0.1426846482170876,0.12308304278924366,ok,0.09310762103733472,0.08149938048455518,ok,0.0883452920228136,0.0773419054951155,ok,True
1650041,True,687.0,424,642,0.0818018058603331,0.0607902527547314,0.0698213589876922,0.06079025275473149,0.06982135898769229,ok,0.07657396430238328,0.0898723397570107,ok,0.07831840356245778,0.09038640285364467,ok,True
1650043,True,590.0,196,515,0.110411226995345,0.1307472676095447,0.1381190654112331,0.1307472676095447,0.13811906541123317,ok,0.1075013376858387,0.11345018095207061,ok,0.10459025129677468,0.10909895759212397,ok,True
1650044,True,8526.0,8399,8502,0.082480612418518,0.0466977972117526,0.0635605944338503,0.0466977972117526,0.06356059443385033,ok,0.07607239750762718,0.11009414504203194,ok,0.07928205854344905,0.11492589289059756,ok,True
1650045,True,595.0,191,521,0.101762384068494,0.1111525416977106,0.1115663296039653,0.1111525416977106,0.11156632960396536,ok,0.09907597715480376,0.09867011707476121,ok,0.09504342458536819,0.09553963693331266,ok,True
1650046,True,1251.0,854,1165,0.1008131176749602,0.1180861752504334,0.1220807561016585,0.11808617525043341,0.1220807561016585,ok,0.10196559464131005,0.10508642790624234,ok,0.09735486766300427,0.10099657000833606,ok,True
1650047,True,693.0,264,619,0.096057133272466,0.1062959767483231,0.1084146826241939,0.10629597674832314,0.10841468262419397,ok,0.0922119089916853,0.09458577991759433,ok,0.08964669768395628,0.09158433266702398,ok,True
1650048,True,1413.0,1097,1365,0.0821227350672018,0.0704988817643716,0.0709415338577498,0.07049888176437169,0.07094153385774986,ok,0.0788081990136309,0.07957939510159985,ok,0.0788081990136309,0.07955071153755686,ok,True
1650050,True,675.0,259,605,0.0939789023008361,0.1072640430504727,0.1181524363362485,0.10726404305047277,0.11815243633624851,ok,0.09131858942735294,0.09901165582681169,ok,0.08732604949925937,0.09577500168850572,ok,True
1650051,True,867.0,298,791,0.0735835459429299,0.0917304827959735,0.0805569641330794,0.09173048279597351,0.08055696413307943,ok,0.07071340112335456,0.06164853261163421,ok,0.06879923610892957,0.059607319174726225,ok,True
1650052,True,1231.0,487,1108,0.1032204815044179,0.1585722819870987,0.1362579275195285,0.15857228198709872,0.13625792751952853,ok,0.10154663677615772,0.08763887336160357,ok,0.09568986597999252,0.08204085710827445,ok,True
1650053,True,2060.0,1603,1982,0.0974005705920819,0.1022856992258698,0.1052853600557495,0.10228569922586983,0.10528536005574958,ok,0.09373263019351552,0.09688144577569156,ok,0.09128537232565548,0.09460074983323664,ok,True
1650054,True,3702.0,3562,3676,0.088676461035444,0.0630354211986563,0.0839112934682439,0.06303542119865635,0.08391129346824394,ok,0.08231359929338344,0.11117165424278884,ok,0.08231359929338344,0.11436868093941563,ok,True
